发布时间,正文
2013-10-08 09:45:00,19.5的成本，持有4个多月，盈利58%，出局
2014-02-26 12:24:00,今年A股市场的三大投资主题 今年A股市场的三大投资主题： 1. tsla+车联网。这个已经被美国证实了，这个行业的可行性，a股有个惯例就是国外炒国内也炒，现在美国跟tsla相关的股持续暴涨， 那么A股能不跟炒吗，(参考去年的3d，4d打印） $(SZ300088)$ SZ002594 SZ000957 SZ300068 特斯拉电动车(TSLA 2. ...
2014-02-28 00:50:00,股票投资是对未来趋势的投资，并不是市盈率的投资，一个股票的市盈率基本不能说明一个股的问题，只是一个参考值而已。美股投资市场已经存在了上百年，作为去年到今年最大的热门股tsla，却在亏损或小幅盈利的情况下大幅上涨，在亏损的时候，市盈率是负的，这说明了什么？大家都说A股市场是一个只有概念炒作的市场，那美股市场呢？实际上概念炒作只是一种说法而已，更重要的是市场资金对这种行业以后发展趋势的高度认可。 股票投资是对未来趋势的投资，并不是市盈率的投资，一个股票的市盈率基本不能说明一个股的问题，只是一个参考值而已。美股投资市场已经存在了上百年，作为去年到今年最大的热门股tsla，却在亏损或小幅盈利的情况下大幅上涨，在亏损的时候，市盈率是负的，这说明了什么？大家都说A股市场是一个只有...
2014-02-28 23:17:00,将$500彩票网(WBAI)$卖出目标价调整为$80。买入目标价调整为$44。
2014-03-01 01:16:00,"今天是3月1日，总结一下1，2月，满仓收益42%，成绩还行。希望再接再厉。 3，4月的盈利目标是满仓18%。 下面是重点关注的几个股： $高鸿股份(SZ000851)$ : 该股集多概念于一身，股价偏低，值得关注。 $长信科技(SZ300088)$ : 该股连续4年保持30%的增长幅度，而且净资产收益率也高居不下，非常不错，大家知道$SZ002065$该股连续8年保持30%的增长，实际上是有人为的控制增长率，如果今年大于30%，就把合同和发票做到下一年，保证每年30%左右，而300088看样子也是如此，刚预告同比增长29%多点，我估计年报公布的时候应该会小幅大于30%，另外他有核心技术涉及的市场也是个大趋势。 $南都电源(SZ300068)$ : 收益今年的4G通信电源的全面铺开和新能源动力这块的高速发展。 另外还有几个关注的股有$中通客车(SZ000957)$ , $证通电子(SZ002197)$ , $新大陆(SZ000997)$等,如果有新关注的会及时更新的. 今天是3月1日，总结一下1，2月，满仓收益42%，成绩还行。希望再接再厉。 3，4月的盈利目标是满仓18%。 下面是重点关注的几个股： $高鸿股份(SZ000851)$ : 该股集多概念于一身，股价偏低，值得关注。 $长信科技(SZ300088)$ : 该股连续4年保持30%的增长幅度，而且净资产收益率也高居..."
2014-03-01 01:35:00,将$南都电源(SZ300068)$卖出目标价从￥10调整为￥20。
2014-03-01 14:00:00,移动支付比我想想的来的更快，现在出租车上已经有二维码扫描了，乘客可以通过该二维码进行支付。（支付宝现在通过二维码进行扫描支付的减免13元）
2014-03-02 11:31:00,$信雅达(SH600571)$  受益于移动支付的全面开花，将会不断走高。该股连续6年保持30%的净利润增长，加权净资产收益率虽然不是太高，但是增速已经非常好了，加上今年新业务的增长点，符合市场炒作预期，另外盘小，价低。值得关注。 @郑钱花花 @milesyu @Oo小左 @Alex_ai $信雅达(SH600571)$ 受益于移动支付的全面开花，将会不断走高。该股连续6年保持30%的净利润增长，加权净资产收益率虽然不是太高，但是增速已经非常好了，加上今年新业务的增长点，符合市场炒作预期，另外盘小，价低。值得关注。 @郑钱花花 @milesyu @Oo小左 @Alex_ai
2014-03-02 20:30:00,去年截至到年底余额宝是1853E，从余额宝推出到年底余额宝净利2E。之前余额宝公布了利润率是0.63%。因为是年底到1853，把这个金额除以3（这个只是假设一下，因为每个月在增长），平均一下，那就是620E。 用620E*0.32(一年是0.63，半年按0.32算）/100 约等于2E的净利 今年到现在规模已经达到了5000e，还有10个月时间到年底，我们就算后面不增加了 的利润是这样计算的 5000*0.63/12*10/100 = 26E 而601216 所占0.156，那么就是4E的净收益。 余额宝说现在每天以70e左右的速度在流入，那么我们就按50e算，今年还有300天。 到年底，就有1.5+0.5=2wE了。在美国，货币基金占全国存款的60%，而中国才10%不到。可以想象一下余额宝的空间有多大。 这种计算方法我不确实是否正确，但是可以肯定的是他增长的势头是无法抗拒的。 个人觉得这个计算可以忽略了，可以想象的到天弘基金为$内蒙君正(SH601216)$今年所带来的收益将是空前的。 我个人还是觉得互联网金融是个改变很多人生活的一种趋势，我们投资就是要从身边大家谈论最多的，最平常的事情入手，找到最核心的公司，然后买入。 当然其他互联网金融的股也是可以关注的 另外大家应该知道的是余额宝的收益下降对天弘基金的收益是没有任何影响的，他们收的是手续费和管理费，就算收益只有3%，4%，只要规模在就行。只要收益率大于银行的定期存款，余额宝的发展是不会停止的。 最后一则消息 -------------------- 【余额宝用户数超过股民】截至最新报道，余额宝的客户数是8100万户，规模估计在5000亿元。这意味着，余额宝用了8个多月的时间，用户数和规模不仅远超其他基金，其用户数甚至比6700万股民还多(假设一个人只用一个支付宝申购)。而中国股市已经有23年历史。 @Alex_ai@milesyu@Oo小左@郑钱花花 去年截至到年底余额宝是1853E，从余额宝推出到年底余额宝净利2E。之前余额宝公布了利润率是0.63%。因为是年底到1853，把这个金额除以3（这个只是假设一下，因为每个月在增长），平均一下，那就是620E。 用620E*0.32(一年是0.63，半年按0.32算）/100 约等于2E的净利 今年到现在规模已经达到...
2014-03-04 00:36:00,"今天$长信科技(SZ300088)$ 发了一堆公告，多达几百页，耐着性子看完了。 其中一句话，让我感到震惊。不知道是不是真的 该文章来至 长信科技：2014年度第一期短期融资券募集说明书 详见 深圳交易所 公告查询平台 在该文的第21页。 原文如下： 2012年度，公司实现营业收入 8.10亿元，采购原材料支出 3.40 亿元，占比 约41.98%； 2013年 1-9月，公司已实现营业收入 8.03亿元，采购原材料支出 2.82 亿元，采购支出占营业收入的比例约为 35.12%；公司2013年预计实现销售收入 10 亿元，采购原材料支出 3.6 亿元，占比全年销售收入的 36%；2014 年随着公 司产能的扩张及业务量的增长，预计销售收入可达 22 亿元，采购原材料支出约 7.0亿元，采购支出占销售收入的 31.82%，其中自有资金 5.0亿元，资金缺口 2.0 亿元。公司本次短期融资券拟备案发行的 2.5 亿元中，2.0 亿元将用于公司本部 补充经营过程中对流动资金的需求，购买生产过程中所需的靶材、超薄浮法玻璃 等原材料，以保证业务运营顺利进行。 前几天好像刚预报说今年营业收入才11e不到（1,097,352,513.50元），一下就预测明年达到恐怖的22e. 不知道该文写的是不是真的。还是笔误。 不过从电子行业目前来看，一般订货采购量都是提前定好的，比如一年要采购多少货之类的，这样的预计不会偏离太大。就看这个公告是不是笔误了。 我不知道大家看明白没有，在这个节骨眼上，大股东又要增持，具体怎么操作，自己看着办吧 @Alex_ai@milesyu@Oo小左@郑钱花花@孟兆泉@老布@飞鸟与鱼2016 @@名成功未就@恣睢肆意@凡思特 今天$长信科技(SZ300088)$ 发了一堆公告，多达几百页，耐着性子看完了。 其中一句话，让我感到震惊。不知道是不是真的 该文章来至 长信科技：2014年度第一期短期融资券募集说明书 详见 深圳交易所 公告查询平台 在该文的第21页。 原文如下： 2012年度，公司实现营业收入 8.10亿..."
