ID,发布时间,点赞数,评论数,转发数,页码,链接,摘要,正文
379044342,2026-03-12 04:12:02,13,3,0,1/16,https://xueqiu.com/2287364713/379044342,最近这个财报季小仓位买了几个新的公司，记录一下，后续回头验证一下这些判断对不对。$Molina Healthcare(MOH)$ 财报暴跌那天盘前买了一些仓位，成交均价在118，目前看像是抄了个底。买的逻辑很简单，看过一篇分析报告后，认可做为医疗保险整个行业，其实它的利润占美国gov医疗支出总额很低，...,"来源
：雪球App
，作者
： KeepSlowly
，
（https://xueqiu.com/2287364713/379044342
）
最近这个财报季小仓位买了几个新的公司
，记录一下
，后续回头验证一下这些判断对不对
。
$Molina Healthcare(MOH)$ 财报暴跌那天盘前买了一些仓位
，成交均价在118
，目前看像是抄了个底
。买的逻辑很简单
，看过一篇分析报告后
，认可做为医疗保险整个行业
，其实它的利润占美国gov医疗支出总额很低
，而且它们是目前整个医疗行业不可或缺的一部分
，所以 Gov 不可能会把这个行业整死
。之前的估值已经包括了极其悲观的预期
。
$UiPath(PATH)$ 10.x 买了一点这家公司
。买入的核心逻辑是目前 AI Agent 将会杀死SaaS的叙事低估了企业内部运营的复杂性
。在部署Ai Agent时
，需要一套工具来完成对这个 agent 行为的监控
、审计
、数据/系统访问权限以及与其他员工
、传统的流程机器人之间的协同工作
。简单点讲就是 AI Agent在一个成熟的企业中
，必须是在一个有各种规则控制下的
“sandbox
”里面工作
， 而不是直接让它自由地搞所有事情
。而 UiPath 目前在做的这个
“sandbox
”领域有非常深入的经验
，并且已经广泛部署在世界500强企业中
，目前正在推广将 Ai Agent 也纳入整套的
“sandbox
”运行框架的平台
。 在财务上看
，目前的估值已经不贵了
，接下来看看 AI agent的部署能不能加速他们业务的增长
。
$多邻国(DUOL)$ 100左右的均价买了一些
。 买入逻辑是认为市场高估了 ChatGPT 们对它的影响
。其实真正能够自己使用 ChatGPT DIY 一套学习第二语言的用户占比极低
，对它的业务没有太大的影响
。 Q4营收增速下降的原因
，更大的可能是管理层放缓了货币化的节奏
。在看了管理层的新计划后
，我比较认可这个新的策略
，这件事也让我对管理层更有信心了
。 估值上目前也算不是很便宜
，所以目前只是买入一点观察仓
。"
375901308,2026-02-12 04:51:50,20,3,0,1/16,https://xueqiu.com/2287364713/375901308,$Carvana Co.(CVNA)$ 今天法官拒绝了加西亚父子的请求，要求他们把原告律师指定的 关于drive time和 carvana 之间的通信记录，文件给到被告的律师查看。看看这次能不能实锤利益输送。,$Carvana Co.(CVNA)$ 今天法官拒绝了加西亚父子的请求，要求他们把原告律师指定的 关于drive time和 carvana 之间的通信记录，文件给到被告的律师查看。看看这次能不能实锤利益输送。
368731847,2026-01-02 00:31:49,33,11,3,1/16,https://xueqiu.com/2287364713/368731847,2024年的年终总结写了一半，然后拖了太久，后来干脆就没写下去。当时经历了最后一个月重仓股的暴跌，当年的收益是-19.1%。但是当时并不悲观，因为对持仓的股票还是很有信心，只是刚好重仓股当时大跌，导致处于帐户波动的低点。果然，2025年年初帐户总额就迎来迅速反弹，2月中帐户就实现了新高，最...,"2025 年终总结 -- 基于价值的市场情绪博弈仍然有效
来自KeepSlowly的雪球专栏
来源
：雪球App
，作者
： KeepSlowly
，
（https://xueqiu.com/2287364713/368731847
）
2024年的年终总结写了一半
，然后拖了太久
，后来干脆就没写下去
。当时经历了最后一个月重仓股的暴跌
，当年的收益是-19.1%
。但是当时并不悲观
，因为对持仓的股票还是很有信心
，只是刚好重仓股当时大跌
，导致处于帐户波动的低点
。果然
，2025年年初帐户总额就迎来迅速反弹
，2月中帐户就实现了新高
，最终迎来一个大丰收的年份
，美国IB帐户的全年收益率来到197%
。今年的核心投资策略仍然是在市场情绪极度悲观时
，买入那些已经经历过股价大跌而变得低估的公司
，这一策略在今年继续获得极大的成功
。
今年的主要交易操作
：
- 1,3,4月
，抄底AWE.L
，最终在高通提出收购报价后
，大赚一笔
，贡献了将近一半的利润
。在下半年陆陆续续卖出持仓
，买入其它股价处于低估的公司
；
- 1
，2月份卖出大量 TMDX 的 价外PUT
，同时买入Call
，最终过早卖出Call
，影响了利润
，但是仍然贡献了将近5%的收益
；
- 4月-5月抄底 VST
，NBIS
，PBF
，ROKU
，MU
，QXO
， 后续陆陆续续获利卖出
，其中 NBIS 过早卖出了和对冲错失之后的巨大涨幅
，最终这些交易大概贡献了30%的利润
；
- 7月份在CNC财报后盘前大跌时
，23块抄底
，最终36左右全部卖出
，贡献了3%的利润
；
- 7-9月
，因为美国对瑞士维持38%的关税
，导致 WOSG 大跌
，开始抄底
，11月份
，财务数据很不错
，加上美国降低关税至15%
，股价涨回来不少
，至今已经实现40%+的收益率
，贡献了大约6%的利润
；
- 7月开始抄底NVO
，目前稍有盈利
，期待它在2026年的表现
；
- 9月抄底LULU
，最终在12月财报后卖出
，贡献了大约2%的利润
；
- 10月开始买入LODE
，这个算是一个有巨大爆发潜力的彩票股
，目前的稍有盈利
；
- 11月开始抄底买入FISV 和 CELH
，目前稍有盈利
；
- 在不同月份买入SEG
，有段时间有过不错的赢利
，但是Q3财报后
，一直下跌
，目前已经处于亏损状态
；
目前美国IB帐户持有的仓位
：WOSG.L
，NVO
，CELH
，FISV
，INMD
，SEG
，NBIS
（各种期权
）
，VST
，LODE
，GENL.L
。
亏钱的交易的一些总结
今年一片大好的形势下
，仍然有几个处于亏钱的持仓
： INMD 和 SEG
。
INMD 是在2023年年底开始买入
，后续还有加仓
，持有到今天仍然亏钱
。 当初投资的核心原因是觉得估值便宜
，利润率很优秀
，管理层也在回购
。过去这两年估值变得更便宜了
，公司回购了将近20%的股份
，目前现金占了将近60%的市值
，没有任何负债
，公司仍然在盈利
。 但是过去两年公司的营收下降了20%+
，利润下滑将近50%
，导致股价一直起不来
。这个投资最大的遗憾是占用了资金
，错过了其它的更好的机会
。未来还是少参与这种看上去低估
，但是没有明确的短期改变预期的催化剂的公司
。
SEG 的情况也是类似
，从静态资产来看
，确实低估
，但是从公司经营现金流来看
，就完全是另外一回事
。未来的收益完全依赖于管理层能够改善运营
，目前来看这件事情并不容易
，而且需要比较长的时间来兑现
。今年因为在4月份抄底过
，阶段性还有不错的赢利
，当时没有卖出
，在Q3业绩之后
，发现公司之前预期的一些短期的运营改善动作无法推进下去
，股价又跌了回来
。或许这类公司只适合放一点观察仓
，等待有明确转折点再加大仓位
。
最赚钱的交易
：AWE.L 被并购
去年底AWE的 Chairman 离职
，并开始低价甩卖持有的股票
，导致股价大跌
，跌到90p左右
，那段时间加仓了不少
。 新年后
，有个机构批露买入了将近5%的股价
，于是股价大幅反弹到 130p 附近
，后续2个月又慢慢跌了回100p附近
。4月1号
，上午传出 ARM 谈过并购AWE的新闻
，股票跳涨一波
，马上就下来了
。中午时
，高通发布新闻表示有意向收购AWE
，股价暴涨45%
，来到140p左右
。后续在等待高通出价的2个月时间里
，股价下滑到110-120p左右
，这段时间利用Margin大幅加仓
。6月份高通给出了报价 183p 现金和换股方案
，这时候投资迎来了终章
，最终随着后续高通股价的上涨
，年底前换股价来到将近210p
，但是这时候我的持仓已经下降到了只剩10%了
。
这次 AWE 结局很不错
，但是仍然低于当初做出投资决策时的预期
。最终被收购的事实说明当时看懂了这家所拥有的芯片IP技术的价值
，但是低估了一家小公司在将这些先进IP技术设计的芯片实现大规模的制造
，最终完成商业化变现的难度
。 在高通收购意向公布后
，股价跌回110p左右时
，做了大幅的加仓
，事后看这是一个非常明智的决策
，当时的持仓已经能够排到所有股东的前50名
。当时做出加仓决策前认真分析了高通的现状
，认定它有非常强烈的意愿进入DC芯片设计领域
，而AWE刚好有它非常想要拥有的IP技术和一些设计合同
，所以它一定会出价
，于是利用margin 大幅加仓
，持仓一度占了当时 70%的仓位
。最终这个交易成了投资以来收益最好的公司
，甚至超过了当年GME挤空赚得的利润
。
收益率最高的交易
：NBIS
4月下旬
，国内的一个朋友忽然咨询我对于NBIS的看法
，于是花时间认真读了 crossroad 写的一篇关于 NBIS 的报告
，立马决定买入
。 当时买了不少期权 + 正股
，其实还想要买更多
，但是因为要使用更多的margin
，于是作罢
。当时股价22左右
，市值只比公司的固定资产
（数据中心+GPU
）+现金高15%左右
，而且公司还有 clickhouse 28%的股权
，无人驾驶系统 Avride
，Toloka 等资产
。后续随着 clickhouse 和 Toloka 的新一轮融资的估值大幅增长
，股价开始大涨
，Q2 财报后
，股价已经涨到 70 块了
。后续公布和MS的13B的大合同
，直接让公司涨到90以上
。但是我在股价50左右已经将所有的Call 对冲了出去
， 不到70时
，已经卖出所有的正股了
。后续继续跟踪公司的发展情况
，证实这个团队能力非常靠谱
，于是在11月财报之后大跌的这段时间
，加了很多call 同时卖出了实际买入价在80以内的put
。当初3
，4月份因为 deepseek 的影响
，市场对于未来算力的需求出现怀疑
，而通过观察行业内人事的观点
，发现市场流行的观点存在严重的错误
，于是决定下注
，最终市场认识到未来对算力的需求远远没有得到满足时
，股价迎来大涨
。这几乎是今年所有交易的一个Pattern
。
关于市场情绪博弈策略
今年所有的成功交易都可以归结为感知到市场极度悲观情绪时果断下注
，有一些股票赚到了后续市场情绪改善的钱
，更幸运的是有些公司业绩爆增
，赚到了戴维斯双击的钱
。
过去一年市场上经常出现整个市场情绪远远偏离公司基本面的情况
，而这时下注往往能获得极好的收益
。
WOSG 在9月初因为川普维持对瑞士的38%关税
，导致大跌
。这时候认真读了一份深度分析报告后
，果断入场
，在不断下跌的过程中
，买到了将近15%的仓位
。最终随着Q3 update显示关税对于公司美国市场业绩并没有带来负面影响
，以及美国和瑞士达成关税协议
，税率降低至15%
，股价也上涨了40%+
。即便在当前这个价格下
，公司仍然显得挺便宜
，于是继续持有
。
LULU
，NVO
，FISV 也都是在股价跌了非常多
，市场情绪很悲观的场景下开始买入
，到目前为止LULU已经在12月份退出
，其它两家继续持有等待2026年业绩稳定后
，市场情绪能够出现反转
。
目前持有的一些小公司
LODE 主要是看好它的太阳能电池板回收业务
，这是一个接下来市场需求以40%增长很多年的市场
，而这个公司是这个领域内目前唯一拿到零填埋回收牌照的公司
。今年H1将实现第一个大规模处理能力工厂上线
，将会是一个大的催化剂
。
BKS.L
， 这是一家在英国做证券交易所私有云的小公司
，co-location as a service
。从给小的hedge fund 提供在co-location公有云服务
，到给大型金融机构提供私有云服务
，到和交易所联合运营co-locaion IaaS云服务
。在2025年新增5家证券交易所客户
，目前估值上看从PS角度看并不贵
，但是从PE 角度来看就不便宜
。 过去7年营收增长一直在25%以上
，目前也已经赢利
，期待2026年有更多的交易所订单
，继续增长
。
一些遗憾
MU 是2025年最遗憾的一家公司
。在年初时
，因为研究 AWE 顺带了解到 AI 对 HBM 的供不应求已经是板上订订的事情
。 在4月份的大跌的时候买入了一些MU正股和12 月份 120 行权价的call
，在后续的反弹过程中
，MU 反弹得非常弱
，于是在8月份左右全部卖出
，错失后面的巨大涨幅
。
2024年底到2025年初时 TMDX 一直在下跌
，但是实际跟踪的飞行数据显示公司的增长非常不错
，当时选择卖出大量的PUT
，买入了少量的call
，最终在 Q1 财报后增速回升
，股价开始上涨
。而比较遗憾的是在 4 月份关税冲击下
，害怕 手上的call 归零
，在亏损状态下卖出了这些call
，错失之后的巨大涨幅
。
CELH 也是类似的情况
，在大涨前将正股和call给卖了
，挺过了深度浮亏的状态
，最终在刚刚赚了一点钱的时候卖出了
。11月份因为财报中包括了一项1.2亿美元的渠道退出费用
，导致股价大跌
，这时候重新建立起了规模不小的仓位
，等待切换到百事渠道后
，业绩增速重新回来
。
2026年的期待
一直以来都不会给自己设定一个目标收益率
，只是坚持去执行过去验证过的
，能够成功的投资策略
。2026年
，我的做法目前仍然是紧盯市场
，寻找那种被市场抛弃
，而出现显著低估的公司
。通过深入研究这些公司被市场抛弃的原因
，公司的业务实际情况是否和市场预期存在偏差
，是否有足够的安全边际
，最终决定是否下注
。很多时候
，只是通过一些商业常识
，以及一些网上获得的蛛丝马迹信息
，就能拼凑出一个相对精确的判断
。因此此时此刻
，我不会去研究和预测未来行业的大势
，关注宏观经济的变化
，只会偶尔抽时间看看那些跳到我视线范围内
，引起我的兴趣的公司
。当发现它赔率足够好的时候
，就去下注
，至于最终收益率如何
，完全随缘
。 我相信只要坚守住价值投资的原则
，最终的结果不会太差
。
#2025投资总结#"
367384534,2025-12-24 06:08:51,9,1,0,1/16,https://xueqiu.com/2287364713/367384534,或许是因为这个公司的一些财务操作采用了灰色方式处理（比如对商家罚款直接转成优惠券发给了用户，在公司财务报表上没有任何体现），所以一直没办法找到合适的人来做这个CFO。 一般美国上市公司的CFO们特别看重合规性，因为这群人的职业路径就是在各个pre-IPO 公司和 以上市公司做CFO，他们不希望...,"来源
：雪球App
，作者
： KeepSlowly
，
（https://xueqiu.com/2287364713/367384534
）
或许是因为这个公司的一些财务操作采用了灰色方式处理
（比如对商家罚款直接转成优惠券发给了用户
，在公司财务报表上没有任何体现
）
，所以一直没办法找到合适的人来做这个CFO
。 一般美国上市公司的CFO们特别看重合规性
，因为这群人的职业路径就是在各个pre-IPO 公司和 以上市公司做CFO
，他们不希望在自己任内因为财务操作的不合规在职业履历上出现污点
，影响后续的跳槽
。
@时光投资-Edward：
专栏拼多多为什么没有 CFO
最近
，$拼多多(PDD)$ 股东大会上一项人事任命引起了我的关注
。
拼多多董事会任命李炯
，为拼多多的财务总监
。
拼多多当前财务方面的最高负责人是刘珺
（VP/高级副总裁
）
，下来才是新任命的李炯
（财务总监
）
，拼多多 CFO 已经空缺 6 年
。
奇怪之处在于
，财务总监是中层管理者
，根据 SEC
（...
2025-12-23 15:10· 讨论 16· 赞 15"
363422857,2025-11-27 04:31:06,5,1,0,1/16,https://xueqiu.com/2287364713/363422857,最近这段时间大跌时，慢慢加成了第一重仓股了。期待明年的表现，看看会不会有惊喜吧。,最近这段时间大跌时，慢慢加成了第一重仓股了。期待明年的表现，看看会不会有惊喜吧。
363422840,2025-11-27 04:30:01,5,3,0,1/16,https://xueqiu.com/2287364713/363422840,这次对冲交易相当糟糕，手续NBIS大涨后，对冲的call出现大量亏损，早早就达到整个交易的收益上限。 最终在100-120之间卖出了50手的call，最近趁着这波下跌终于找到机会把裸空的那些call给cover了，同时卖出了大量26年1月，3月，27年1月到期80-110的之间的PUT，接目前的情况应该能够卖入一部分股票...,"来源
：雪球App
，作者
： KeepSlowly
，
（https://xueqiu.com/2287364713/363422840
）
这次对冲交易相当糟糕
，手续NBIS大涨后
，对冲的call出现大量亏损
，早早就达到整个交易的收益上限
。 最终在100-120之间卖出了50手的call
，最近趁着这波下跌终于找到机会把裸空的那些call给cover了
，同时卖出了大量26年1月
，3月
，27年1月到期80-110的之间的PUT
，接目前的情况应该能够卖入一部分股票
，这次的买入的这些股票打算长期持有了
。//@KeepSlowly:卖出了3K的正股
，之前还卖了10手call
，结果昨天下跌
，没被call走
。现在还持有大量27年到期的 Leaps
， 这周趁着上涨
，卖出了一些27年初到期的 70
，75 的 Leaps 做对冲
。再下跌到35以下的话
，把这些对冲的 leaps 买回
，进一步加仓
。 目前这个股票取得了今年最高的收益率
查看对话
@KeepSlowly：
$Nebius Group(NBIS)$ 昨天21.9买了4k
，看起来还抄了个底
2025-05-01 21:34· 转发 2· 讨论 5· 赞 3"
362161483,2025-11-19 05:10:26,9,1,0,1/16,https://xueqiu.com/2287364713/362161483,最近这段时间一直在卖 AWE.L （还有最后一部分没卖完），将资金重新配置到新出现的机会上。适逢 $费哲金融服务(FISV)$，$Celsius Holdings(CELH)$ 财报后都大跌，市场情绪又一次非常悲观，于是抄了不少。等6个月后，看看会是什么情况。,最近这段时间一直在卖 AWE.L （还有最后一部分没卖完），将资金重新配置到新出现的机会上。适逢 $费哲金融服务(FISV)$，$Celsius Holdings(CELH)$  财报后都大跌，市场情绪又一次非常悲观，于是抄了不少。等6个月后，看看会是什么情况。
360330957,2025-11-07 05:54:09,8,1,0,1/16,https://xueqiu.com/2287364713/360330957,$Celsius Holdings(CELH)$ 今天终于找到机会买回来之前丢掉的仓位。,$Celsius Holdings(CELH)$ 今天终于找到机会买回来之前丢掉的仓位。
348089416,2025-08-20 22:19:35,34,366,0,1/16,https://xueqiu.com/2287364713/348089416,回复@PaulWu: 几个大佬也可能根本不清楚PDD内部管理到底是什么状态。能够组织上百人的团队做所有参与者都心知肚明的违法事情，为此还把反对这个违法手段的项目的安全总监开除了，这在任何其他美股上市公司都难于想象。//@PaulWu:回复@奇点那瞬间:不管承认不承认，值得保持关注的很大原因是几个大佬...,"来源
：雪球App
，作者
： KeepSlowly
，
（https://xueqiu.com/2287364713/348089416
）
回复@PaulWu: 几个大佬也可能根本不清楚PDD内部管理到底是什么状态
。能够组织上百人的团队做所有参与者都心知肚明的违法事情
，为此还把反对这个违法手段的项目的安全总监开除了
，这在任何其他美股上市公司都难于想象
。//@PaulWu:回复@奇点那瞬间:不管承认不承认
，值得保持关注的很大原因是几个大佬背书了
，如果没有背书
，只看历史记录
，我没有信心把钱给他保管
。
查看对话
@PaulWu：
公司最大的买家可以是它自己
，估值极大折让并现金充裕时回购相比买巨额理财
，对中小股东有利
，对持有期权的员工有利
，对创始人有利
；不止对短期股东有利
，也对长期股东有利
，怎么辩解都改变不了这个事实
。论坛这种辩护伤害的是小股东自己的利益
。
2025-04-11 20:49· 转发 65· 讨论 740· 赞 529"
347676060,2025-08-19 05:59:28,3,1,0,1/16,https://xueqiu.com/2287364713/347676060,250 Water St 那块地卖了 $150 M，超过预期，看看接下来这些钱会如何处理。目前公司市值 330M，现在的那些商场，Food Hall，棒球队，体育场等等加起来只值180M ...,250 Water St 那块地卖了 $150 M，超过预期，看看接下来这些钱会如何处理。目前公司市值 330M，现在的那些商场，Food Hall，棒球队，体育场等等加起来只值180M ...
