ID,发布时间,点赞数,评论数,转发数,页码,链接,摘要,正文
230961579,2022-09-17 19:01,0,0,0,1/183,https://xueqiu.com/1965894836/230961579,...,
379846979,2026-03-17 22:20,0,0,0,1/183,https://xueqiu.com/1965894836/379846979,感谢整理，认同合理估值持有好生意的理念。但有一说一，部分持仓的成长性和估值不够匹配，30倍估值持有个...,感谢整理，认同合理估值持有好生意的理念。但有一说一，部分持仓的成长性和估值不够匹配，30倍估值持有个位数增速的“优秀”公司，消化估值的过程必然是很慢的。
378998091,2026-03-11 18:01,0,0,0,1/183,https://xueqiu.com/1965894836/378998091,迟迟推不出一个适应当下的windows产品更新，office也危如累卵，以至于大家抢购MACBOOK...,迟迟推不出一个适应当下的windows产品更新，office也危如累卵，以至于大家抢购MACBOOK，组织有没有迭代进化能力才是分水岭，机遇也可以变成风险，或者相反。苹果只能说乔布斯留下的财富确实太硬了。
378220147,2026-03-05 22:21,0,0,0,1/183,https://xueqiu.com/1965894836/378220147,考虑到哪怕稍微负面一点的观察都没法在这个平台展示，投资人对我的整体发言自动降一级理解吧。...,考虑到哪怕稍微负面一点的观察都没法在这个平台展示，投资人对我的整体发言自动降一级理解吧。
378106812,2026-03-05 11:01,0,0,0,1/183,https://xueqiu.com/1965894836/378106812,把ai往各个部门插，我们也有点这个味道， 其实我知道这很可能不是正确的解法，要以ai能力为主线重新配...,把ai往各个部门插，我们也有点这个味道， 其实我知道这很可能不是正确的解法，要以ai能力为主线重新配置人才。对大企业这真的很难，那些职业经理人负责的软件公司可能就算了吧。
378072906,2026-03-05 08:59,0,0,0,1/183,https://xueqiu.com/1965894836/378072906,回复@富贵绵绵: 我没太理解这和中东投资人撤离有什么必然联系，我们目前的核心标的估值合理，且成长性优...,回复@富贵绵绵: 我没太理解这和中东投资人撤离有什么必然联系，我们目前的核心标的估值合理，且成长性优秀（相比过去，ai带来了显著的加速度），时间会是我们的朋友。美股ai泡沫（这里面有局部泡沫是事实）的讨论此起彼伏，相比一个真正巨大的泡沫（国内量化抱团小票），我个人认为后者发生时带来的流动性危机更让人担心，如果要保护，我也更愿意下注后者，无人关心意味着我们可能可以用比较低的成本对冲。
377548741,2026-03-02 11:59,0,0,0,1/183,https://xueqiu.com/1965894836/377548741,内卷加互相泼脏水，没意思，恒科里不少标的是典型，一个缩影吧，所以这个看基本面且可以自由交易的指数就走...,内卷加互相泼脏水，没意思，恒科里不少标的是典型，一个缩影吧，所以这个看基本面且可以自由交易的指数就走成这样了。
377136420,2026-02-26 23:21,0,0,0,1/183,https://xueqiu.com/1965894836/377136420,开年一直处在兴奋又焦虑的情绪之中，ai在一些工作角色上正完成闭环（可以独立迭代），很快我们以后的开支...,"开年一直处在兴奋又焦虑的情绪之中，ai在一些工作角色上正完成闭环（可以独立迭代），很快我们以后的开支是采购和维系一个苹果分析师智能体，类似这样的场景不再是科幻，再以后也许是采购一个投资组合顾问Paul，身处其中，我们的角色和工作都在发生极大变化，保持独立的批判性思维也许能帮我们更久地在新角色下坚持。另外我也依然坚持认为人与人之间的娱乐和社交需求是这个时代最具壁垒的软件生意形态。
开年一直处在兴奋又焦虑的情绪之中，ai在一些工作角色上正完成闭环（可以独立迭代），很快我们以后的开支是采购和维系一个苹果分析师智能体，类似这样的场景不再是科幻，再以后也许是采购一个投资组合顾问Paul，身处其中，我们的角色和工作都在发生极大变化，保持独立的批判性思维也许能帮我们更久..."
376669594,2026-02-24 09:09,0,0,0,1/183,https://xueqiu.com/1965894836/376669594,美股也在流行科幻小说，只不过方向和a股是反的，外卖没有竞争是因为对手写不出软件，所以阿里在有软件的基...,"美股也在流行科幻小说，只不过方向和a股是反的，外卖没有竞争是因为对手写不出软件，所以阿里在有软件的基础上要花1500亿去艰难扩张份额？

美股也在流行科幻小说，只不过方向和a股是反的，外卖没有竞争是因为对手写不出软件，所以阿里在有软件的基础上要花1500亿去艰难扩张份额？"
376562155,2026-02-21 22:30,0,0,0,1/183,https://xueqiu.com/1965894836/376562155,回复@睡累了起来休息: 反着来我认为是可行的，市场很多元，但总结短期要素即可，投资最怕归因错误。我没...,回复@睡累了起来休息: 反着来我认为是可行的，市场很多元，但总结短期要素即可，投资最怕归因错误。我没有那么做只是因为自己的能力有限，想两面占便宜，尤其如果真占到了，我不知道对自己长期是利还是弊，我有我的路径依赖，目前还不想改。我们曾经在21年初做空快手赚过钱（put），但我做不到反过来，现在两个模型也一样，我很早就说过他们可能会被爆炒，但我并没有做多，就和我当时也没有做多快手们一样。对我相信的东西这是统一的，这种价值观上的一致对我很重要。
376560140,2026-02-21 21:18,0,0,0,1/183,https://xueqiu.com/1965894836/376560140,在我的投资生涯里，市场奖励短期多于长期，奖励错误多于正确，奖励叙事多于事实，奖励价格边际多于竞争力，...,在我的投资生涯里，市场奖励短期多于长期，奖励错误多于正确，奖励叙事多于事实，奖励价格边际多于竞争力，时有发生，甚至长时间是市场的主流，有时候我们需要忍受寂寞。
376559354,2026-02-21 20:52,0,0,0,1/183,https://xueqiu.com/1965894836/376559354,回复@刘志超: 同样抖音珠玉在前，reels目前的发展趋势比视频号更好；threads从无到有也做起...,回复@刘志超: 同样抖音珠玉在前，reels目前的发展趋势比视频号更好；threads从无到有也做起来了，管理奇才musk的x从收购后就节节败退；很早决定超额投入ai，虽然目前阶段落后，但眼光和决心现在回头看都是领先的，手里有大量算力和数据，模型能力追近的概率不低；今年可能已经是一盘近2500亿美金广告收入的生意，利润率不做那些超前投入是可以往50%靠的；相比有些企业把核心ai业务外包，我也不知道是否应该按市场估值来评价管理能力，可能近30%收入增速给10几倍pe是管理不行，不怎么增长给30倍就代表行吧。（一些吐槽，利益相关。）
