博主,发布时间,链接,正文
史诗级韭菜,2026-03-27 11:52,https://www.bilibili.com/opus/1184314597427904548,补充当时买卖点
史诗级韭菜,2026-03-27 11:52,https://www.bilibili.com/opus/1184306239415255042,海底捞买少了
史诗级韭菜,2026-03-27 10:52,https://www.bilibili.com/opus/1184289828338925572,元气大伤
史诗级韭菜,2026-03-27 09:52,https://www.bilibili.com/opus/1184282655745638403,财报剩余不多了
史诗级韭菜,2026-03-27 09:52,https://www.bilibili.com/opus/1184282007209771009,物业算低预期的魅力了。。
史诗级韭菜,2026-03-27 09:52,https://www.bilibili.com/opus/1184281367250206724,航信走的太差了
史诗级韭菜,2026-03-27 09:52,https://www.bilibili.com/opus/1184274224759439416,江波鸟话误人
史诗级韭菜,2026-03-27 09:52,https://www.bilibili.com/opus/1184272605555720210,回款是在改善的
史诗级韭菜,2026-03-27 09:52,https://www.bilibili.com/opus/1184271411541180422,毛看看只能算一般
史诗级韭菜,2026-03-26 23:07,https://www.bilibili.com/opus/1184119189281964033,中航信是真恶心
史诗级韭菜,2026-03-26 22:40,https://www.bilibili.com/opus/1184112175618195464,[视频] 金融街物业财报简读：现金等价物（新高）扣除总负债依然大于市值，符合我定义的T0级资产垫评级。股息由于利润下降而下降到7%，这部分属于利空，纯收息问题不大
史诗级韭菜,2026-03-26 22:26,https://www.bilibili.com/opus/1184108735365120024,[视频] 达美乐中国（达势股份）财报简读：营收与经调整利润增速均在20-30%周围，PEG视角下支撑不了60pe，现金无增长也没减少，自由现金流为0，市值60亿以内是好价
史诗级韭菜,2026-03-26 22:06,https://www.bilibili.com/opus/1184103632928243719,[视频] 青岛啤酒财报简读：营收利润微增，股息新高H股税后突破4%，资产负债率下降但净现金减少，自由现金流下降比较明显（资本开支增加+经营性现金流衰退10%），估值合理
史诗级韭菜,2026-03-26 21:36,https://www.bilibili.com/opus/1184095850471620645,[视频] 北京控股财报简读：股息5%不变，营收利润稳定，下半年环比衰退略微不利，纯纯老登，整体符合估值
史诗级韭菜,2026-03-26 21:17,https://www.bilibili.com/opus/1184090846826332180,[视频] 华润饮料年报简单解读：营收利润垃完了，第二曲线也垃完了，税后股息超4%（发特别股息）但较去年仍下降显著，管理层未能解释清楚利润下降并给出方案，业绩底看不清
