ID,发布时间,点赞数,评论数,转发数,链接,摘要,正文
363793074,2025-11-29 13:41:48,16,26,0,https://xueqiu.com/4925086612/363793074,$新秀丽(01910)$ 于2014年从Black Diamond黑钻手里收购了1977年成立的专业登山背包品牌Gregory格里高利，对价8500万美金，PS2.4x，这是新秀丽2014年的第三笔收购。新秀丽2011年在香港上市，同年上市的还有欧舒丹和Prada，背景是中国奢侈品消费能力不断上升，香港成为奢侈品牌上市圣地，当年计...,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/363793074
）
$新秀丽(01910)$ 于2014年从Black Diamond黑钻手里收购了1977年成立的专业登山背包品牌Gregory格里高利
，对价8500万美金
，PS2.4x
，这是新秀丽2014年的第三笔收购
。
新秀丽2011年在香港上市
，同年上市的还有欧舒丹和Prada
，背景是中国奢侈品消费能力不断上升
，香港成为奢侈品牌上市圣地
，当年计划在香港招股的还有Coach
、Jimmy Choo和Ferragamo
。去掉老股后
，新秀丽上市募资不到2亿美金
，2012年收购了High Sierra 及Hartmann
，2013年年底净现金2.1亿美金
，2014年收购了法国箱包品牌Lipault
、美国手机保护壳品牌Speck和Gregory
。2016年收购了Tumi
。
“截至2013年12月31日
，Gregory销售净额为3490万美元
，同比上年的3060万美元上升14.3%
。2013年
，北美洲及日本分别占Gregory销售额的约35.5%及36.3%
，专业背包及配件占销售额约72.3%
，休闲背包及配件则占27.7%
。
”
2019年Gregory销售为6980万美元
，13到19年复合增速12%
。2020年大幅下滑
，2022年恢复到6140万美元
。2023年开始不再单独披露合并到Other
，22至24年Other分部基本没有增长
。
Gregory的主要竞争对手是Osprey小鹰和Mystery Ranch神秘农场
。
小鹰在2021年被Helen of Troy以4.14亿美元收购
，2021年小鹰的销售收入为1.55亿美金
。根据一些推算目前收入在3亿美金左右
。
神秘农场在2024年被Yeti以3600万美金收购
，推算收入也不会太高
。
总体来看
，专业登山包目前还并不是一个很大的行业
。
$安踏体育(02020)$$亚玛芬体育(AS)$ $伯希和$"
363789371,2025-11-29 12:25:06,42,5,0,https://xueqiu.com/4925086612/363789371,$拼多多(PDD)$,"来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/363789371
）
$拼多多(PDD)$"
361525568,2025-11-14 11:23:51,25,11,0,https://xueqiu.com/4925086612/361525568,回复@理逍遥: 可以看一下我之前的贴子，2018年全球100美金以上的烈酒（除白酒）市场规模是83亿美金，而100美金以上的白酒是332亿美金，也就是白酒占80%。2021年的数据，这一比例仍然是统治性的84%。另外，100美金以上的烈酒市场（除白酒）里，中国占30%，美国+免税大概35%（美国应该是第二大） //@...,回复@理逍遥: 可以看一下我之前的贴子，2018年全球100美金以上的烈酒（除白酒）市场规模是83亿美金，而100美金以上的白酒是332亿美金，也就是白酒占80%。2021年的数据，这一比例仍然是统治性的84%。另外，100美金以上的烈酒市场（除白酒）里，中国占30%，美国+免税大概35%（美国应该是第二大） //@理逍遥:回复@坚硬的韭菜:这是一个很好的问题，用 AI 找了答案，应该比较准确：全球销售价格超过100美元且每年超过一亿瓶的酒只有贵州茅台的飞天茅台酒。接近这个水平的第一名是五粮液，还有一个排在第四位置的泸州老窖。其他的都相差甚远。全球单瓶售价高于100美元且销量超过或者接近0.5亿瓶的酒中，前面五席中国占了三席，中国的 GDP 占比全球20%，人口占比全球近18%。这个高价酒消耗好像不是很正常？但愿酒徒们还能喝得掉这么多高价酒。查看图片
361098824,2025-11-12 10:43:08,9,1,0,https://xueqiu.com/4925086612/361098824,回复@坚信价值: 买过一瓶，感觉能用一辈子//@坚信价值:回复@老布:这个$WD-40(WDFC)$ 为什么没有被国产品牌完全替代？因为单价不高没有必要试别的产品？,回复@坚信价值: 买过一瓶，感觉能用一辈子//@坚信价值:回复@老布:这个$WD-40(WDFC)$ 为什么没有被国产品牌完全替代？因为单价不高没有必要试别的产品？
359706314,2025-11-04 00:05:22,12,1,0,https://xueqiu.com/4925086612/359706314,回复@我無形: 网页链接//@我無形:回复@刘成岗:1.汉庭4000多家，全季3000家，总共占63%，所以从公司分析角度主要还是汉庭和全季。从用户体验上来说，确实让人费解，是否应该优先展示这两个品牌，还是为了推其他品牌影响用户体验。从历史沿革上，华住缘起...,回复@我無形: 网页链接//@我無形:回复@刘成岗:1.汉庭4000多家，全季3000家，总共占63%，所以从公司分析角度主要还是汉庭和全季。从用户体验上来说，确实让人费解，是否应该优先展示这两个品牌，还是为了推其他品牌影响用户体验。从历史沿革上，华住缘起自创始人读到雅高的传记，所以和雅高有战略合作，分手后一些品牌还是和华住合作。美仑城际等来自收购的欧洲DH集团，桔子收购的，花间堂收购的，宋和施柏阁融创的，星程从携程收购的。华住自己做的品牌是经济型的你好和海友（加起来1000多家），中端的漫心（不到200家）、高端的禧悦（7家）。所以华住本身做的品牌并不多，低中高端各2-3个，但他在中高端酒店采取了收购和合作的战略，导致品牌矩阵急剧扩大。而华住的一些收购目前来看说不上成功，结果是资本配置效率较低。至于多品牌策略，个人感觉低端需求比较接近，高端需求特别是休闲度假等场景较为分散，多品牌也是合理的，但有一个度的问题，目前收购带来的品牌有点重复而杂乱无章。我比较关注国际化，从20年的收购，到24年提出国际轻资产转型，落地并不容易。2.亚朵和华住的发展阶段不同，不好直接比较，熵增是必然的，亚朵用同一品牌下子品牌的策略有利有弊吧。差异化是局部的、阶段性的，但是城市里同一地理位置的供给是有限的，不像互联网的竞争没有边界。
359003279,2025-10-30 11:14:33,16,4,0,https://xueqiu.com/4925086612/359003279,"网页链接In a newly published report examining the status spirits landscape, IWSR Drinks Market Analysis,
the leading authority on the global beverage alcohol market, sh...","来源
：雪球App
，作者
： 我無形
，
（https://xueqiu.com/4925086612/359003279
）
网页链接
In a newly published report examining the status spirits landscape, IWSR Drinks Market Analysis, the leading authority on the global beverage alcohol market, shows that the value of the status spirits market is $8.3bn (excluding baijiu), and increasing at a value compound annual growth rate of 7% (2014-2018), significantly ahead of the total global spirits market at 2% value CAGR. 
Status baijiu, almost all of which is sold in China and global travel retail, stands in a league of its own at $33.2bn in value.
网页链接
Baijiu retains a dominant 84% value share of the global status spirits market – covering products with a weighted average price above US$100 – but consumption remains almost completely confined to China. Excluding baijiu, the global market for international status spirits grew by 35% in value terms during 2021, according to IWSR figures, leaving it 8% ahead of pre-pandemic 2019. Value expanded at a compound annual growth rate (CAGR) of +9% between 2016 and 2021."
358387863,2025-10-27 14:59:11,12,1,0,https://xueqiu.com/4925086612/358387863,回复@我無形: 采访龙家升 网页链接//@我無形:回复@大鸣v:可以看看蒋勋的《西方美术史》，到莫奈梵高这些印象派总体还在大众审美的共鸣点上，毕加索已经开始曲高和寡，到100多年前杜尚整个小便斗命名喷泉，大部分人应该认为匪夷所思。近现代艺术品审美掌握在少数人手里。<b...,回复@我無形: 采访龙家升 网页链接//@我無形:回复@大鸣v:可以看看蒋勋的《西方美术史》，到莫奈梵高这些印象派总体还在大众审美的共鸣点上，毕加索已经开始曲高和寡，到100多年前杜尚整个小便斗命名喷泉，大部分人应该认为匪夷所思。近现代艺术品审美掌握在少数人手里。日本出了草间弥生、奈良美智和村上隆，我很难相信Molly没有从奈良美智吸取灵感。茅台的审美掌握在领导手里，问大部分不太喝酒的女性一款酒好不好，不辣喉咙就是最高评价。而问大部分男性，也就是说喝多了第二天不上头。但不辣喉咙不上头两点已经可以让足够多的人产生共鸣。潮玩早年小圈子，大众化后审美过渡到明星和KOL手里
358089925,2025-10-24 15:36:19,22,5,1,https://xueqiu.com/4925086612/358089925,你这个算法有点问题，IFRS16以后长期租赁的租金计算比较麻烦，一部分进入了使用权资产进行折旧，一部分是租赁负债的利息支出。1年以内的租赁租金是可以直接进费用的，而你列示的“未计算租赁负债的可变租赁付款”大概率是浮动提成部分的租金，也是直接计入费用的。总的租金是这些细项构成的，财务...,你这个算法有点问题，IFRS16以后长期租赁的租金计算比较麻烦，一部分进入了使用权资产进行折旧，一部分是租赁负债的利息支出。1年以内的租赁租金是可以直接进费用的，而你列示的“未计算租赁负债的可变租赁付款”大概率是浮动提成部分的租金，也是直接计入费用的。总的租金是这些细项构成的，财务报表附注里面都有，但是办公室及仓库的折旧是要扣掉的，还有一些未列出的细项可能也需要扣除。另一个口径的租金是现金流支出，在最底部，也分经营和融资两部分。可以和2024年年报里公司自己披露的数据对比一下。“－租賃相關開支。租賃相關開支包括使用權資產折舊， 以及未計入租賃負債的與短期租賃及可變租賃有關的開支，租賃相關開支從2023 年的人民幣465.9 百萬元增長到2024 年的人民幣840.8 百萬元，增長了80.5%。主要由於(1)零售店收入的增長，提成租金隨之增加，及(2)線下零售店數量較2023年淨增加了88間，來滿足我們中國內地和港澳台及海外的業務擴張。”分母的话有只算零售店和加机器人商店两个口径的比例，2024年总租金占比大致都在12-13%之间。尽管可变租金占比有上升趋势，但最近3年的总租金占比有下降趋势。主流购物中心的租金占销售额大致在15%左右，10%-20%可能都有，但超出这个区间的情况很少。查看图片
357918248,2025-10-23 16:12:24,4,0,0,https://xueqiu.com/4925086612/357918248,,
357853378,2025-10-23 10:52:17,9,4,0,https://xueqiu.com/4925086612/357853378,回复@中年电竞选手: 月活4.5亿，日活1.3亿，活跃度和用户时长似乎不是很高 查看图片//@中年电竞选手:回复@周伟-xm:我觉得芒格评价老马其实很中肯， 就智商200但是觉得自己是300。老马每次都是挑战超级困难题，然后all in，...,回复@中年电竞选手: 月活4.5亿，日活1.3亿，活跃度和用户时长似乎不是很高查看图片//@中年电竞选手:回复@周伟-xm:我觉得芒格评价老马其实很中肯， 就智商200但是觉得自己是300。老马每次都是挑战超级困难题，然后all in，上一轮幸运赌对了，被上海工厂救了，但是商业模式不行，赚不到钱，所以只能靠传教来托股价。老马在成功过后，觉得自己无敌，试图改写世界的一般规律，比如专注。这一轮模型的对手是 google openai antrophic，产品都比他领先且比他更好融钱。之前老马的成功都是在PVE，因为选的赛道没人做。老马其实并没有在PVP中证明过自己，最近的案例是X 的活跃用户被Thread 超过，吹再多的Grok，无法改变产品运营的没有别人好的事实。他做的机器人，估计未来5~10年都跟FSD一样，纯粹是个故事工具不会有任何的收入。（有兴趣的可以问AI这个问题：老马在哪些年份说过今年年底会实现FSD，FSD在哪一年开始产生有意义的收入）故事能持续多久呢？可能可以持续到川普下台，但是那时候老马就一定比他的竞对强么，完全不见得，XAI如果融不到钱，会找各位散户融么？当然了。老马的朋友都喜欢说 never bet against Elon，不能小看一龙，但是觉得一龙无敌 我觉得是对世界客观规律的不尊重。$特斯拉(TSLA)$
