ID,发布时间,点赞数,评论数,转发数,链接,摘要,正文
378729184,2026-03-10 09:45:05,256,218,1,https://xueqiu.com/9236758887/378729184,昨晚美股居然把昨天白天的港股损失补回了。其实我到不在意这些，也有可能是最近跌麻了，感觉不到痛了，哈哈哈哈哈。但是昨天把GDXU补足了，还是很开心，最近股票波动大，但是也是再平衡的好机会，目前手头$西部水泥(02233)$ ，GDXU，NVA，特别是科技都超过100%目标仓位，GDXU来到122%，哈哈哈，这...,
378083848,2026-03-05 09:50:37,313,560,4,https://xueqiu.com/9236758887/378083848,$西部水泥(02233)$ 太惨了，一天天的破纪录，苦了我的科技，股票昨天刚抢的，就被卖了换钱，加仓75W股，亏不亏也不在乎多一点了，哈哈哈哈哈，来吧，看看到底如何,$西部水泥(02233)$ 太惨了，一天天的破纪录，苦了我的科技，股票昨天刚抢的，就被卖了换钱，加仓75W股，亏不亏也不在乎多一点了，哈哈哈哈哈，来吧，看看到底如何
377946357,2026-03-04 11:59:15,260,307,1,https://xueqiu.com/9236758887/377946357,$康方生物(09926)$ 和大多数人的操作不一样，我的一般碰到大跌的标准动作是加仓。除非逻辑出问题了，如果是逻辑问题在大跌之前就应该能发现。今天加了点康方和$西部水泥(02233)$ ，2026 二月开始真难，最近唯一安慰自己的是，科技股终于等到加仓的机会，加到了5%仓位。持仓总体平衡了些。现在西水4...,"$康方生物(09926)$ 和大多数人的操作不一样，我的一般碰到大跌的标准动作是加仓。除非逻辑出问题了，如果是逻辑问题在大跌之前就应该能发现。今天加了点康方和$西部水泥(02233)$ ，2026 二月开始真难，最近唯一安慰自己的是，科技股终于等到加仓的机会，加到了5%仓位。持仓总体平衡了些。现在西水42%，小芳20%, GDXU 15%， NVA 10%，其它黄金矿7%，科技5%，现金股1%，所以还有点机动的钱。"
377521883,2026-03-02 10:24:24,168,260,0,https://xueqiu.com/9236758887/377521883,$康方生物(09926)$ 又是用股民的钱来打导弹，加2000股，小芳的时间窗口更近了，还好有黄金矿止点血。,$康方生物(09926)$ 又是用股民的钱来打导弹，加2000股，小芳的时间窗口更近了，还好有黄金矿止点血。
377318076,2026-02-27 22:41:59,109,36,0,https://xueqiu.com/9236758887/377318076,$半导体3X多-Direxion(SOXL)$ 最近科技不行呀，哈哈哈哈，都是好公司的组合,$半导体3X多-Direxion(SOXL)$ 最近科技不行呀，哈哈哈哈，都是好公司的组合
377314120,2026-02-27 22:17:43,194,161,3,https://xueqiu.com/9236758887/377314120,$亚太资源(01104)$ 本来是给朋友找的港股金矿标的。为了慎重，所以自己也买点观察，没想到却是柳岸闻音。哈哈哈哈，看来运气不错，半年19亿，2026的上半年应该更强，25亿朝上吧，虽然是投资赚的钱，不过金价有底气，也是实实在在的资产价值增厚。哈哈哈哈，PE1.5 吧，虽然不重要，希望下半年多分点...,$亚太资源(01104)$ 本来是给朋友找的港股金矿标的。为了慎重，所以自己也买点观察，没想到却是柳岸闻音。哈哈哈哈，看来运气不错，半年19亿，2026的上半年应该更强，25亿朝上吧，虽然是投资赚的钱，不过金价有底气，也是实实在在的资产价值增厚。哈哈哈哈，PE1.5 吧，虽然不重要，希望下半年多分点，我现在缺现金流。这个算是GDXU平替，没有杠杆的那种。
377208598,2026-02-27 11:27:39,59,58,0,https://xueqiu.com/9236758887/377208598,$英特尔(INTC)$ 有谁用过 Ultra 3 series Panther lake 芯片的笔记本，那个自带的显卡好用吗？,$英特尔(INTC)$ 有谁用过 Ultra 3 series Panther lake 芯片的笔记本，那个自带的显卡好用吗？
377180590,2026-02-27 09:56:59,164,102,1,https://xueqiu.com/9236758887/377180590,$金矿指数3倍做多ETN(GDXU)$ 股价从2/5的低点，已经翻倍了，金价不过是从4400 到了5200.这个放大效应明显。我的GDXU盈利回到巅峰了，感谢波动。$康方生物(09926)$ 小芳加油，不然要被金矿超过了，哈哈哈哈哈,$金矿指数3倍做多ETN(GDXU)$ 股价从2/5的低点，已经翻倍了，金价不过是从4400 到了5200.这个放大效应明显。我的GDXU盈利回到巅峰了，感谢波动。$康方生物(09926)$ 小芳加油，不然要被金矿超过了，哈哈哈哈哈
377015557,2026-02-26 11:02:49,263,282,3,https://xueqiu.com/9236758887/377015557,我一般不讨论我不持有的公司和行业。怕自己随口乱说影响了别人的爱股。一个餐馆不好吃以后不去就行了，利用自己的优势地位，讲一些普通人爱起哄的东东是不道德的，哈哈哈哈哈。商业航天，就不要扯明珠大义，不然股票就不讲收益讲情怀了。商业航天其实早就有了，起点就是那个不知是哪个天才想...,
376816327,2026-02-25 09:05:27,478,321,1,https://xueqiu.com/9236758887/376816327,正月初五赢财神，初七过人日，今天是福建人拜天公的日子，过了初九，新加坡的春节算是过完了，我的雪球工作开始，打卡上班，写篇小作文，哈哈哈哈哈。今年有了美股，澳股，我的账户过年其实也没闲着。昨天A股也开门了，算是波澜不惊。过年期间也见了几个线下的朋友和以前的同事。聊聊人生和股...,
