ID,发布时间,点赞数,评论数,转发数,页码,链接,摘要,正文
356776061,2025-10-15 17:38,155,111,5,13/101,https://xueqiu.com/5243796549/356776061,小作文最厉害的就是那种半真半假的小作文。 宁德和国轩文件是没有过的，然后权益金和罚款，这个东西是个公...,"小作文最厉害的就是那种半真半假的小作文。
宁德和国轩文件是没有过的，然后权益金和罚款，这个东西是个公司都不愿意交，但是这是不愿意交就不交的嘛?
我们之前判断过宜春的矿产问题，分析的几个点，因为宁德的矿最具有代表性，包括品味偏低，面积够大，产能最大，背景最厚。那么宁德都过不了，其他的矿怎么过?
至于什么时候停，如何停真的我们都是无法决定，静待消息落地吧，不过好一点的就是市场今天明显这种消息已经有点脱敏了，特别是期货端。也就是说空头这边真的牌还能有什么呢?我们就退一万步说，其他的真的不停，就这种供应端的增量和目前的需求增速，明年供需反转也基本确定了。
另外三季度碳酸锂的均价差不多应该是7.3万左右，昨天雅化的业绩预告是略微超预期的。
应该是二季度有一部分货因为价格太低没有出，计提了一些减值，然后三季度卖出去了，并冲回了减值。
三季度从smm的数据也能看出来，冶炼端的库存减的明显。
仓单继续减。空头基本持续减仓为主。
不管怎么说，平均价格稍微回稳一点业绩就改善明显，整个行业未来的改善预期还是需求端的增速，因为供给基本是明牌了。
耐心。
$赣锋锂业(SZ002460)$$宁德时代(SZ300750)$
小作文最厉害的就是那种半真半假的小作文。
宁德和国轩文件是没有过的，然后权益金和罚款，这个东西是个公司都不愿意交，但是这是不愿意交就不交的嘛?
我们之前判断过宜春的矿产问题，分析的几个点，因为宁德的矿最具有代表性，包括品味偏低，面积够大，产能最大，背景最厚。那么宁德都过..."
356435648,2025-10-13 23:46,92,16,0,13/101,https://xueqiu.com/5243796549/356435648,五角大楼10月13日斥资10亿美元扩大国家关键矿产战略储备，促进锂电池材料供应。 我们限制，他们就要...,五角大楼10月13日斥资10亿美元扩大国家关键矿产战略储备，促进锂电池材料供应。 我们限制，他们就要考虑囤货或者发展。 $天齐锂业(SZ002466)$$赣锋锂业(SZ002460)$$宁德时代(SZ300750)$
356431269,2025-10-13 23:02,69,18,0,13/101,https://xueqiu.com/5243796549/356431269,回复@卿528888: 这不是好事吗，现在锂矿跟着中游慢慢向上，等碳酸锂价格在向上的时候，上游还要走...,"回复@卿528888: 这不是好事吗，现在锂矿跟着中游慢慢向上，等碳酸锂价格在向上的时候，上游还要走一波。
天齐说我这最纯正的锂矿都还没发力
$天齐锂业(SZ002466)$$中矿资源(SZ002738)$"
356430252,2025-10-13 23:00,163,52,4,13/101,https://xueqiu.com/5243796549/356430252,因为有人问到，就多说几句，为什么说每次锂电池行情都是六氟磷酸锂领头？ 因为这里面有巨大的利益差。 这...,"因为有人问到，就多说几句，为什么说每次锂电池行情都是六氟磷酸锂领头？
因为这里面有巨大的利益差。
这一轮六氟磷酸锂从7月初的5w不到，涨到现在的7w，涨幅高达40%，而碳酸锂只涨了20%左右。而这一波6f的产能明显的还是供不应求到明年，所以6f现在不少行业内部都看8-10w了。那么就意味着如果6f的厂家按照现在的价格囤碳酸锂，那么涨价的部分就全是利润。
上一轮周期的时候，多氟多当时6f的产能并不多，但是他却在低位囤了上万吨碳酸锂，接近1年的用量，加上他本身技术过硬，所以后面做到了当时成本最低，利润最厚。
今天广期所的碳酸锂明显的被厂家扫货了，至于质量不好，也不要紧，好质量的已经不在市面上流通了，差质量的回去加一点费用再提纯一下。
历史上在10月中下旬往11月份是需求明显加大的一个时间节点，也是价格最容易上涨的一个阶段，如果这里在叠加下游囤货的预期？
另外刚好最大的空头今天也出现了较为明显的平仓，碳酸锂的价格应该要压不住了。
$赣锋锂业(SZ002460)$$宁德时代(SZ300750)$
因为有人问到，就多说几句，为什么说每次锂电池行情都是六氟磷酸锂领头？
因为这里面有巨大的利益差。
这一轮六氟磷酸锂从7月初的5w不到，涨到现在的7w，涨幅高达40%，而碳酸锂只涨了20%左右。而这一波6f的产能明显的还是供不应求到明年，所以6f现在不少行业内部都看8-10w了。那么就意味着..."
356341099,2025-10-13 14:11,50,7,0,13/101,https://xueqiu.com/5243796549/356341099,回复@舵手小周: 只考虑一个行业里面最有成长性的1-2个标的。 $赣锋锂业(SZ002460)$$中...,回复@舵手小周: 只考虑一个行业里面最有成长性的1-2个标的。 $赣锋锂业(SZ002460)$$中矿资源(SZ002738)$
356336688,2025-10-13 13:58,135,39,3,13/101,https://xueqiu.com/5243796549/356336688,实际上市场前面有个很滑稽的事情，之前一直想说没说的。 新能源锂电池产业链从2017年那一波周期的高点...,"实际上市场前面有个很滑稽的事情，之前一直想说没说的。
新能源锂电池产业链从2017年那一波周期的高点到现在产值，营收基本都增长了10倍-20倍，但是今年那会最低点的时候，很多时候的市值都跌破17年的高点了。
也就是在一个行业炒作估值的时候给的一个相对看上去偏贵的市值，在未来8年的时间里面，产业产值翻了10-20倍，但是股价却原地踏步了。
锂电池行业现在可以作为限制出口的一个技术领先行业，市场的卖方却给了一个匪夷所思的估值，真的很难让人理解这些卖方是不是真的跪习惯了，什么都要看对面的脸色。
这次我们主动挑事，是不是以后都得看我们限制出口的名录了？对面按照我们的限制来炒作给溢价。
然后今年2季度，新能源锂电池方面的机构持仓降到了近5年最低。确实是只配追涨杀跌。
限制出口，就可以类似稀土一样，重新定价，毛利至少50%起，爱要不要。毛利卖到70-80%也不是不行，不然ywd的高端芯片凭什么卖这么贵？而且流通后还要溢价抢。
可以预期4季度开始，稀土的毛利就应该可以到达40-50%了，明年争取冲到70%，以后高端电池和高端电池材料的毛利也要靠近40-50%，这样才配得起被限制出口的技术。
$赣锋锂业(SZ002460)$$宁德时代(SZ300750)$$中矿资源(SZ002738)$
实际上市场前面有个很滑稽的事情，之前一直想说没说的。
新能源锂电池产业链从2017年那一波周期的高点到现在产值，营收基本都增长了10倍-20倍，但是今年那会最低点的时候，很多时候的市值都跌破17年的高点了。
也就是在一个行业炒作估值的时候给的一个相对看上去偏贵的市值，在未来8年的时..."
356230248,2025-10-12 21:34,41,0,0,13/101,https://xueqiu.com/5243796549/356230248,回复@Davi0fo: 文章里面应该是有敏感字，有点被限流了。 $赣锋锂业(SZ002460)$$中...,"回复@Davi0fo: 文章里面应该是有敏感字，有点被限流了。
$赣锋锂业(SZ002460)$$中矿资源(SZ002738)$"
356196019,2025-10-12 13:33,386,121,20,13/101,https://xueqiu.com/5243796549/356196019,专栏锂电池行业更新与周末舆论随笔10-12 1、库存端： 本周碳酸锂库存继续下降，上游库存34747...,"专栏锂电池行业更新与周末舆论随笔10-12
1、库存端：
本周碳酸锂库存继续下降，上游库存34747吨，下游59765吨，其他库存40290吨，整体社会库存134801吨，相比节前的136825吨，继续下降2000吨左右。
产量端，盐湖产能略微有所提升，云母产量有所下滑，基本扯平，还是需求带动的库存继续向下。
目测10月中后半段，库存会继续加..."
356050616,2025-10-11 08:39,98,11,3,13/101,https://xueqiu.com/5243796549/356050616,这是真的专业。 kitumba是中矿这么多年来第一个投资的大项目，前面的项目都是小金额拿下的超潜力项...,"这是真的专业。
kitumba是中矿这么多年来第一个投资的大项目，前面的项目都是小金额拿下的超潜力项目，这个项目投资这么大，要说没有潜力是完全不符合公司毒辣的眼光。
另外就连平均品味1.x%的bikita已经增储高达几倍了，但是未来还有增储潜力，因为公司已经完全没有必要短期去继续增储了。
实际上如果bikita完全增储，估计能有高达400万吨的量，加上tanco的量，也基本直逼天齐的权益储量了。所以再不要拿中矿没有储量或者储量不够来说事情，中矿拥有的勘探能力，才是公司最核心的竞争力。
$赣锋锂业(SZ002460)$$中矿资源(SZ002738)$$天齐锂业(SZ002466)$
这是真的专业。
kitumba是中矿这么多年来第一个投资的大项目，前面的项目都是小金额拿下的超潜力项目，这个项目投资这么大，要说没有潜力是完全不符合公司毒辣的眼光。
另外就连平均品味1.x%的bikita已经增储高达几倍了，但是未来还有增储潜力，因为公司已经完全没有必要短期去继续..."
355942684,2025-10-10 11:30,147,39,0,13/101,https://xueqiu.com/5243796549/355942684,本周碳酸锂库存继续下降，上游库存34747顿，下游59765顿，其他库存40290吨，整体社会库存1...,"本周碳酸锂库存继续下降，上游库存34747顿，下游59765顿，其他库存40290吨，整体社会库存134801吨，相比节前的136825吨，继续下降2000吨左右。
产量端，盐湖产能略微有所提升，云母产量有所下滑，基本扯平，还是需求带动的库存继续向下。
目测10月中后半段，库存会继续加速向下移动。
另外传江西那边开始审核930的文件了，上面开始介入，宁德的文件没过。


$赣锋锂业(SZ002460)$$宁德时代(SZ300750)$$中矿资源(SZ002738)$
本周碳酸锂库存继续下降，上游库存34747顿，下游59765顿，其他库存40290吨，整体社会库存134801吨，相比节前的136825吨，继续下降2000吨左右。
产量端，盐湖产能略微有所提升，云母产量有所下滑，基本扯平，还是需求带动的库存继续向下。
目测10月中后半段，库存会继续加速向下移动。
..."
