ID,发布时间,点赞数,评论数,转发数,页码,链接,摘要,正文
385054693,2026-04-22 09:38,28,1,0,1/248,https://xueqiu.com/5266360866/385054693,专栏挖矿和养猪，开始分道扬镳了 1. 挖矿和养猪，开始分道扬镳了。 2020年，养猪一哥牧原的归母净...,"专栏挖矿和养猪，开始分道扬镳了
1.
挖矿和养猪，开始分道扬镳了。
2020年，养猪一哥牧原的归母净利润是275亿元人民币，当年紫金矿业的净利润是65亿元人民币。
2026年一季度，紫金矿业实现营业收入984.98亿元，同比增长24.79%；归母净利润200.79亿元，同比增长97.50%；经营活动产生的现金流量净额278.32亿元，同比增长..."
384869940,2026-04-21 10:16,28,2,0,1/248,https://xueqiu.com/5266360866/384869940,专栏每天赚4个亿 1. 昨天有人留言问，说怎么确定某某公司是低估的，按照那啥的说法，不低估啊。 其实...,"专栏每天赚4个亿
1.
昨天有人留言问，说怎么确定某某公司是低估的，按照那啥的说法，不低估啊。
其实是这样的，之前多次分享过关于“估值”的观点，估值是一个价格锚定，是机会成本的对比，而不是一个精确的计算公式。
无论是市盈率估值还是PEG估值，抑或其他的，都需要对未来增速和利润率等一系列指标..."
384781389,2026-04-20 19:29,34,2,0,1/248,https://xueqiu.com/5266360866/384781389,专栏“国运”和“出海”，也是未来数十年做投资最确定的两个关键点 海康公布了年报和一季报。 2025 ...,"专栏“国运”和“出海”，也是未来数十年做投资最确定的两个关键点
海康公布了年报和一季报。
2025 年，公司实现营业收入925.08 亿元（同比+0.01%）；实现归母净利润141.95 亿元（同比+18.52%）。2026 年一季度，公司实现营业收入207.15 亿元（同比+11.78%），实现归母净利润27.81 亿元（同比+36.42%）。
总的来说，公司境内2G的业务依然面临收入放缓的困境..."
384605723,2026-04-19 14:15,30,3,1,1/248,https://xueqiu.com/5266360866/384605723,专栏第253期【2026.04.17】周总结 创业板屡创新高，之前证监会发布《关于深化创业板改革 更...,"专栏第253期【2026.04.17】周总结
创业板屡创新高，之前证监会发布《关于深化创业板改革 更好服务新质生产力发展的意见》还在持续发酵，聪明的资本市场往往能够“准确”地捕捉到每一个热点，并将其放大为各自的利益服务。
当然，菜头能够理解这种行情，但这不是我的菜。
周五有小伙伴留言说，既然看空某个板块，那为啥不去..."
384488755,2026-04-17 22:30,34,3,1,1/248,https://xueqiu.com/5266360866/384488755,其实地球上金银铜铝煤炭石油啥都不缺，但是缺低成本的金银铜铝煤炭石油，这个最简单的常识往往被人搞复杂了...,其实地球上金银铜铝煤炭石油啥都不缺，但是缺低成本的金银铜铝煤炭石油，这个最简单的常识往往被人搞复杂了。$中国海洋石油(00883)$$陕西煤业(SH601225)$$紫金矿业(SH601899)$
384465496,2026-04-17 20:15,9,0,0,1/248,https://xueqiu.com/5266360866/384465496,回复@屁屁: 这下压力给到$国投电力(SH600886)$ 了。...,回复@屁屁: 这下压力给到$国投电力(SH600886)$ 了。
384328690,2026-04-17 09:49,25,6,0,1/248,https://xueqiu.com/5266360866/384328690,特变电工年报解读——补充信息 继续补充关于特变电工昨天没有讲清楚的几个点： ① 我提到的六大金融公司...,"特变电工年报解读——补充信息
继续补充关于特变电工昨天没有讲清楚的几个点：
① 我提到的六大金融公司对准能化工公司实行债转股的问题，有雪球网友提醒说这是明股实债，公司此前通过同样的方式操作了很多次。我之前没有过多关注过这方面的信息，后面我详细阅读了这份文件：
没问题，确实有详细的退出条款。
触发收..."
384321021,2026-04-17 09:31,27,7,0,1/248,https://xueqiu.com/5266360866/384321021,专栏越来越有2015内味了 1. 中际旭创：一季度净利润57.35亿元，同比增长262.28%。 业...,"专栏越来越有2015内味了
1.
中际旭创：一季度净利润57.35亿元，同比增长262.28%。
业绩很炸裂，但是这个业绩可持续否？
说到底，公司仍旧是一家制造业科技公司，能否长期支持30倍PB近万亿市值的估值，菜头个人持怀疑观点。
当然，我希望可以，立足于不能。
要是这些企业未来有个那啥……
嗯，你懂..."
384217247,2026-04-16 16:46,25,20,0,1/248,https://xueqiu.com/5266360866/384217247,$创业板指(SZ399006)$ 越加越像2015年了……...,$创业板指(SZ399006)$ 越加越像2015年了……
384161152,2026-04-16 12:19,13,2,0,1/248,https://xueqiu.com/5266360866/384161152,回复@wacooooo: 冷知识，$特变电工(SH600089)$ 的联调电站设计产能利用率就是50...,回复@wacooooo: 冷知识，$特变电工(SH600089)$ 的联调电站设计产能利用率就是50%，irr也是按照50%发电量计算的。
384160864,2026-04-16 12:17,19,1,0,1/248,https://xueqiu.com/5266360866/384160864,回复@特变8000亿: 嗯，其实这些都只是枝枝叶叶，多样化的资本运作手段而已，关键的核心还是持续增加...,回复@特变8000亿: 嗯，其实这些都只是枝枝叶叶，多样化的资本运作手段而已，关键的核心还是持续增加的固定资产未来有多少可以转化为优质的生息资产，投资$特变电工(SH600089)$ 重点关注这一个东西就可以了——跟踪在建工程转固后的预期差，以及存量资产收益率的变化。
384142539,2026-04-16 10:57,70,31,0,1/248,https://xueqiu.com/5266360866/384142539,专栏特变电工年报解读 特变电工：公司实现营业收入972.27亿元，同比下降0.61%；归母净利润59...,"专栏特变电工年报解读
特变电工：公司实现营业收入972.27亿元，同比下降0.61%；归母净利润59.54亿元，同比增长43.69%。公司计划向全体股东每10股派发现金红利3.60元（含税）。
利润早就是明牌，因为去年没有提前发布预增公告，因此利润肯定不会超过50%，四季度归母净利润4.7亿，扣非7亿，卡得很死。
最大的拖后..."
384080394,2026-04-15 23:32,37,11,1,1/248,https://xueqiu.com/5266360866/384080394,$特变电工(SH600089)$ 股东数量从去年3季度的35万增加到今年一季度的85万，平均持股只有...,$特变电工(SH600089)$ 股东数量从去年3季度的35万增加到今年一季度的85万，平均持股只有不到6000股，太夸张了，散户集中营果然名不虚传。
383972220,2026-04-15 12:10,23,15,0,1/248,https://xueqiu.com/5266360866/383972220,25℃气温刚刚好，静静地吹着云南的海风，看着三三两两的人群走过，很是惬意。 有人说抚仙湖在国内可以排...,"25℃气温刚刚好，静静地吹着云南的海风，看着三三两两的人群走过，很是惬意。
有人说抚仙湖在国内可以排第三，菜头比较认可，在我心里排第一的当属赛里木湖。
那么，你心中的第二湖是谁呢？

25℃气温刚刚好，静静地吹着云南的海风，看着三三两两的人群走过，很是惬意。
有人说抚仙湖在国内可以排第三，菜头比较认可，在我心里排第一的当属赛里木湖。
那么，你心中的第二湖是谁呢？"
383970296,2026-04-15 11:56,7,8,0,1/248,https://xueqiu.com/5266360866/383970296,回复@自然成长: 赛里木湖我排第一，第二是谁？...,回复@自然成长: 赛里木湖我排第一，第二是谁？
383941528,2026-04-15 10:14,26,21,0,1/248,https://xueqiu.com/5266360866/383941528,专栏不认输，咋地！ 1. 上周一直在广西跑，热得要死，白天大部分时间都是30度以上，今天终于来到一个...,"专栏不认输，咋地！
1.
上周一直在广西跑，热得要死，白天大部分时间都是30度以上，今天终于来到一个凉快的地儿了。
澄江抚仙湖边上，全天温度在15~28℃，全年都相差不大，真是个发呆的好地方。
这地儿我每年都会来一两次，只要不是大的节假日，大部分时间湖边都没人。一个人吹着风，披件单衣坐上几个小时..."
383664375,2026-04-13 16:46,23,3,0,1/248,https://xueqiu.com/5266360866/383664375,预防性永久拉黑所有参与配资的机构。...,预防性永久拉黑所有参与配资的机构。
383576718,2026-04-13 09:24,23,1,0,1/248,https://xueqiu.com/5266360866/383576718,专栏梅姨谈崩了 1. 据说梅姨谈崩了。 特总的代表小万表示，双方未达成任何协议，谈判算是破裂了，也就...,"专栏梅姨谈崩了
1.
据说梅姨谈崩了。
特总的代表小万表示，双方未达成任何协议，谈判算是破裂了，也就是谈崩了。
据说双方连面都没见着，伊怕见面握手之类的照片传回国内承受政治压力。
这就是当前的困局，双方都有谈的愿望，但是双方都有被民意裹挟着往前冲的动力，谁也不敢轻易后退。
而我..."
383537628,2026-04-12 17:20,37,4,1,1/248,https://xueqiu.com/5266360866/383537628,专栏第252期【2026.04.10】周总结 本周最大的事情，无异于是周一开盘前最后几个小时的那个所...,"专栏第252期【2026.04.10】周总结
本周最大的事情，无异于是周一开盘前最后几个小时的那个所谓的和谈消息，无论是不是TACO交易，但市场的情绪显然是被带起来了，无论是成交量还是涨幅，都不错。
尤其是创业板指数，本周暴涨了8.7个百分点，不但完全收复之前的失地，并且还创了新高，距离2015年的顶点也仅一步之遥。
大家似..."
