ID,发布时间,点赞数,评论数,转发数,页码,链接,摘要,正文
380367666,2026-03-20 15:22,28,5,0,1/244,https://xueqiu.com/5266360866/380367666,$特变电工(SH600089)$ 融资余额逐渐减少（潜在空头减少），换手回归正常（筹码锁定），好事儿...,"$特变电工(SH600089)$ 融资余额逐渐减少（潜在空头减少），换手回归正常（筹码锁定），好事儿。$电网设备ETF(SZ159326)$ 第一波预期炒作结束了，接下里就是业绩兑现，权重股会快速分化，没有业绩的公司哪来哪去，有业绩的公司会继续增长，场外资金的热情会逐渐消退，准备好迎接未来的二八行情吧。$国电南瑞(SH600406)$
$特变电工(SH600089)$ 融资余额逐渐减少（潜在空头减少），换手回归正常（筹码锁定），好事儿。$电网设备ETF(SZ159326)$ 第一波预期炒作结束了，接下里就是业绩兑现，权重股会快速分化，没有业绩的公司哪来哪去，有业绩的公司会继续增长，场外资金的热情会逐渐消退，准备好迎接未来的二八行情吧。$..."
380362569,2026-03-20 14:22,13,5,0,1/244,https://xueqiu.com/5266360866/380362569,$上证指数(SH000001)$ 别呀……，学学人家小登登不好吗？ $上证指数(SH000001)$...,"$上证指数(SH000001)$ 别呀……，学学人家小登登不好吗？
$上证指数(SH000001)$ 别呀……，学学人家小登登不好吗？"
380357781,2026-03-20 14:22,9,2,0,1/244,https://xueqiu.com/5266360866/380357781,回复@拜伦戴维斯: 那蛮多的，我核心资产组合里那些家伙，随便挑：网页链接{核心资产 - 雪球组合 -...,回复@拜伦戴维斯: 那蛮多的，我核心资产组合里那些家伙，随便挑：网页链接{核心资产 - 雪球组合 - 雪球}
380347402,2026-03-20 14:22,5,3,0,1/244,https://xueqiu.com/5266360866/380347402,回复@韭菜涨了割: 80、90美元$中国石油(SH601857)$ 最舒服，量大管饱，加油站不用贴钱...,回复@韭菜涨了割: 80、90美元$中国石油(SH601857)$ 最舒服，量大管饱，加油站不用贴钱，天然气稳赚。
380344308,2026-03-20 13:22,29,9,0,1/244,https://xueqiu.com/5266360866/380344308,由于石油暴利税、零售（加油站）双轨制等方面的原因，如果国际原油价格长期维持在100美元以上，中海油的...,由于石油暴利税、零售（加油站）双轨制等方面的原因，如果国际原油价格长期维持在100美元以上，中海油的业绩弹性比中石油大很多，中石化最受伤，面临长期加油站和炼化业务都没有利润的困境。$中国海油(SH600938)$$中国石油(SH601857)$$中国石化(SH600028)$
380341608,2026-03-20 13:22,20,6,0,1/244,https://xueqiu.com/5266360866/380341608,专栏风水轮流转，等好公司跌到位了去收尸 海湾那嘎达继续升温，那些一厢情愿认为特总可以摆摆手就可以结束...,"专栏风水轮流转，等好公司跌到位了去收尸
海湾那嘎达继续升温，那些一厢情愿认为特总可以摆摆手就可以结束战争的人，在投资市场，也在用钱为自己的认知买单。
股市挺好玩的，真枪实弹，打嘴炮没用，你的观点就是你的钱。
观点错了，钱就没了。
在中东冲突不断升级并引发油价飙升的背景下，美联储如期维持利率不变，点阵图显示..."
380336541,2026-03-20 13:22,18,2,0,1/244,https://xueqiu.com/5266360866/380336541,专栏利润被套住了 昨天我说当前还是有一些看好的公司价格也还不错，但是因为仓位被套住了动弹不得。 马上...,"专栏利润被套住了
昨天我说当前还是有一些看好的公司价格也还不错，但是因为仓位被套住了动弹不得。
马上就有人反驳说，明明重仓都是大涨的，怎么可能被套住了。
然后小伙伴A说：菜头的利润被套住了；
小伙伴B又说：菜头把利润回撤的部分也看作是被套。
哈哈哈，你们怎么那么了解我呢？
对啊，..."
380179147,2026-03-19 16:32,13,2,0,1/244,https://xueqiu.com/5266360866/380179147,勉强回来了...,勉强回来了
380147655,2026-03-19 14:26,33,10,0,1/244,https://xueqiu.com/5266360866/380147655,4000点要不要抵抗一下？ 4000点要不要抵抗一下？...,"4000点要不要抵抗一下？
4000点要不要抵抗一下？"
380139407,2026-03-19 13:54,9,1,0,1/244,https://xueqiu.com/5266360866/380139407,回复@白胡子猫头鹰: 一般一般，跌得少只是运气好而已。...,回复@白胡子猫头鹰: 一般一般，跌得少只是运气好而已。
