ID,发布时间,点赞数,评论数,转发数,链接,正文
378998091,2026-03-11 18:01:20,269,83,4,https://xueqiu.com/1965894836/378998091,迟迟推不出一个适应当下的windows产品更新，office也危如累卵，以至于大家抢购MACBOOK，组织有没有迭代进化能力才是分水岭，机遇也可以变成风险，或者相反。苹果只能说乔布斯留下的财富确实太硬了。
378220147,2026-03-05 22:21:47,376,134,7,https://xueqiu.com/1965894836/378220147,考虑到哪怕稍微负面一点的观察都没法在这个平台展示，投资人对我的整体发言自动降一级理解吧。
378106812,2026-03-05 11:00:09,204,32,2,https://xueqiu.com/1965894836/378106812,把ai往各个部门插，我们也有点这个味道， 其实我知道这很可能不是正确的解法，要以ai能力为主线重新配置人才。对大企业这真的很难，那些职业经理人负责的软件公司可能就算了吧。
377548741,2026-03-02 11:59:27,270,60,8,https://xueqiu.com/1965894836/377548741,内卷加互相泼脏水，没意思，恒科里不少标的是典型，一个缩影吧，所以这个看基本面且可以自由交易的指数就走成这样了。
377136420,2026-02-26 23:10:37,370,61,9,https://xueqiu.com/1965894836/377136420,开年一直处在兴奋又焦虑的情绪之中 ，ai在一些工作角色上正完成闭环 （可以独立迭代 ） ，很快我们以后的开支是采购和维系一个苹果分析师智能体 ，类似这样的场景不再是科幻 ，再以后也许是采购一个投资组合顾问Paul ，身处其中 ，我们的角色和工作都在发生极大变化 ，保持独立的批判性思维也许能帮我们更久地在新角色下坚持 。另外我也依然坚持认为人与人之间的娱乐和社交需求是这个时代最具壁垒的软件生意形态 。
376669594,2026-02-24 09:09:56,203,89,4,https://xueqiu.com/1965894836/376669594,美股也在流行科幻小说 ，只不过方向和a股是反的 ，外卖没有竞争是因为对手写不出软件 ，所以阿里在有软件的基础上要花1500亿去艰难扩张份额 ？
376560140,2026-02-21 21:18:08,563,69,25,https://xueqiu.com/1965894836/376560140,在我的投资生涯里，市场奖励短期多于长期，奖励错误多于正确，奖励叙事多于事实，奖励价格边际多于竞争力，时有发生，甚至长时间是市场的主流，有时候我们需要忍受寂寞。
376246565,2026-02-14 11:43:16,244,26,5,https://xueqiu.com/1965894836/376246565,恐惧和狂热很多时候是一体两面。产业革命加估值混乱，珍惜当下。
375971805,2026-02-12 12:53:50,299,71,3,https://xueqiu.com/1965894836/375971805,我刚毕业的时候非常想看美国男篮的比赛 ，恰逢北京奥运会 ，我有两个选择 ，一个是非常拥挤得去抽决赛 、半决赛票 ；一个是把当时还未分组的男篮小组赛门票全买了 ，我既能看到科比 、詹姆斯 ，也能看到姚明 、吉诺比利 。我选择了后者 ，毫无竞争地买到了全部票 ，最后前者也被证明是一个极低极低概率的抽签 。在我们当下 ，我们也未必非要竞争ai皇冠上明珠 ，可能有着异曲同工的解法 。
375654192,2026-02-10 14:00:21,361,153,20,https://xueqiu.com/1965894836/375654192,2021年我们担心esg，追捧新能源，踩踏老能源（石油、煤炭）；2026年我们担心ai，追捧ai&#34;赢家&#34;，踩踏ai“输家”；便宜总是有理由的，看我们相信什么了。
375463259,2026-02-09 11:00:34,338,56,11,https://xueqiu.com/1965894836/375463259,技术进步日新月异，开年以来每天都是信息爆炸，守不变是一种应对，追随变化也是一种应对，但趁着还算年轻，即使付出一些代价，还是要去探索新世界，成功与失败带来的认知积累，最终会在更长周期里帮到我们自己。
375119390,2026-02-06 00:15:40,281,43,3,https://xueqiu.com/1965894836/375119390,忍不住想表扬一下屈翠容团队，在这几年寒冬中回报了股东，又捍卫了市场份额。在中国做餐饮是非常不容易的，感谢。
374983057,2026-02-05 10:48:10,191,122,6,https://xueqiu.com/1965894836/374983057,中美日的游戏股这段都在下跌，除了ai让开发门槛降低，不再需要专业制作和运营以外，还有什么更合理的解释吗？
374913105,2026-02-04 22:51:34,417,87,4,https://xueqiu.com/1965894836/374913105,短短几天时间，似乎从软件到互联网，壁垒都不存在了，ai可以迅速替换他们。我觉得这种理解对行业细节缺乏认知，但市场确实这么演绎了。
374690652,2026-02-03 21:36:30,290,29,2,https://xueqiu.com/1965894836/374690652,事情不分大小，可以分对错，但不代表我们要持有的是一个“完美”的公司，基于完美的预期我们过去也没法持有数年时间。吐槽不代表要离婚，而我的观点也极有可能是错的，正如几年前我也担心游戏业务。模型团队在重组，我有期待，继续加油。
374641825,2026-02-03 15:53:54,723,472,16,https://xueqiu.com/1965894836/374641825,在元宝这个产品上的投流，和诟病的几个外卖玩家也没有什么大区别，抢红包的行为和大家使用元宝的核心功能有什么交集？3天后提钱，硬做留存率的kpi，我感觉我们的互联网企业集体病了，病得不轻。
374335881,2026-02-02 09:58:44,391,145,21,https://xueqiu.com/1965894836/374335881,家长制，孩子有出息，家里有困难，是要补贴家用或帮助兄弟姐妹的。忽然闪过一个前辈的话，不管怎样，我们组合要变得更全球化。
373866971,2026-01-29 22:32:32,320,49,11,https://xueqiu.com/1965894836/373866971,“07年中美一起造房子给人住 现在是一起造房子给机器住”我搭档的点评，有能力确实应该研究下层层分包下的债务结构，至少要保持关注和警惕。
373644702,2026-01-29 08:54:16,479,78,14,https://xueqiu.com/1965894836/373644702,黄金开年急涨，中长周期里，对国内那些金饰股不是好事，一是人均收入没有同等提升，买金门槛提升；二是它们的销售最怕黄金慢跌，这个概率也变大了。
372517257,2026-01-22 22:16:03,417,104,7,https://xueqiu.com/1965894836/372517257,按中国互联网开年涨幅一排，（前）分析师们已经急着宣布ai时代赢家输家了，这和十几年前我一度以为移动互联网赢家是奇虎、金山一样。
372128594,2026-01-21 10:27:38,337,35,6,https://xueqiu.com/1965894836/372128594,我们习惯用圣人的标准要求好人，用以德报怨对待坏人，有感于陈行甲领“高薪”。老俞是最能感同身受的，用新东方的名义把钱给了，这对我们未来公益的思考是一个启发。
371995196,2026-01-20 16:07:44,407,183,23,https://xueqiu.com/1965894836/371995196,今年可能会是ai技术普及的大年，2B收费模式会以流量计费慢慢替代坐席计费；2C谁先沉淀用户习惯、数据，谁就占据未来，对用户长期会是免费模式（甚至应该付费给用户）。
371776728,2026-01-19 16:07:35,641,173,9,https://xueqiu.com/1965894836/371776728,梁建章很早就建言过，投人力也是一种基建，我们现在4万亿投电力，而他算了一笔账，建10万个托幼中心，每个儿童补贴2万运营费用，每年4000亿。既解决大学生就业（同样投入，服务业对就业吸纳更好），也解决长期人口失衡的问题。
371221332,2026-01-15 23:12:22,368,71,7,https://xueqiu.com/1965894836/371221332,我年年踩雷 ，每年都可以出合集 ，所以基本只关心事实 ，新变量出现 ，搞清楚事实就能最快改正 。反垄断我很支持 ，和他们投关聊的时候 ，不止一次抗议过误触保险的坑人设置 ，没多少钱 ，把用户体验搞差 ，不是长期正确的事 。希望外部力量能让他们改正 ，并继续坚持好的服务 。现在人人嫌弃的亏损业务 ，几年后也许比本土还大 ，这家公司每次疫情都实现了份额的大幅扩张 ，相比那些负债表脆弱的海外巨头们 ，下一战在海外 。
371038366,2026-01-15 10:20:42,348,665,94,https://xueqiu.com/1965894836/371038366,一些媒体很坏，一次性海外股权套现的利润，我不信作者不清楚，但弄成标题党吸引眼球。但这基本就是我们的舆论环境了。
370979178,2026-01-15 00:08:55,422,152,25,https://xueqiu.com/1965894836/370979178,我们开年可以说是遇到了三连击 ，这种流动性的泛滥从过往的经验看很难维持一年时间 ，而期待经济大的拐点也不容易 ，可以说在不同时间维度今年都挑战重重 ，市场波动将显著大于去年 ，但从这段时间中国市场的无序来看 ，ai的出现让信息变得更公平的同时 ，并没有提高市场的有效性 ，我们人类主观基金经理至少还有最后一舞的机会 。
370832727,2026-01-14 13:55:50,453,100,20,https://xueqiu.com/1965894836/370832727,对商业的审美，对赔率的感知，对人性的洞察……持续的积累进而形成投资系统的闭环，这里有很多幸运的因素，要珍惜。错误的输入有时也会带来金钱上的奖励，这种奖励以破坏系统为代价，接受看起来很蠢的时候，每隔几年总会发生。
370267538,2026-01-12 11:16:13,382,126,14,https://xueqiu.com/1965894836/370267538,和5年前很同步了，虽然换了一些名字和主题。
369793248,2026-01-08 23:06:39,426,208,27,https://xueqiu.com/1965894836/369793248,这段做了一些调整，降低了中国互联网的仓位，增加了美国的投入，也准备多看看中国制造业。
369637422,2026-01-08 10:47:34,654,169,16,https://xueqiu.com/1965894836/369637422,不知不觉，港股成了一级市场倒垃圾的地方。
369531777,2026-01-07 18:58:27,425,100,6,https://xueqiu.com/1965894836/369531777,打造流量人设的最大副作用是有错不认，大佬都挣脱不开，忽然理解了。引以为鉴。
368992808,2026-01-05 10:31:02,224,186,16,https://xueqiu.com/1965894836/368992808,两家消费品公司，一家减少线上投放，一家增加线上投放，市场选择了跟随短期业绩释放，但在做对的事上我有和市场相反的看法。在估值能接受的前提下，先问对错，再问边际，他们并不总是矛盾，但还是有先后。
368706309,2026-01-01 16:51:16,494,43,4,https://xueqiu.com/1965894836/368706309,新年快乐，尽人事，但不用勉强，接受自己的平庸，我的经验是市场多数时候会自己解开。
368082639,2025-12-29 10:27:08,349,198,26,https://xueqiu.com/1965894836/368082639,疫情后三年陪伴，看着做大了市占率，但前两大股东想要共赢变独赢，到了对外资股的下头时刻，卖什么深情人设爱国人设都要小心些。小股东作为劣后的劣后，生意、人、估值即使都具备，也要分散些才有机会平均赢。
367598457,2025-12-25 10:05:30,409,91,10,https://xueqiu.com/1965894836/367598457,我们的中国英伟达太多了，代工受限的情况下还要价格战，一些客户账期还长，但我们二级市场ps几百倍给，可能不是自己钱吧。
366611288,2025-12-18 13:25:47,531,36,3,https://xueqiu.com/1965894836/366611288,我不太擅长画饼 ，这在很多年前对我们募资不利 ，但很多年后我们用做事的方式和结果最终也拥有了我们想要的规模 ，甚至远超当初预期 。我不太擅长画饼 ，这在当下对我们招募人才也不利 ，虽然从结果看 ，我们公司过去10年来员工的主动离职率是零 。在人工智能带来变革的时代 ，我也确实不敢承诺和展望什么 ，就如当初我作为一个局外人 （程序员 ）走入资管行业一样 ，只是看着脚下的路 ，计算着当下的回报和赔率 ，不断犯错的同时努力去改进 。我希望能提供一个长期稳定环境 ，这个环境有是非观 ，但又是平等开放的 ，我们最终能做到什么 ，AI会发展成什么样 ，我无从判断 ，但我们一直直面问题解决问题 ，当我们持续这么做 ，我不觉得我们会是一个下限低的团队 。在一个有复利 、高天花板的领域 （人效可以极高 ） ，我们带着责任感一起做事 ，相信迷雾随着时间会自己揭开 。 （算是一个回答吧 ）
366519416,2025-12-17 23:08:04,313,148,7,https://xueqiu.com/1965894836/366519416,明明一个app就能解决的事，为什么每个子公司都要单独发app，不就是ai在某些场景的应用吗？企业文化可能真有毒吧。
365841977,2025-12-12 23:45:14,455,105,7,https://xueqiu.com/1965894836/365841977,最近看到几位我敬佩的投资人说价格（估值）不重要，虽然我也表达过做空 时机更重要，长期投资 质地更重要之类的，但估值在我体系里始终是对我的保护，思考很久，还是想继续坚持下去。
365131912,2025-12-09 11:29:08,339,76,12,https://xueqiu.com/1965894836/365131912,全球大部分有显著加速的资产都在一个池子里，当我们不同行业的分析师推的标的共享一个底层逻辑，市场的分散、行业的分散就不会起作用，这是让人焦虑的，到了频繁说不的时候。
364302327,2025-12-03 12:46:22,407,42,3,https://xueqiu.com/1965894836/364302327,中国资产在做减法，长期好的生意选择是有限的；美国资产在做加法，我需要大量的碰撞和错误来加快学习，这是一个认知过程。未来沟通方式还在思考，先向投资人汇报这些。
363725176,2025-11-28 18:26:34,246,162,19,https://xueqiu.com/1965894836/363725176,拿市占阶段的ue，和丢市占阶段的ue，哪能这么简单粗暴的比，当然，在回报有限的背景下这么比来比去其实也很无聊，我也不知道你们图啥。
362580561,2025-11-21 09:37:00,207,41,2,https://xueqiu.com/1965894836/362580561,有朋友在看我们13F，还是提示一下，我们是一个对冲基金，13F并不披露我们的空头，也不披露我们美股以外仓位，所以参考意义有限。
