ID,发布时间,点赞数,评论数,转发数,页码,链接,正文
58577865,2015-10-27 21:29:00,0,0,0,165/183,https://xueqiu.com/1965894836/58577865,$百度(BIDU)$ 行业前2纷纷合并，wuba与赶集、美团与大众点评、携程与去哪儿、嘀嘀与快的，等等，加上经济景气度一般，百度做为后周期行业，业绩压力应该不小。
150788961,2020-06-04 09:10:00,0,0,0,146/183,https://xueqiu.com/1965894836/150788961,每个时代都有自己的际遇，我一度以为阿里和腾讯一统天下，不还是冒出了头条 pdd 美团们。
196086471,2021-08-30 23:00:00,0,0,0,133/183,https://xueqiu.com/1965894836/196086471,除了社交以外，互联网其他子集防守似乎是没有意义的，草原上的游牧民族没有所谓护城河，想守着自己一亩三分地，不出三年就兵临城下了，只能始终找狼性最足的团队，尤其当前渗透率和时长打满的情况下，不进则退，可能抖音和美团符合这个要求吧。
210014323,2022-01-25 16:43:00,396,133,250,2/3,https://xueqiu.com/1965894836/210014323,2021年基金年会文字部分 （投资人认购前请先阅读 ，相比真金白银的付出 ，这占不了太多时间 ） 一 、基金近况 吴 ：大家好 ，首先给给大家简单介绍一下我们公司最近的情况 ，今年年底研究部加入一位消费研究员 ，虽然原来我们消费已经有一个人在覆盖 ，但因为这个行业非常大 ，还是选择增加一个人手 ；然后交易的部分我们也会增加一个人 ，这样容错性会更好一点 。以上就是我们团队人员的情况 。 我们投资的基本理念一直没有变过 ，还是着眼长期去做选择 ，追求简单而不会去做太复杂的事 ，我们会将关注点聚焦在变化上 。 建 ，我们历史上是围绕下图进行仓位构建 ，现在最新的仓位净额在65% ，处于一个偏高的位置 。我们持仓的标的数量大概有30个 ，跟过去一个比较大的区别是我们当前没有特别重仓的成长股 。这是由于之前发生过的类似教培监管或者是其他一些政策上的原因 ，又或是一些疫情的不确定性等 ，种种原因导致我们在单个标的上不愿下重注 ，所以我们也在等待更右侧的情况 。但其实我们最近已经看到监管层面一些较为乐观的迹象 ，包括昨天我还看到人民日报的一篇文章提到游戏行业现在又被称为数字经济的重要部分 ，那我们觉得这可能是一个信号 。最近的宏观数据上看的确经济显得太糟糕了 ，在这样的背景下我们还是能看到房地产政策的放松 ，信用上的放松 ，等等这些边际上的变化 。我们也在关注滴滴APP的重新上架或者版号的放开 ，等到那个时候我们可能会更加确认一点 ，到那时我们再慢慢把仓位推起来 ，但投资就是伴随着不确定性的 ，这点我们要理解 。这个图是我们产品历史以来运行的仓位情况 ，长期围绕一个50%的净多做布局 。 接下来这个饼图是我们今天重点要沟通的部分 ，其实很多投资人的一些疑惑都可以在这里面得到解答 ，这也是我第一次讲我们产品的具体策略 。我们可以看到现在成长股在净多40% ，价值股也就是高息股大概在净多25% 。在这个结构中可以看出我们的成长股是分散持有的 ，大概有25个标的 ；而我们高息股是比较集中的 ，可能在5个标的左右 ，所以这两者加起来构成一个约30个标的的组合 。按市场分类看 ，A股占净多10% ，美股占净多20% ，港股占净多35% 。港股中25%是价值收息股 ，这部分我们是不做对冲的 ；10%是成长股 ，而这10%的构成是由25%的多头 ，对上15%的空头 ，在成长股上我们是做对冲的 。因为做空A股还是相对比较困难的 ，所以A股我们是单边持有净多10% 。我们现在持有的A股估值大概在动态PE25倍到30倍 ，如果你要说这很有吸引力那其实可能也还差点意思 ，但是这些标的质量还是可以的 。所以如果A股能再下调20%估值 ，达到20到25倍 ，那我们觉得这个就比较舒服了 ，那时候我们把A股的仓位再往上推 ，A股10%回撤两个点就是净多8% ，这时我们就可能会把仓位double一下 ，这样可能会看到A股15%的净多 。A股最近慢慢地开始在跌 ，所以我们反而挺乐于看到这个事情发生 。 ：中概股和纯美股 。由于中概股其实是更偏向于跟随港股 ，所以我们把这两块拆开来看 。美股大家都讲加息或者通胀 ，其实我们纯美股的净多大概是10% （15%多-5%空 ）而且我们又用了0.5%的衍生品去做保护剩下10%的部分 ，所以纯美股这部分我们基本没有风险敞口 ，这可能是我们历史以来对纯美股最低配的一个水平 。有一些二线的美国科技股在这几个月是跌的比较多的 ，其实去年一年他们的表现也都不怎么样 。斯达克指数基本上来自于几个大的科技股 ：特斯拉 、苹果 、Google 、微软 ，这些标的的贡献的非常大 。虽然大部分的标的跌的还挺多的 ，但其实估值还是很贵 ，这是一个挺大的问题 ——原来估值太高比如60倍ps ，你跌了一半之后30倍ps ，那对我们来说还是没有任何吸引力 ，这是纯美股的情况 。然后中概部分 ，我们现在大概有10%的净多也是围绕在互联网行业 。而A股跟港股这边 ，我们整个配置是偏消费跟制造的 。这里的制造指的就是我们一直覆盖的电子与新能源 。 围绕这个图来展开 ，其实你们看到这个图就知道 ，比如说最近港股涨了很多 ，你们也不用特别开心 ，因为其实我们净多暴露的敞口也就这样 。那如果到时候跌很多 ，其实你们也不用特别忧虑 ，因为我们就是这样一个风格的基金 。就像20年3月份美国熔断好几次 ，那对于我们而言 ，无非就是一个再平衡的过程 。原来美股可能净多10% ，A股跟港股的净多更多一点 ，那我们就把港股跟A股的净多往美股搬 ，在长期估值的基础上去做轮动 。包括价值股跟成长股也是一样 ，大部分的时候可能我们觉得成长股机会多 ，我们就砍掉一些价值股加到成长股 。但今年的情况比较特殊 ，这就是为什么我们当前净多比较多的原因 ，因为我们高息价值股是不做对冲的 。假设我们同时在成长股和价值股上面看到了机会 ，我们也没法去砍掉现在股息很高甚至派息政策更明朗又或者基本面改善更多的一些价值股 ，不去看价值股而增加成长股似乎也不太理性 ，所以我们更倾向于维持现在这个组合配置 。 我们前五大仓位是 …… …… 。变化比较大的就是xx跟xxx ，这两个最近刚好也都有事件 。xx公告2月7号之后回购港股 ，它账面有几千亿现金 ，这个动作影响还是挺大的 。然后xxx的话 ，油价现在比较友好80多美金 ，而我们一年前拿它的时候 ，那会的油价可能才四五十美金 ，股价的涨幅也完全没有体现业绩变化 ；还有一点是他承诺了一个七毛的派息下限 ，比如说有些资金不像我们杠杆那么低 ，对于杠杆很高的资金 ，它是有利息成本的 。而当你承诺一个派息下限 ，相当于可以拿这个股息去覆盖利息成本 ，所以这其实是很适合保险资金去配置 ；今年是xxx20周年还会额外派特别息 ，所以到时候我们看他派多少息再看看最后怎么定价 。xxx今年应该是可以做到700多亿的利润 ，你换成港币的话现在也就5倍市盈率 ，而且这还是根据去年60多美金油价计算的 。如果按照现在80多美金 ，就算不按80美金按70美金算 ，今年的估值也很有吸引力 。资本开支基本上没什么变化 ，去年是900亿 ，今年900到1000亿 ，还是可持续的状态 。xxx还有一点比较有意思的是以后会拓展海上风电 ，它的利用小时数是很可观的 ，以后也可以用来平衡esg ，对冲可能的碳税 。我们也看到了在去年港股表现比较好的电力板块 ，哪怕是传统的火电 ，因为发展新能源 ，股价也有一个非常大的涨幅 ，这部分目前并没有定价 ，可以视为一个option 。 再说到xx ，基本上跟xxx是一个逻辑 ，xx估值大概动态PE的七倍左右 ，xxx可能八倍 。xxx股息率相对更高一点 ，去年中把未来的派息比例提高到60%～70% 。xx现在缺点就是派息比例没有提升 ，我们期待这个事情发生 ，因为我们也看到了xx大股东的增持 ，以及未来的回购 。 xx跟xxx ，我知道投资人有问到这两个标的 ，我先简单的讲一下 ，到时候我们再展开讨论 。xx是一个偏事件的交易 ，当然它公司本身我们也很喜欢 。从去年三季度末 ，内房股就开始暴雷 ，各种美元债频频出现问题 。如果我们单独去抄底房地产 ，或者说博房地产政策上的边际放松 ，我要买一个暴雷的内房 ，其实是风险很大的选择 ，我是不愿意做这种赌博式的交易 ，所以我们就不会去选择内房而选择xx这一类的标的 。而且xx的背后也是存在长逻辑的 ，它二手房业务的竞争力是很强的 。美国的房地产市场有80%是来自于二手房 ，而新房只占20%甚至不到 ，这跟我们国家市场是完全相反的 。所以一旦我们的房地产进入到成熟阶段 ，二手房的占比便会高起来 ，因此这是一个长期受益的事情 。 xxx的话 ，我们觉得这个估值是比较有吸引力的 ，传统思路可能更多是去看他当下赚多少钱 ，但这其实不是我们看互联网的主流思路 ，我们一般会考虑他现在用户规模是怎么样 、做的生意有多大 ？GMV有多高 ？比如说他现在是2.3万亿左右的GMV ，那我们买的时候市值可能是4千亿 ，那差不多就是0.2 （市值/GMV ） 。那我们看还在增长的所有的同行 ，基本上没有这样的估值 。增速快一点的公司比如以前东南亚的SEA ，之前这个比值可能是它的十倍 ，所以它是很有吸引力的选择 。当然大家也会说他品牌化不利 ，但其实这是它产品的调性决定的 ，而且它也在慢慢突破 ，包括最近还跟美的签了一个合作 ，那这个事情变得对我们更加有利 。另外让我们比较惊喜的是看到xxx在社区团购的竞争中是没有掉队的 ，一年前社区团购有很多的玩家 ，而现在就基本只剩下美团和xxx ，这两家市占率大概差不多 ，两家一起拿掉了市场百分之七八十的份额 ，所以xxx还是赔率比较合适的一个标的 。虽然现在分歧比较大 ，争论比较多 ，比如说帮忙砍一刀等等 ，但我觉得这已经是历史的问题 ，而且在当时这个策略至少是成功地把用户吸引到了 ，那我们现在就更多关注他的留存 ，它做农产品也好 ，社区团购也好 ，都是围绕这点来做的 ，团队还是很有执行力 ，这是投互联网公司最重要的一点 。 二 、产品过往业绩表现  我们回顾一下产品的业绩表现 ，我们的美元产品去年是比人民币产品的表现要更好一点 ，其中的原因有几点 ，首先主要是受到汇率的影响 ，去年人民币在升值 ，而美元产品是美元计价的 ，我们持有人民币资产 ，导致我们美元基金的表现就会比国内基金稍微好一些 。然后还有一个原因就是当几个产品收益都比较低的情况下 ，费用 、税收就会有开始显现出来 。因为人民币产品是要交增值税的 ，而美元基金没有这个负担 ，同样地我们拿股息 ，人民币基金的股息税就要比海外基金要高 。 这个是我们美元基金的一个情况 ，那这里我想特别指出几个月份 ，就是七月份我们掉了两个点 ，那是因为踩了教培的雷造成了一些亏损 ，但好在我们的组合是比较分散的 ，这个影响也不算特别大 ，但我个人觉得这个事确实是一个挺糟糕的事情 。 然后这是我们国内产品的情况 ，跟海外的产品大概收益差额两个点 ，其实还不止 ，如果剔除业绩费 ，可能差不多三个点收益差 。但长期我们这两个产品是基本一致的 ，因为底层的东西一样 ，所以不会有太大的偏差 ，可能有时候像十月份会有一些小的差异 ，因为我们的沪港通在十一国庆期间停掉了 ，但那时候美股和港股还在交易 ，所以这个时候可能会有一些不同步 ，除此之外整体上面我们会去追求同步 。 三 、港股市场回顾 接下来我们简单回顾一下港股市场 ，这是16年与21年成分股的对比图 。恒指的成分股可能换了大概一半的前20仓位 ，而国企指数就换得更多了 ，可能换掉了80% 。所以我们投的东西跟我们五年前去比较变化很大 。但其实我是乐于见到这样变化的 ，这说明市场是有活力的 ，曾经前20成分股都是银行 、石油和地产 ，感觉会有点暮气沉沉 ，而成分股里面的企业有活力是很关键的一个因素 ，但我不太喜欢投指数的原因是因为有很多的人去套利指数 。打比方说可能快手它刚上市的时候 ，我先把你炒高几倍进指数 。因为指数不看你估值只是按照流程来做事 ，这导致投指数变成一个不明智的事情 。 然后我们可以看看这两年来IPO的情况 。A股的IPO我们看到会偏国有企业 ；港股跟中概的IPO是偏民营企业跟新经济 。所以我们看到比较优秀的民营企业在港股是可以融到钱 ，或者说低成本拿到钱 ，那这其实是我们很乐意见到的事情 。因为拿到钱你才能去发展 ，尤其是像美团 、拼多多就在这两个市场拿了不少钱 ；蔚小理 （蔚来 、小鹏 、理想汽车 ）也是如此 ，现在 “蔚小理 ”每家账上可能有将近四五百亿的现金储备 ，这个钱都是这样融来的 ，传统企业哪怕像长城汽车这么优秀的公司 ，一年也就赚几十亿 ，你想要到四五百亿的现金 ，这得干多少年 ？所以这能迅速弥补他们之间的差距 。 这是港股过去几年来估值变化的情况 。这张图的时间点才截到十月底 ，所以医药股看起来估值还在高位 ，但之后医药股就崩了 ，所以整体上看所有标的都是一个估值回归的状态 。这也是为什么去年做港美股会觉得比较累的原因 。在一个这样单边下跌的市场 ，你可以做的事情比较少 。我们随便举个例子 ，比如说像电商 ，去年京东在二选一的情况下也是很受益的 ，很多品牌都来京东了 ，用户也爬得很快 。理论上你这么受益的情况下 ，你股价应该有个好的表现 ，可能回头一看过去一年京东也跌了十个点 。所以在这种情况下 ，你如果单边做的话是很难做出什么收益的 。你已经选到这个行业里最好的 、最受益的公司 ，而他也只是做到跌的少一点而已 。如果选择阿里 ，跌50个点 ，那选择拼多多 ，跌70个点 ，就是这样的一个情况 。 我们再看一下港股一年以来的大事件 。阿里反垄断后 ，市场又癫狂了一段时间 ，春节期间的一段行情是最疯狂的一段 ，在这一段我们在不停地砍仓位 ，这也是为什么到20年Q4之后 ，我们业绩没有同行好的原因 。那个时候我们觉得估值贵了 ，我们已经开始在卖了 ，所以真的等到他们崩的时候 ，我们至少比做互联网或做港股的同行表现要好 。盈亏同源 ，我们不参与泡沫 ，所以即便市场真的崩盘了也伤害不了我 ，我们也不在意 。很难通过一个策略在泡沫后段也让我们吃到收益 ，回撤也没有 ，我觉得这个不可能 ，也从来没有这样的事情让你两边的便宜都赚了 。即使有也是非常小概率的事件 ，更不能期待这能成为长期收益的来源 。 我们知道股价短期是供求关系决定的 ，下面我们简单给恒指阶段落后归因下 ，从资金面上看 ，美国政策收紧使得中概股大量回归港股 ，那么多公司要回来 ，回来又都要融资 ，这就造成了短期的供求不平衡 。去年七月份是一个很重要的时点 ，以滴滴偷偷在美股上市最后被处罚为标志 ，之后又发生了整个教培行业被取缔 ，这两件事是非常打击市场信心的 ，在此之后很多纯外资的基金经理就不再配中国的股票了 ，这就是一个客观的现实 ，几乎也是信心归零的时候 。到了去年三季度末四季度初 ，恒大开始发酵 ，引发房地产债务违约潮 ，进一步把大家原本就很糟糕的信心又更加打击了一点 ，短期内供求也就更加不平衡了 。从基本面上看 ，前年下半年开始市场就已经完全泡沫化 ，估值很高 ，在这个大背景下 ，国家的监管政策 、上游成本激增以及疫情反复都影响企业的基本面表现 。 去年面临那么多挑战其实是很难的 ，所以我个人对我们的表现还算满意 ，可能投资人会觉得一般般或怎么样 ，但我们心里有自己的记分牌 ，我认为我们干得还算OK ，至少没比前两年差 ，毕竟大环境就是这样 。 四 、未来投资机会展望与应对策略 在互联网行业我们目前没有看到系统性机会 ，买平台收流量费再赚差价这种模式的红利期已经过去 ，未来互联网需要深度介入产业 ，下苦功夫打磨产品 ，提高社会效率 。就像我前面提到的 “贝壳 ” ，他对线下的改造已经非常深厚了 ，实现了整个产业链的利益捆绑 ，通过 “真房源 ”也切实便利了消费者 。这些公司可能还会有机会 ，但像以前在百度上投广告把客户吸引过来再收商家广告费赚差价的这种简单的模式越来越难以成功 。最典型的例子就是南极电商在去年下半年GMV全面崩盘 ，找消费者收智商税本身就是不是长期的 。反观米哈游的 “原神 ” ，那确实是因为他的产品好才得到认可 ，如果还是像传奇 、奇迹 ，贴个皮改一改再买点量 ，路就是会越走越窄 。韭菜割了一次 ，下次再割就不容易了 。 中国的移动互联网模式其实是挺有竞争力的 ，以前是我们抄美国 ，携程这些企业抄了美国的一些模式回来 ，现在可能反过来 ，他们抄我们 ，比如短视频 ，无论是Snap还是Facebook都抄了我们的短视频 ，所以我们后面会更多关注中国互联网模式敲开海外的大门 ，当然未必一定是我们中国的公司 ，海外公司学的好那他们也有机会成功 。 消费行业的话分成短期和长期方向 ，短期的就是疫情对消费信心的影响还是挺大 ，但其实这里面也带来了一些机会 。原来有一些企业本来是在上升通道 ，是同行里面最优秀的 ，天花板也是很高的 ，但是碰上了疫情打断了原来的成长趋势 ，但其实它的核心竞争力并没有改变 ，那其实我们可以等待这样的一个机会 ，当疫情管制放松或者有特效药问世 ，那这些标的其实是很有配置价值的 。另外一块是奢侈品消费 ，也包括文创的消费 ，我们看到这些数据是比较坚强的 ，这也代表一种贫富分化 ，有钱人还是能维持消费 ，当然也因为疫情原因现在也只能在国内消费 ，所以我们看到一些国内的高端商场日子是比较舒服的 ，跟19年底对比是有一个非常大的增长 。 消费的长期方向是满足消费者更健康 、更智能 、更舒适的需求 ，因为人总是越来越懒 ，所以才会出现了扫地机 、洗碗机 、一体机等等帮助人类减少工作量 。元气森林主打代糖 ，更健康 ，在去年销售依然非常好 ，表明大家会追求更健康的生活 。消费者对健康舒适的追求是一个长期的趋势 。 新能源行业我们更倾向于对冲配置 ，其实我们去年就觉得估值挺高的 ，现在可能有些票的估值更高了 ，但去年我们对冲是比较难配的 ，这个原因在于渗透率从个位数往20%多提升的时候 ，市场的状态就是供不应求 ，这意味着只要能供得出就不愁卖 ，哪怕你质量稍微差一点 ，产品竞争力也没那么好 ，在销售上面是看不出来的 。而到了今年 ，边际增速放缓 ，供应放量 ，这个时候好的产品和差的产品就自然被市场区分了 ，而这就相应地带来一些对冲机会 。同样也是因为去年的供不应求 ，导致去年利润都在往上游走 ，价格是由边际推动的 ，但长期的利润分配格局可能会从上游往下游迁徙 ，这也是我们比较关注的事情 。 我们国产自主研发的电动车差不多是30万的价位 ，对标原来BBA经典走量车型 。因此BBA的市占率往下走是一个非常确定的事情 ，这块我们可能也可以做一些多空对冲 。 电子行业我们会比较关注VR 。Facebook明年的资本开支是很大的 ，差不多在290到340亿美金 ，甚至它把名字都改成元宇宙了 ，表明了他all in的决心 。我们期待看到的一些好的作品或者产品去驱动硬件的发展 ，而不是靠概念去催生一个行业 ，这是我对元宇宙的观点 。我们对虚无缥缈的事不感兴趣 ，我们感兴趣的是真正可以观察 、可以跟踪得到的真正好的产品 。 关于折叠屏手机 ，报告给的数字表明未来渗透率会往上走5%到10%的水平 ，我们会看看这里面会不会有一些机会 ，但我觉得短期不会出现类似智能机对功能机的替代那种很大的机会 ，所以我对这个行业现在比较保守 ，更多的机会可能会出现在汽车电子 。 以上是行业的情况 ，行业细分我们是围绕成长股做的 ，另外还有部分是价值股 。价值股的选择条件是要求高息且可持续 ，对我们基金而言 ，我还希望价值股的标的具有非常好的流动性 ，当我们真正需要钱的时候是可以马上拿出再平衡的 。比如说我们在成长股中看到一些特别好的机会时 ，是会减掉一些高息股去配置成长股 。能不能及时换成资金很关键 ，所以一些流动性差的标的 ，我们是不考虑的 。 去年我们在配置价值股时 ，更多是考虑到成长股估值太高 ，这需要我们找一些价值股做防守 。但今年不是这样的 ，今年我们配置它们不是出于防守 ，而是他们基本面变好了 ，派息也明确了 ，回报股东的意愿也更强了 ，我认为它们是会给我们带来一个超额回报的 。 结语部分我想表达一个观点 ，就是大家认为港股估值低回报就会不好 ，但当你看长远一点 ，看五年十年其实估值高低一点都不重要 。核心因素绝对是这个企业增速是多少 ，创造了多少现金流 ，估值高低只会影响一两年的回报 ，更低的估值水平并不影响长期回报本身 。反过来想 ，估值低还有一点好处是你可以分红再投 ，回报率其实反而是好的 。 大家可能经常会问的美国加息问题 ，对这件事我们是没什么观点表达 ，当我们回答不了就把这部分对冲了 ，把敞口留的少一点就好了 。我们真正要小心的不是这些在明处的偏显性的问题 ，反而是一些类似火山喷发或是疫情爆发这些突发性的东西 ，在我们的传统模型里面没有覆盖的才可能是一个最大的风险项 。 问答部分太长 ，我就不贴上来了 。
211825058,2022-02-18 15:03:00,0,0,0,122/183,https://xueqiu.com/1965894836/211825058,$美团-W(03690)$ 谁是亲儿子，一目了然，各地已经在下调购房首付比例。
211864889,2022-02-18 23:17:00,0,0,0,122/183,https://xueqiu.com/1965894836/211864889,"""12．引导外卖等互联网平台企业进一步下调餐饮业商户服务费标准，降低相关餐饮企业经营成本。引导互联网平台企业对疫情中高风险地区所在的县级行政区域内的餐饮企业，给予阶段性商户服务费优惠。"" 这市场有点惊弓之鸟了，美国也有地方政府提对扣点上限的要求，也没见他们这么恐慌啊，而且疫情原因，行业困难，一起分担一点不也挺正常的一件事吗？ ""12．引导外卖等互联网平台企业进一步下调餐饮业商户服务费标准，降低相关餐饮企业经营成本。引导互联网平台企业对疫情中高风险地区所在的县级行政区域内的餐饮企业，给予阶段性商户服务费优惠。"" 这市场有点惊弓之鸟了，美国也有地方政府提对扣点上限的要求，也没见他们这么恐慌啊，而且..."
211880759,2022-02-19 10:32:00,0,0,0,122/183,https://xueqiu.com/1965894836/211880759,餐饮没有外卖前也一直是创业失败率比较高的行业，要搞清是否压榨商家这个问题，是可以做流调的，看看有外卖后失败率是否更高了？这几年行业整体是否有高于平均水平的增速？有这些数据支持，你们骂美团，骂饿了嘛，可以更理直气壮些。超额收益可以来自再分配（所谓压榨吧），也可以来自效率提升。另外这两年疫情对线下影响真的很大，我相信这也是这一系列政策扶持的初衷，政府对商户减税，银行提供低息贷款支持，平台降低一些费用，我没觉得很突兀。不过确实之前的一些手段，缺乏缓冲，导致大家信心脆弱，其实想想运营商那么多年提速降费，换来我们全球几乎最低的资费水平，也换来移动互联网的发展，只要饼做大，最后运营商从利润回报上依然不差，每年也有近千亿的利润，甚至这个利润和当年相比，变得更健康可持续了。 餐饮没有外卖前也一直是创业失败率比较高的行业，要搞清是否压榨商家这个问题，是可以做流调的，看看有外卖后失败率是否更高了？这几年行业整体是否有高于平均水平的增速？有这些数据支持，你们骂美团，骂饿了嘛，可以更理直气壮些。超额收益可以来自再分配（所谓压榨吧），也可以来自效率提升。另...
213221259,2022-03-07 10:58:00,0,0,0,121/183,https://xueqiu.com/1965894836/213221259,没有什么新经济，旧经济，都是创造现金流的资产，就按长期创造现金的能力算好了。比如某外卖平台，一天一亿单，一单一块钱，做到了也就365亿利润，到时如果成长性下降，给个运营商的个位数pe估值，我不知道当时3万亿市值怎么给的。
215237735,2022-03-25 19:29:00,0,0,0,119/183,https://xueqiu.com/1965894836/215237735,美团开了一个公益业绩会，提高骑手待遇，支持抗疫，振兴农村…未完待续；对比之下今天几个国企的业绩主要是：嗷嗷赚钱，嗷嗷派息
219662175,2022-05-11 16:56:00,0,0,0,114/183,https://xueqiu.com/1965894836/219662175,举个具体的例子吧，本来我们这轮配置了某外卖平台，看到一季报（数据）后，现在这部分分成中国外卖和美国外卖，我们是微观机会驱动的，不是宏观驱动的，这点没有改变过。
