ID,发布时间,点赞数,评论数,转发数,页码,链接,正文
215008259,2022-03-23 20:51:52,2,0,0,81/83,https://xueqiu.com/9236758887/215008259,真有那一天，也许是大道接手，反正也不太忙
225483626,2022-07-15 17:20:52,3,0,0,80/83,https://xueqiu.com/9236758887/225483626,一点小钱就不折腾那么多帐户了
266186351,2023-11-09 11:42:18,3,6,0,78/83,https://xueqiu.com/9236758887/266186351,蒙3#精煤今天的线上拍卖价是1500
266379973,2023-11-10 12:57:45,2,0,0,78/83,https://xueqiu.com/9236758887/266379973,蒙古焦煤明确表态不扩产。这才是正确的思路
266380048,2023-11-10 12:58:20,0,0,0,77/83,https://xueqiu.com/9236758887/266380048,今天开始数起来
266485170,2023-11-11 09:24:20,2,0,0,77/83,https://xueqiu.com/9236758887/266485170,没什么，心痛有人贷款几千亿投了这么无效产能，电价一用正常工商业电价都得死
266490972,2023-11-11 10:48:29,0,2,0,77/83,https://xueqiu.com/9236758887/266490972,正确 ，这也是我为什么移到金川 。哈哈哈
266495553,2023-11-11 11:57:58,5,4,0,77/83,https://xueqiu.com/9236758887/266495553,我是看中有机会每股每年分一块钱的红
266495860,2023-11-11 12:02:59,2,0,0,77/83,https://xueqiu.com/9236758887/266495860,铜2.2%左右 ，外加0.9%钴 ，等效6.0%的铜矿
266529148,2023-11-11 22:24:03,0,0,0,77/83,https://xueqiu.com/9236758887/266529148,应该是年中时候的信息，数据还没有更新
266538945,2023-11-12 07:33:50,2,0,0,77/83,https://xueqiu.com/9236758887/266538945,不用担心，棒状硅将来不是超产而是降负荷和关停。颗粒硅只要不扩产太多，大概率满产满销
266644522,2023-11-13 11:24:00,3,0,0,77/83,https://xueqiu.com/9236758887/266644522,印度的需求在持续上涨。澳洲基本没有焦煤来中国了
266694231,2023-11-13 16:32:28,2,0,0,77/83,https://xueqiu.com/9236758887/266694231,看评论，发现无耻的人还真多
266824545,2023-11-14 13:45:28,0,0,0,76/83,https://xueqiu.com/9236758887/266824545,是方向，也可以避免腐败，挺好的事
266825538,2023-11-14 13:50:41,2,0,0,76/83,https://xueqiu.com/9236758887/266825538,10元我是不会卖的，我更希望每年稳定50%的分红。这样我就有稳定的被动收入了
266882054,2023-11-14 19:52:15,1,0,0,76/83,https://xueqiu.com/9236758887/266882054,蒙古焦煤明确了不扩产。从现金流保守估值比较适合
266882168,2023-11-14 19:53:46,2,0,0,76/83,https://xueqiu.com/9236758887/266882168,Excel
266882873,2023-11-14 20:00:23,1,0,0,76/83,https://xueqiu.com/9236758887/266882873,蒙焦不会再投一个洗煤厂。一年1500万吨也足够支撑股价再涨4/5倍
266954407,2023-11-15 10:10:28,1,0,0,76/83,https://xueqiu.com/9236758887/266954407,你都买那么多了，不用了
266967599,2023-11-15 10:52:00,10,10,0,76/83,https://xueqiu.com/9236758887/266967599,汽车最重要的是可靠而不是花样多
266992532,2023-11-15 13:09:17,5,2,0,76/83,https://xueqiu.com/9236758887/266992532,我们的讨论好像对股价有影响， 哈哈哈
266994362,2023-11-15 13:18:52,4,0,0,76/83,https://xueqiu.com/9236758887/266994362,60万的阅读量，哈哈哈，有以前没有看过00975的人看了这个帖子，早知道，写的清楚一点。
267003978,2023-11-15 14:01:14,3,0,0,76/83,https://xueqiu.com/9236758887/267003978,看不清，两边都不正常
267138926,2023-11-16 10:25:33,8,0,0,76/83,https://xueqiu.com/9236758887/267138926,每一个资源基本上都是有唯一性 ，铜 ，锂 ，铁 ，都基本上不能被其他资源替代 。能源最后的产品是能源 ，石油 ，天然气 ，煤炭 ，核能 ，风光 ，都要相互替代的空间 ，用量上此起彼伏 ，价格上共进退 。等内燃机退出以后会更明显
267175624,2023-11-16 13:26:23,3,2,0,76/83,https://xueqiu.com/9236758887/267175624,请问加拿大的企业所得税是多少 ？
267228138,2023-11-16 18:35:49,1,0,0,75/83,https://xueqiu.com/9236758887/267228138,蒙古企业所得税25%
267254350,2023-11-16 22:17:00,2,0,0,75/83,https://xueqiu.com/9236758887/267254350,160也是蒙古边境价格，不需要短盘运输
267318726,2023-11-17 11:06:12,0,0,0,75/83,https://xueqiu.com/9236758887/267318726,刚好还缺几百万股，来吧
267335875,2023-11-17 12:36:16,1,0,0,75/83,https://xueqiu.com/9236758887/267335875,二十公里还倒腾一下本来就是瞎折腾
267352191,2023-11-17 14:05:55,1,0,0,75/83,https://xueqiu.com/9236758887/267352191,Q4协鑫都会累库存了，会有很多人降产能的
267388781,2023-11-17 17:36:44,1,0,0,75/83,https://xueqiu.com/9236758887/267388781,这肝门出气太多了
267388884,2023-11-17 17:37:24,1,0,0,75/83,https://xueqiu.com/9236758887/267388884,可惜太卷都赚不了钱了
267407893,2023-11-17 20:23:52,1,0,0,75/83,https://xueqiu.com/9236758887/267407893,应该不受影响，不过要等下一次财报才能明确
267408094,2023-11-17 20:26:22,0,0,0,75/83,https://xueqiu.com/9236758887/267408094,那班人得了便宜还卖乖，嘴还停
267438896,2023-11-18 08:48:46,0,1,0,75/83,https://xueqiu.com/9236758887/267438896,首先蒙古目标不是全世界 ，最多中日韩 ，其次蒙古负债并不高 ，而且很快清零 ，还有 ，如果不是新冠引发边境贸易困难 ，2022一年蒙焦就可以赚两三倍于现在的市值 。这也是为什么今年焦煤暴跌相对于过去两年的高价 。蒙古焦煤大概有一倍pe 。中煤不错 ，目标人群不同
267451215,2023-11-18 12:28:02,0,1,0,74/83,https://xueqiu.com/9236758887/267451215,协鑫乐山的政府优惠电价，几个巨头都有，只是都还没有结算。
267489640,2023-11-19 09:10:08,0,4,0,74/83,https://xueqiu.com/9236758887/267489640,这个是2023年的总耗电吗？多谢
267502656,2023-11-19 13:44:42,10,0,0,74/83,https://xueqiu.com/9236758887/267502656,都不上，发改委不应该再批任何产能，一个地方跌倒了好几次了，从来不吸取教训，合盛马上要破产了。银行又要有上百亿不良贷款。新玩家没几个能活到明年底。明年一百万吨需求，四个老玩家现有产能都填不满。都不知道图个啥
267513441,2023-11-19 17:36:12,3,0,0,74/83,https://xueqiu.com/9236758887/267513441,多谢
267576065,2023-11-20 11:07:22,2,0,0,74/83,https://xueqiu.com/9236758887/267576065,刚果已经生活在规则下了。没有那么差，这几年政治也比较稳定了
267641159,2023-11-20 17:56:52,4,0,0,74/83,https://xueqiu.com/9236758887/267641159,比较客观的是矿的品质还不错，铜＞2.0%，还有钴，只要正常表现，秒杀0.5%铜矿。买金川，主要是对铜钴价值的预期。
267641241,2023-11-20 17:57:34,2,0,0,74/83,https://xueqiu.com/9236758887/267641241,都是打扮过的，高底都可以做
267867513,2023-11-22 09:55:28,1,0,0,74/83,https://xueqiu.com/9236758887/267867513,蒙焦基本上自己送了
267997905,2023-11-22 23:02:44,3,0,0,74/83,https://xueqiu.com/9236758887/267997905,本来就是无法无天
268021760,2023-11-23 09:08:07,5,0,0,74/83,https://xueqiu.com/9236758887/268021760,静观其变，改变别人的认知很难。
268117989,2023-11-23 17:31:27,2,1,1,74/83,https://xueqiu.com/9236758887/268117989,阿根廷已经没有办法比现在政府更差的了。
268150422,2023-11-23 23:02:53,3,2,0,74/83,https://xueqiu.com/9236758887/268150422,比金川稳，比紫金弹性大
268194855,2023-11-24 10:41:13,2,0,0,74/83,https://xueqiu.com/9236758887/268194855,五矿的铜品位不行，外加南美这个左派大坑，我是不会入的，个人观点
268268840,2023-11-24 17:25:54,6,0,0,74/83,https://xueqiu.com/9236758887/268268840,协鑫这一轮大调整主要大家对光伏长期的前景的判断不明。国内太卷是首恶
268322780,2023-11-25 10:46:31,3,10,0,74/83,https://xueqiu.com/9236758887/268322780,蒙焦大概六分之一
268338888,2023-11-25 16:25:12,2,0,0,73/83,https://xueqiu.com/9236758887/268338888,深刻
268338937,2023-11-25 16:26:32,3,0,0,73/83,https://xueqiu.com/9236758887/268338937,只有透明地方才能全民分享财富，支持一切转到线上交易，减少一切不必要的关qia
268349069,2023-11-25 20:25:09,2,0,0,73/83,https://xueqiu.com/9236758887/268349069,A股都是耍流氓
268349433,2023-11-25 20:33:41,7,0,0,73/83,https://xueqiu.com/9236758887/268349433,行业太卷，公司不错，等
268557867,2023-11-27 21:35:50,1,0,0,73/83,https://xueqiu.com/9236758887/268557867,以华为为立体的公司肯定不行，用华为技术也许可以，用华为系统肯定不行
268558587,2023-11-27 21:42:08,16,0,0,73/83,https://xueqiu.com/9236758887/268558587,早就该这么干了，高能耗高电价，才合理
268627852,2023-11-28 11:36:21,12,0,0,73/83,https://xueqiu.com/9236758887/268627852,一声叹息
268902726,2023-11-29 23:06:35,3,0,0,73/83,https://xueqiu.com/9236758887/268902726,不能，
268925682,2023-11-30 08:55:41,1,0,0,73/83,https://xueqiu.com/9236758887/268925682,过去看不划算因为短盘太贵，以后也许卖原煤更划算，如果运输成本降下来，不扩产是对
268958417,2023-11-30 11:04:27,3,0,0,72/83,https://xueqiu.com/9236758887/268958417,税后利润60美元，外加动力煤利润
269016769,2023-11-30 16:33:39,1,0,0,72/83,https://xueqiu.com/9236758887/269016769,下半年几乎每个星期6万吨线上交易量，算半年150万吨电子交易盘
269074741,2023-12-01 05:59:24,1,0,0,72/83,https://xueqiu.com/9236758887/269074741,不然的话赔的更多，钱呀，反正原来就不属于他们的
269080613,2023-12-01 08:18:49,7,2,0,72/83,https://xueqiu.com/9236758887/269080613,如果这两家代表中国，有点丢不起这个人
269081439,2023-12-01 08:27:15,2,0,0,72/83,https://xueqiu.com/9236758887/269081439,最近大家还在犹犹豫豫，估计年初运营数据一出，应该会是一路向北，目标150亿
269191635,2023-12-01 17:47:27,5,0,0,72/83,https://xueqiu.com/9236758887/269191635,和春秋战国时代的诸子百家相比，这些都是粪土
269242220,2023-12-02 08:35:51,2,0,0,72/83,https://xueqiu.com/9236758887/269242220,人家是实际续航值，没有打折的标准，直需要时租个里程延长包多好。不然的话每天背着多余电池，累还废劲
269244039,2023-12-02 09:09:00,3,0,0,72/83,https://xueqiu.com/9236758887/269244039,补贴本来就是一个不正当竞争，被告很合理，而且还是补贴强势行业，不让人怀疑才是脑子进水了
269244623,2023-12-02 09:18:31,4,4,0,72/83,https://xueqiu.com/9236758887/269244623,等洛阳的存货卖完了，会涨的更凶的
269245467,2023-12-02 09:30:46,0,1,0,72/83,https://xueqiu.com/9236758887/269245467,只需关注一点颗粒硅2022年之前基本为零 ，然而2万吨一个单元的投产 。投产后两个月满产 。基本满产满销 。其他都不重要 。现在也不需要扩产了 。明年年中大概42万吨产年能 ，全年产量37万吨左右 。今年大概25万吨左右产销 。占有率不重要 ，未来需求倒是很重要 ，也没人知道 ，因为影响的因素太多 。我赌120万吨 ，协鑫占三分之一 。
269251353,2023-12-02 10:54:53,6,0,0,72/83,https://xueqiu.com/9236758887/269251353,遥遥领先的预言
269254508,2023-12-02 11:42:17,2,1,0,72/83,https://xueqiu.com/9236758887/269254508,是的
269254951,2023-12-02 11:50:22,3,2,0,71/83,https://xueqiu.com/9236758887/269254951,现在都在提高N型率，再加10度电/kg
269268193,2023-12-02 16:30:32,2,0,0,71/83,https://xueqiu.com/9236758887/269268193,是没有涨，不过补贴没了，多大人还在玩文字游戏
269268292,2023-12-02 16:32:21,1,0,0,71/83,https://xueqiu.com/9236758887/269268292,那就相对能耗，居然更高，哈哈哈
269268519,2023-12-02 16:37:03,2,0,0,71/83,https://xueqiu.com/9236758887/269268519,一年两千多亿的转移支付人家也不会白给呀
269268561,2023-12-02 16:38:18,2,0,0,71/83,https://xueqiu.com/9236758887/269268561,拼命扩产，最后都是一地鸡毛
269274166,2023-12-02 18:38:23,0,0,0,71/83,https://xueqiu.com/9236758887/269274166,哈哈哈，没法细算
269274983,2023-12-02 18:57:17,4,1,0,71/83,https://xueqiu.com/9236758887/269274983,蒙焦是没有压力的，连生产事故都难
269275073,2023-12-02 18:59:36,5,3,0,71/83,https://xueqiu.com/9236758887/269275073,都是只看涨跌，不辩是非的人，哈哈哈
269281983,2023-12-02 21:29:30,2,0,0,71/83,https://xueqiu.com/9236758887/269281983,多谢信息
269282022,2023-12-02 21:30:25,1,0,0,71/83,https://xueqiu.com/9236758887/269282022,很好，第一次该项目的中文名，哈哈哈
269282072,2023-12-02 21:31:38,3,1,0,71/83,https://xueqiu.com/9236758887/269282072,应该是开采流程的重要节点，快了！
269282287,2023-12-02 21:36:04,1,0,0,71/83,https://xueqiu.com/9236758887/269282287,请问消息来源，可不可以发个链接
269282533,2023-12-02 21:40:42,1,0,0,71/83,https://xueqiu.com/9236758887/269282533,应该是项目融资吧，好像以前给的额度还没用完
269282719,2023-12-02 21:44:49,1,0,0,71/83,https://xueqiu.com/9236758887/269282719,多谢，我己经可以自己搜了
269283910,2023-12-02 22:09:05,1,0,0,71/83,https://xueqiu.com/9236758887/269283910,我星期一看热闹，
269284219,2023-12-02 22:15:26,1,0,0,70/83,https://xueqiu.com/9236758887/269284219,现在这个价位不算贵，如果你持仓足够，那就等，好消息会越来越多，投产加铜价上涨。如果持仓不多，那么就要自己决定什么价位自己合适
269284614,2023-12-02 22:24:05,1,0,0,70/83,https://xueqiu.com/9236758887/269284614,这个讲法很久了，金川目前股份绝大多数都在国有企业手里，选择可以有很多种
269284926,2023-12-02 22:30:15,1,0,0,70/83,https://xueqiu.com/9236758887/269284926,不用猜，反正现在股价低，有仓位就等，没仓位，自己觉得合适就加，不合适就看戏，我大概加到目标仓位的八成，所以我自己看热闹
269285151,2023-12-02 22:35:48,1,0,0,70/83,https://xueqiu.com/9236758887/269285151,已经是第二重仓股，还差一点没加到我的目标股数。哈哈哈
269285223,2023-12-02 22:37:43,2,2,0,70/83,https://xueqiu.com/9236758887/269285223,我也看了 ，不值评论 ，所以没评论
269287694,2023-12-02 23:42:09,5,0,0,70/83,https://xueqiu.com/9236758887/269287694,如果价格不合适，那么更不应该扩产了，00975两次差点死在债务上，应该不会大额借钱扩产了
269295485,2023-12-03 08:57:53,2,0,0,70/83,https://xueqiu.com/9236758887/269295485,那就等到贴岀来，现在不是有人先知道了吗？这种事少见吗？
269296136,2023-12-03 09:13:44,2,0,0,70/83,https://xueqiu.com/9236758887/269296136,学雷锋吗？缺当然要卖贵点
269313573,2023-12-03 15:19:40,1,0,0,70/83,https://xueqiu.com/9236758887/269313573,估值不贵，只是行业内卷太厉害了，我在1.5、1.6加了挺多仓位，没想到掉到一元附近，太惨了，哈哈哈
269313828,2023-12-03 15:25:11,1,0,0,70/83,https://xueqiu.com/9236758887/269313828,谁涨停？真这么做，TW粉会撞墙的，哈哈哈
269318485,2023-12-03 16:51:55,3,2,0,70/83,https://xueqiu.com/9236758887/269318485,2400GW用七年来装 ，根本不够看呀
269318597,2023-12-03 16:53:54,2,0,0,70/83,https://xueqiu.com/9236758887/269318597,硅料一年一百万吨都多了 。一群人不知道卷个啥 ，哈哈哈
269319304,2023-12-03 17:05:27,3,0,0,69/83,https://xueqiu.com/9236758887/269319304,要看方案，市值大，现在股东也不一定受益
269319808,2023-12-03 17:15:23,1,0,0,69/83,https://xueqiu.com/9236758887/269319808,严谨
269319893,2023-12-03 17:17:21,2,0,0,69/83,https://xueqiu.com/9236758887/269319893,我还真做过，哈哈哈
269320976,2023-12-03 17:37:38,3,2,0,69/83,https://xueqiu.com/9236758887/269320976,反正有人不爽，我就看个热闹
269348385,2023-12-04 07:20:16,1,0,0,69/83,https://xueqiu.com/9236758887/269348385,我现在关注焦煤比较多
269349036,2023-12-04 07:36:09,2,0,0,69/83,https://xueqiu.com/9236758887/269349036,明年也就一百万吨需求，500GW
269349421,2023-12-04 07:43:09,1,0,0,69/83,https://xueqiu.com/9236758887/269349421,一半出口的产品顺便提价，大家都很舒服，哈哈哈
269351011,2023-12-04 08:14:00,2,0,0,69/83,https://xueqiu.com/9236758887/269351011,啥志气，特朗普也好一点，至少有美女
269352198,2023-12-04 08:30:24,1,1,0,69/83,https://xueqiu.com/9236758887/269352198,人家马上90%的N型，还比质量，哈哈哈
269352836,2023-12-04 08:37:35,1,2,0,69/83,https://xueqiu.com/9236758887/269352836,闲少，来涨到一块钱一度电，哈哈哈
269438478,2023-12-04 15:58:10,2,0,0,69/83,https://xueqiu.com/9236758887/269438478,出差在外，周末没有什么事
269487171,2023-12-04 22:36:12,3,6,0,69/83,https://xueqiu.com/9236758887/269487171,一天涨了一年多薪水，哈哈哈，挺好
269492054,2023-12-04 23:17:49,1,0,0,68/83,https://xueqiu.com/9236758887/269492054,精辟
269495950,2023-12-05 00:21:27,1,0,0,68/83,https://xueqiu.com/9236758887/269495950,不用着急，我也不急着花钱，也没有更好的标的
269496009,2023-12-05 00:23:33,2,0,0,68/83,https://xueqiu.com/9236758887/269496009,我有新加坡帐户，可以买美股和港股
269503961,2023-12-05 06:49:46,5,0,0,68/83,https://xueqiu.com/9236758887/269503961,多出消息，总有一天会云开见日的
269545333,2023-12-05 10:53:05,6,0,0,68/83,https://xueqiu.com/9236758887/269545333,应该是近几年新高
269601711,2023-12-05 15:13:29,3,0,0,68/83,https://xueqiu.com/9236758887/269601711,那些人都不知道什么心态？
269602940,2023-12-05 15:17:52,1,0,0,68/83,https://xueqiu.com/9236758887/269602940,我一般不看政策和一次性收益。不过1.2到1.5是金川本来就有的价值
269603128,2023-12-05 15:18:35,1,1,1,68/83,https://xueqiu.com/9236758887/269603128,涨慢一点好，不然卖了也不知道买什么
269604084,2023-12-05 15:22:07,3,0,0,68/83,https://xueqiu.com/9236758887/269604084,都是意料中的，都以为自己会是剩下的那个，准备明年没有增长的市场怎么应对吧，还发神精似的卷，把前两年赚的都烧没了，最后一地鸡毛
269604509,2023-12-05 15:23:51,2,0,0,68/83,https://xueqiu.com/9236758887/269604509,去年夏天还全省打闸限电
269808617,2023-12-06 18:51:49,7,0,0,68/83,https://xueqiu.com/9236758887/269808617,关键的衬里是自己生产的，所以刚开始有时候跟不上投产速度
269848467,2023-12-07 05:34:26,3,1,0,68/83,https://xueqiu.com/9236758887/269848467,欧美的工会是毒瘤
269924297,2023-12-07 14:08:26,1,0,0,68/83,https://xueqiu.com/9236758887/269924297,每个工作日拍卖一次1.28万吨，两火车？
269988242,2023-12-07 21:49:37,6,0,0,68/83,https://xueqiu.com/9236758887/269988242,老布不容易，这么明显的事还被人禁言
269991687,2023-12-07 22:24:45,1,0,0,68/83,https://xueqiu.com/9236758887/269991687,这种消息挺多，金川最重要的还是新矿投产进度，一时涨跌谈不上好坏
269995757,2023-12-07 22:55:45,7,3,0,68/83,https://xueqiu.com/9236758887/269995757,这股价经不起大家抢，哈哈哈
269997773,2023-12-07 23:15:06,0,0,0,68/83,https://xueqiu.com/9236758887/269997773,涨跌无惧，因为公司向好，哈哈哈
270133201,2023-12-08 19:19:23,0,0,0,67/83,https://xueqiu.com/9236758887/270133201,能到0.45我就心满意足了，三毛那做梦都会乐醒了
270133891,2023-12-08 19:25:01,2,0,0,67/83,https://xueqiu.com/9236758887/270133891,"上半年协鑫还有徐州高价棒状硅产能，Q3, Q4才能比较"
270141854,2023-12-08 20:41:04,1,0,0,67/83,https://xueqiu.com/9236758887/270141854,这种得了便宜还卖乖
270149687,2023-12-08 22:07:08,0,0,0,67/83,https://xueqiu.com/9236758887/270149687,应该等不到，所以我的仓位加不上了
270174008,2023-12-09 09:18:47,0,1,0,67/83,https://xueqiu.com/9236758887/270174008,这么牛
270174326,2023-12-09 09:24:09,0,1,0,67/83,https://xueqiu.com/9236758887/270174326,整合最大的好处是公司内部各子公司利益分配问题会解决，也就是低价卖矿产问题会解决
