ID,发布时间,点赞数,评论数,转发数,页码,链接,正文
199929464,2021-10-12 19:38:46,0,0,0,54/54,https://xueqiu.com/8414489464/199929464,感觉管理层放弃治疗了，还来得及抢救吗？
200949275,2021-10-24 16:50:05,0,0,0,54/54,https://xueqiu.com/8414489464/200949275,看走势，已经有好多人提前知道了。。
201886664,2021-11-02 12:14:09,1,0,0,54/54,https://xueqiu.com/8414489464/201886664,预收账款和合同负债还是有点不一样的
204499597,2021-11-30 00:15:54,1,1,1,52/54,https://xueqiu.com/8414489464/204499597,还在招战投，服了。。
204695700,2021-12-01 15:52:18,2,1,1,52/54,https://xueqiu.com/8414489464/204695700,洁雅股份 快上市吧，中一签不容易。。
204723612,2021-12-01 20:44:05,1,0,0,52/54,https://xueqiu.com/8414489464/204723612,周五上市，希望能吃点肉。。
204894826,2021-12-03 10:44:03,1,0,0,52/54,https://xueqiu.com/8414489464/204894826,90跑了，感恩。。
205427365,2021-12-09 09:27:06,0,0,0,51/54,https://xueqiu.com/8414489464/205427365,唉，这恐慌开盘，大佬们都跑路了吗。。
205863664,2021-12-14 09:55:18,0,0,0,50/54,https://xueqiu.com/8414489464/205863664,猛狮这个跌法是往退市去的吧。。
205892800,2021-12-14 13:18:26,1,2,1,50/54,https://xueqiu.com/8414489464/205892800,看来麦趣真的要摘帽了。。
206301430,2021-12-17 18:23:14,1,0,0,50/54,https://xueqiu.com/8414489464/206301430,又一个牛股暴雷了。。。
206355034,2021-12-18 18:36:02,1,0,0,50/54,https://xueqiu.com/8414489464/206355034,打新收益率越来越低了。。。
206498333,2021-12-20 18:41:00,1,0,0,50/54,https://xueqiu.com/8414489464/206498333,星星不可能退市了吧。。。
206851280,2021-12-23 19:51:20,0,0,0,50/54,https://xueqiu.com/8414489464/206851280,后生可畏，这操作很有水平了。。
206962274,2021-12-24 17:48:40,0,0,0,49/54,https://xueqiu.com/8414489464/206962274,年底了，st股天天暴雷，真是太难了。。
207147472,2021-12-27 18:52:26,0,2,0,49/54,https://xueqiu.com/8414489464/207147472,
207647255,2021-12-31 22:32:03,1,1,0,49/54,https://xueqiu.com/8414489464/207647255,新年快乐！
208171328,2022-01-06 17:13:28,0,0,0,48/54,https://xueqiu.com/8414489464/208171328,又要拖半个月，服了。。
