发布时间,正文
2013-01-18 21:15:00,兴业银行招商局中国基金刚满20%净值，不会沽的，沽招商可能很大，因为招商占比已经20%，但是马上要配股，便宜配的肯定要，所以沽才是正当，不过管兄，00133今年大笔现金在手（7000万美金），分红可期@管我财
2013-02-19 16:26:00,"推一只神奇的股票.当一家公司营业额和盈利占比90%的产品,价格由280元一公斤下跌70%,到今年1月只有92元一公斤的时候,该公司盈利下降多少,70%?亏损?答案是NO，盈利只下跌了20%。这样的公司是不是骗子啊。看财务指标。69亿总资产，只有8亿贷款，手握27亿现金。11年每股现金流2.01元,12年3季度0.97元。再看估值12倍PE，2倍PB，估值行业最低，这样的估值居然是医药行业中的，神奇吧。在看同行业，有的企业已经从暴利变亏损，即便是实力相当的，业绩也下跌60%。这个股票是谁，它怎么做到的。 这个股票就是600216浙江医药。 他是怎么做到的？：靠的是非VE的医药，每年医药都大幅度增长弥补VE跌价的损失。 216的核心竞争力：世界第一的非凡提纯提净能力，可比国际大厂更高品质，更低成本。国际大厂把产品交给216生产，成本更低，品质更好 ，万古霉素是这样，克拉霉素也是这样，惠氏和雅培让216生产，这样216也起码25%以上毛利，除了税收，没费用 为什么这么好的股票没人抄？ 原因1：216董事长李春波完全不懂事，只顾做产品，不会做营销，不配合券商，基金，庄家玩，产品做的很好，营销做得很烂。看看216的广告就知道，所以李春波的策略也很简单，帮大厂替工，做第一的产品 原因2：216在新昌的工厂在市区，因场地不足，近五年来，公司主要围绕现有生产设施进行小规模的技术改造，并没有实施重大新项目建设，公司现有优势产品的产能难以进一步扩大，新研制产品也难以实现规模化生产，产品优势和市场优势难以转化成竞争优势，导致近几年发展速度相对滞慢。 原因3：为改变现状，216外出找地，先找到武汉枝江（长江边，制药需要大量水），后被绍兴政府拉回，2万一亩给了1280亩低价地，15%所得税，让216在绍兴上昌海一期，由于李懂的不懂事，216股价低迷，无庄愿意做，为了让昌海一期尽快上吗，216以极低增发价格增发，18.30增发了7000万股。2013年8月底增发禁售股解禁。更没人敢做216了 昌海工厂：分三期，浙江医药正着手准备建造一个占地1300亩的全球高科技医药生物综合产业区。目前，第一期180亩已基本建成，正进入设备安装阶段，它主要是高科技的各种医药制剂和绿色化工产业。“我们准备用3年时间，投入30亿，对该项目进行重点建设，这也是浙江医药未来发展的希望。相信，当这里的产业布局成型后，浙江医药的规模将会有质的飞跃。”李春波对此充满信心。二期主要是一期和三期的生活配套，已经动工。三期尚未动工。 昌海一期预期2013年中建成，2014年全面投产，“投产后预期年销售额57亿元，利税16亿元，出口创汇5亿美元”。这里利税16亿元，也就是净利润12亿元左右，这个12亿不包括原来的新昌厂。甚至没有计算国家级1.1新药奈诺沙星，光这个一期就可以让盈利翻倍哦 现在是买216的时候吗 我觉得不是，现在最多只能建个底舱，7000万增发股的买主会怎么玩216呢，是8月到了出货，还是7月拉高，8月出货，又或者7,8月份把216砸个坑出来，卷席吓出来的筹码耐心等待216的业绩高潮，谁都不知道，反正我就建了底舱15%都不到.耐心等待吧，反正业绩大涨起码也要2014年，今年VE价格虽然已经10年来最低，但是国外大厂还没停产哦，价格趋势不会立刻扭转。英特尔奔腾处理器等等等等等等等，，，，，，，，，，，，，[哈哈] 推一只神奇的股票.当一家公司营业额和盈利占比90%的产品,价格由280元一公斤下跌70%,到今年1月只有92元一公斤的时候,该公司盈利下降多少,70%?亏损?答案是NO，盈利只下跌了20%。这样的公司是不是骗子啊。看财务指标。69亿总资产，只有8亿贷款，手握27亿现金。11年每股现金流2.01元,12年3季度0.97元。..."
2013-03-09 11:09:00,"最早认识乡村基是1997年,重庆两路口店,后来还是乡村基的供应商,很好的企业,很好的生意,吃饭时间永远满座.不过感觉进步速度太慢."
2013-04-12 05:38:00,租金每年会涨是胡扯，我你们还是持有的时间不够长，没看到租客蜂拥退租的场面
2013-04-24 17:19:00,完全没可能冲进前三，金红叶i全品项杀，恒安纸手帕独大，维达卷纸称雄，中顺唯一能打的就是维达，可是品质做不过维达，打价格更不是金红叶对手，纸手帕就更不要提了，APP这么凶都干不过恒安。所以，只有第四
2013-04-24 21:39:00,民生很一般，至少相对其估值是，20%增长率，7.8%的核心资本，今年怎么敢放贷出去，呵呵
2013-04-25 22:08:00,$北京银行(SH601169)$ 完美 的季报，各个方面都非常优秀，特别是风控，民生兴业都不敢暴露十大客户了
2013-04-26 11:07:00,$招商局中国基金(00133)$@管我财 基本上还算厚道，相当于0.13美金，我没说错
2013-05-22 09:48:00,民生全换北京了，价值投资，知行合一。民生增长不如北京，安全性不如北京，核心资本不如北京，估值高北京3-40%，大家说，民生是龙头，好吧，我做傻子，买北京吧
2013-07-07 10:11:00,民生增速会超过北京，笑话，民生1季度营收同比增15%，北京是25%，差距这么大，居然还预测民生增长快，果然是屁股决定脑袋
2013-08-28 17:50:00,更关键的是，不良增加4亿，半年新增拨备高达17亿，比去年同期多预提9亿，如9亿算入利润，北京利润增幅高达35%
2013-08-28 20:25:00,今年中报中建材和旗下联合水泥联袂出现在10大贷款人里了，可惜10大贷款人被遮盖名字，换成ABCD，不过即便这样，北京也是整个中国，除了工行外，风控最好的公司，本人重仓
2013-09-01 09:43:00,最近的10送8，提前的中期快报，无不在证明216的主力与管理层达成的默契，李春波董事涨啊
2013-09-04 08:35:00,我的看法是，10送8，如果主力要出货，肯定会一把拉起，然后出货，但事实上没有，而且从公布中报次日，开盘的时候还是红的，在开盘瞬间被砸成绿色，摆明了，主力并不想出货，那么他们想干什么
2013-09-20 13:04:00,求证，据说北京银行合肥分行下月18日开业，是否有此事，是不是意味着限制扩张的政策已经成为过去式@红日红红
2013-10-30 15:57:00,华夏出来了，1.25 增长21.36% 浦发出来了。1.60 增长16.7% 华夏出来了，1.25 增长21.36% 浦发出来了。1.60 增长16.7%
2013-11-13 19:30:00,600216浙江医药奈诺沙星注射临床二期即将结束，临床情况令人振奋，对比组是目前市面上的大品种，完胜，14年三期，15年申请生产，估计16年上市@百盈百利
2013-12-09 07:55:00,支持管兄，身边确实有一堆货真价实的超级短线高手，其中真水平的相当不少，但是真心不敢学他们的，因为是朋友的关系，在看到他们疯狂赚钱的同时，也看到过他们疯狂割肉的时候，一刀下去就是数百万飞灰湮灭，虽然他们都是实实在在赚钱地，但是看他们做过的票，哪一个最后不是血肉横飞。
2014-01-07 21:36:00,预测：600585海螺水泥今年净利润轻松破百亿，胡言乱语，信者自负
2014-01-09 16:58:00,这个暴跌除了跟债券暴跌有关，其实跟股市分红类股票分红率超过7%也有关，比如银行，电力
2014-01-17 18:55:00,海螺水泥继续增持青松建化，目前已经持有3.46亿股，占总股本25.08% 而第一大股东仅持有3.6亿股，占比26.21%
