ID,发布时间,点赞数,评论数,转发数,页码,链接,正文
169478847,2021-01-21 18:23:00,4,6,1,1440/1474,https://xueqiu.com/1505944393/169478847,$中国核电(SH601985)$未来新能源方向且是唯一方向，其实是核电。现在很多研报说光伏发电成本比火电低，核电比火电高，所以未来光伏可以替代火电和核电，这个完全是无稽之谈，因为光伏发电最大的问题从来不是发电成本，而是无法做到稳定供电，且中国光照地域还不均匀，所以很多时候光伏发电很多都是垃圾电，这也是为什么西部不断弃电的原因。这就不难理解德国大力发展光伏等可再生能源同时，进口电力猛增40%。如果仅仅看成本那中国为什么不停建核电和火电全部改建太阳能发电。 $中国核电(SH601985)$未来新能源方向且是唯一方向，其实是核电。现在很多研报说光伏发电成本比火电低，核电比火电高，所以未来光伏可以替代火电和核电，这个完全是无稽之谈，因为光伏发电最大的问题从来不是发电成本，而是无法做到稳定供电，且中国光照地域还不均匀，所以很多时候光伏发电很多都是...
170308486,2021-01-29 10:06:00,14,27,4,1440/1474,https://xueqiu.com/1505944393/170308486,$中国核电(SH601985)$$中国广核(SZ003816)$ 不适用，中国广核短期内可能不如核电，这两家我仔细对比过，为什么我选择核电而不选择广核，那是因为中国核电在建工程和资本性支出远高于广核，电力产业，尤其是核电，主要看扩张，如果不扩张，那就没有成长性跟类债卷股有什么区别，也就是毛利很高，利润不错但是没有成长那现在估值也不算低，中国核电无论在建工程还是资本性支出远高于广核，也就是说中国核电成长性高于广核，记住这是核电产业特殊性决定的不具有普适性，那就是核电毛利高度稳定，你扩张越快，你的利润越高，所以简单看谁的资本性支出越高，谁未来成长性越好 $中国核电(SH601985)$$中国广核(SZ003816)$ 不适用，中国广核短期内可能不如核电，这两家我仔细对比过，为什么我选择核电而不选择广核，那是因为中国核电在建工程和资本性支出远高于广核，电力产业，尤其是核电，主要看扩张，如果不扩张，那就没有成长性跟类债卷股有什么区别，也就是毛利很高，利...
170316250,2021-01-29 10:39:00,21,20,5,1440/1474,https://xueqiu.com/1505944393/170316250,$中国核电(SH601985)$大家说的最多的就是中国核电高负债，有息负债太高，利息费用太高，这个确实也是这样，中国核电三季度营业收入369亿，利息费用高达52亿，但是别忘了，这是核电行业的特殊性决定的，其实只要偿债压力不是太大，这种高利息费用并不完全是件坏事，因为高利息费用其实是高扩张引起的，当然他的债务支付能力不用担心，要知道三季度经营现金流222亿，资本性支出123亿，自由现金流99亿，也就是说自由现金流偿还利息也是错错有余，所以只要未来扩张速度减慢，他的债务就一定下来。但问题是扩张速度减慢，成长性就下来了，那个时候反而就不值得投资，其实目前利息费用在可控范围内，他的财务费用增加主要是资本性支出增加引起的，而资本性支出增加其实就说明他未来成长性很高，所以他未来是可期的。至于很多火电股，为什么市盈率那么低，大部分破净，很大一部原因，除了煤炭涨价，对于未来利润预期较差外，最主要还是成长性，毕竟煤炭低迷的时候，煤电股也并没有给予不错的估值，一个没有成长性的行业，哪怕负债再低估值也高不了，举个例子浙能电力6倍的市盈率，0.7倍pb，这个不可谓不低估，但是为啥他宁可投资中国核电，也不愿意买自己，不就是因为煤电成长性太差 $中国核电(SH601985)$大家说的最多的就是中国核电高负债，有息负债太高，利息费用太高，这个确实也是这样，中国核电三季度营业收入369亿，利息费用高达52亿，但是别忘了，这是核电行业的特殊性决定的，其实只要偿债压力不是太大，这种高利息费用并不完全是件坏事，因为高利息费用其实是高扩张引起...
170321261,2021-01-29 11:01:00,1,5,1,1440/1474,https://xueqiu.com/1505944393/170321261,$中国核电(SH601985)$$中国广核(SZ003816)$ 我仅仅是财务方面分析，其实简单财务方面已经能反映未来广核不如核电，至于你说的那种行业层面，这个没有深入调研，是拿不到相关数据，而且中广核是央企吗？中国核电属于中核工业，国投电力属于国投电力这两家都是央企，中国广核属于谁？中国广核集团，但这个央企名录并没有这家公司不知道为何说这是央企
170475959,2021-01-30 22:41:00,0,1,0,1439/1474,https://xueqiu.com/1505944393/170475959,$中国核电(SH601985)$ 说核电不适合调峰的这个是事实，但是风电和光伏不能稳定供电也无法代替火电，但是你们一直都避谈法国，法国是80%电力供应是核电，法国做到了能源自主也减碳，但是他这个比例太高了，未来降到50%，但是主力还是核电，德国以光伏和风电为主，结果是全球最贵电费，并且年年从法国进口电，从德国和法国经验，都能看出来，未来替代火电唯一方式只可能是核电，而且不适合调峰不代表不能作为主力供电，而且未来供电必然是多样话的，不然国家为何对核电如此重视，其实核电装载容量达到20%～30%之间这就是很大的市场而这个比例也是未来目标
172016935,2021-02-18 14:05:00,21,38,7,1436/1474,https://xueqiu.com/1505944393/172016935,$中国核电(SH601985)$关于电力大家说中国核电是未来长江电力，你这是把核电看的太贬了，长江电力其实是个几无成长性的企业，举个例子吧15年～19年营收，分别为474亿、489亿、501亿、512亿和498亿，同理利润也是几无变化，分别是211亿、209亿、222亿、226亿和215亿，近五年就在原地打转，同理经营净现金流也就在360亿～390亿打转，这是一个几无成长性企业，为什么这样，其实问题在水电已经到极限，无法投资新的电厂，不信你看下每年的资本性支出，15年高一点48亿，剩下的年份就是22亿～31亿，乍一看你觉得很高，要知道他每年折旧都高达120～123亿，也就是资本性支出远小于折旧，当然他的自由现金流看起来那是相当的好，但是同理也没有成长性 这一点中国核电是完全不同的，中国核电15年营收262亿，利润71亿，归母37亿，19年营收460亿，利润84亿，归母46亿，这是因为他每年新建核电厂，每年资本性支出231亿～265亿才做到的 其实长江电力投资价值真的非常有限，或许去年降雨较多可能带来一定额外收益，但是水电的复杂性并不是上游水量高一定能带来额外的发电量，因为水电并不仅仅是发电还有水利作用 $中国核电(SH601985)$关于电力大家说中国核电是未来长江电力，你这是把核电看的太贬了，长江电力其实是个几无成长性的企业，举个例子吧15年～19年营收，分别为474亿、489亿、501亿、512亿和498亿，同理利润也是几无变化，分别是211亿、209亿、222亿、226亿和215亿，近五年就在原地打转，同理经营净...
172037749,2021-02-18 16:59:00,0,0,1,1436/1474,https://xueqiu.com/1505944393/172037749,$长江电力(SH600900)$ 你从哪看出来利润越来越多利润表自己看下就得不出这种结论
172037835,2021-02-18 17:00:00,1,3,2,1436/1474,https://xueqiu.com/1505944393/172037835,$长江电力(SH600900)$ 就这种人都不知道说啥折旧是利润都能编的出来
172083219,2021-02-19 08:44:00,6,1,0,1436/1474,https://xueqiu.com/1505944393/172083219,为什么得州电力供应中断？“政商勾结”是主因-华尔街日报-观察者网 网页链接$中国核电(SH601985)$ 德州停电问题已经说明用光伏发电和风能代替火电的问题，无论是德国还是台湾包括美国，淘汰火电而用光伏和风能代替，那一定是不可靠的电力系统，必然伴随经常性的停电，代替火电的只可能是核电 为什么得州电力供应中断？“政商勾结”是主因-华尔街日报-观察者网 网页链接$中国核电(SH601985)$ 德州停电问题已经说明用光伏发电和风能代替火电的问题，无论是德国还是台湾包括美国，淘汰火电而用光伏和风能代替，那一定是不可靠的电力系统，...
172111439,2021-02-19 11:28:00,0,0,0,1436/1474,https://xueqiu.com/1505944393/172111439,$长江电力(SH600900)$ 我说的是成长性，你跟我谈业绩，我也没说长江电力垃圾，我已经列出现金流量表，按照你的说法他的现金流量表并没有什么变化
