ID,发布时间,点赞数,评论数,转发数,页码,链接,正文
169296379,2021-01-20 11:22:00,16,13,2,1440/1474,https://xueqiu.com/1505944393/169296379,$中国重工(SH601989)$唉怎么那么多人说我买中国重工我承认买中国重工其实是个错误，虽然我看好重工周期反转，但布局太早了，其实等订单真正回复过来的时候，那时候也不晚，我其实是被南北船概念合并给坑了，不然我也不会布局那么早，确切说，哪怕未来爆发了，我这其实也是失败的投资，毕竟我是19年买进的。本来赌南北船合并，没想到碰见疫情，这真的是有点不走运。当然我犯的错误不止这些，我13年4元买入中国远洋也是个更大错误，本来等几天买更好了，14年都跌倒2.9元。亏损超过30%。虽然15年我以16元卖出，但是真的是个非常严重错误。之后的中国船舶，中国神华抄底较为成功，一个是9元抄底，一个是13元。说那么多，只是想告诉大家，股市就这样，只要不是极其严重的错误，最终你们都能赚不少。抄不到最低点也没关系，高点比这高的多，只要你有耐心。股市中不确定性太高，你哪怕分析都对了，时间点不对，你可能都错了，有可能你分析都错了，但是因为行情对了，你可能都对了。 举个例子，当初我13年买入中国远洋就是狗屎，很多人以为我那是神来之笔，其实我分析错的离谱。当初预估15年航运业能回暖，但是实际就是13年昙花一现。真正复苏可能是2021年下半年。至于15年为啥能卖那么高，跟我水平真没啥关系，纯粹就是牛市和中远收购中海。我只是碰巧在牛市前买入一个股票，然后在牛市快结束卖出一个股票而已。 至于这次造船业能不能复苏，确切说我也不太确定，我只知道今年肯定比去年好，如果明年美联储不加息，继续宽松，差不多船舶制造业牛市就能到来，如果加息，很有可能就不是。现在布局赌的成份特别高，所以不建议全仓位或者比例太高。不过另一方面，看你角度了，你如果想着赚大钱，不建议布局，如果你保证不赔钱，未来有不错收益，那到可以。 $中国重工(SH601989)$唉怎么那么多人说我买中国重工我承认买中国重工其实是个错误，虽然我看好重工周期反转，但布局太早了，其实等订单真正回复过来的时候，那时候也不晚，我其实是被南北船概念合并给坑了，不然我也不会布局那么早，确切说，哪怕未来爆发了，我这其实也是失败的投资，毕竟我...
169528703,2021-01-22 09:32:00,18,4,1,1440/1474,https://xueqiu.com/1505944393/169528703,$中国核电(SH601985)$买中国核电的难道都没注意其在建工程吗？马上新的核电机组就要投入运行，核电跟火电逻辑差别很大，核电是前期投入成本高，中间运行成本很低，营业成本有相当大的折旧成本，在由于电价是计划电，利润主要就是看发电量，至于利润率基本上大家也能发现，毛利稳定在40%，由于其新增机组马上入网，其利润未来必然大增，而且未来其资本性支出长期增加，其利润必然是长期增长。我为什么说中国核电是完美标的，那就是他不同于钢铁和火电，那就是其资本性支出不会影响其毛利率，也不受市场影响，火电虽然也是计划电，但是煤炭价格不稳定，也就是说煤企高兴的时候，火电就难受了。核电缺不用担心这个永远稳定，应收账款也不存在减值风险，虽然其应收账款看似较高，但是其没有任何风险。水电的毛利看似更高水电确有更大的问题，那就是水电开发已经到极限，未来未开发的都在雅鲁藏布江。也就是说水电已经快到上限。核电这个跟水电差别很大，核电未来潜力还是相当高的。 $中国核电(SH601985)$买中国核电的难道都没注意其在建工程吗？马上新的核电机组就要投入运行，核电跟火电逻辑差别很大，核电是前期投入成本高，中间运行成本很低，营业成本有相当大的折旧成本，在由于电价是计划电，利润主要就是看发电量，至于利润率基本上大家也能发现，毛利稳定在40%，由于其新...
170291159,2021-01-29 08:00:00,12,8,6,1440/1474,https://xueqiu.com/1505944393/170291159,$中国重工(SH601989)$其实中国重工有一点大可以放心，破净的可能性那是非常低，千万不要把他跟一些毕竟重的资本密集型行业相比，举个例子，大家说宝钢股份和中国神华也是破净的，神华主要是有大量资本性支出，宝钢股份是货币资金太少，总的来说就是闲置资金太少，宝钢别看资产合计3500多亿，净资产1800亿，但是货币资金仅198亿，而他资本性支出高达110亿，而重工货币资金580亿，资本性支出去年仅15亿，这也是我为什么说资金多的浪费，这一点保证他很难破净，一旦到了那个地步大股东必然开启回购来维持住股价，否则就是贱卖。这里面说一下，资产跟资产差别很大，简单说，固定资产每年有折旧，在建工程其实是你花出去的钱，应收账款是别人拿货，发票开出去了，钱还没收到，这里面都存在减值风险，简单说就是没有流动性，唯独货币资金是不能减值的，货币资金无法做减值处理，这也是为啥当初康美要自爆丑闻，那是因为它无法自然消化掉假账，只能先将货币资金科目转移到存货，才可以，当然转移到其他应收款也行，但问题是这个又造成更大的问题，所以没办法，只能转移成存货。当然中国重工货币资金绝对是真实的，这个原因其实很简单，那是定向增发融资融来的钱，17～18年吸收投资合计264亿，你想想，当初这伙人花着4.5～4. 7元参与定增，至今还套在里面，重工这笔钱至今攥在手里，他能允许破净。 $中国重工(SH601989)$其实中国重工有一点大可以放心，破净的可能性那是非常低，千万不要把他跟一些毕竟重的资本密集型行业相比，举个例子，大家说宝钢股份和中国神华也是破净的，神华主要是有大量资本性支出，宝钢股份是货币资金太少，总的来说就是闲置资金太少，宝钢别看资产合计3500多亿，净资产...
170316250,2021-01-29 10:39:00,21,20,5,1440/1474,https://xueqiu.com/1505944393/170316250,$中国核电(SH601985)$大家说的最多的就是中国核电高负债，有息负债太高，利息费用太高，这个确实也是这样，中国核电三季度营业收入369亿，利息费用高达52亿，但是别忘了，这是核电行业的特殊性决定的，其实只要偿债压力不是太大，这种高利息费用并不完全是件坏事，因为高利息费用其实是高扩张引起的，当然他的债务支付能力不用担心，要知道三季度经营现金流222亿，资本性支出123亿，自由现金流99亿，也就是说自由现金流偿还利息也是错错有余，所以只要未来扩张速度减慢，他的债务就一定下来。但问题是扩张速度减慢，成长性就下来了，那个时候反而就不值得投资，其实目前利息费用在可控范围内，他的财务费用增加主要是资本性支出增加引起的，而资本性支出增加其实就说明他未来成长性很高，所以他未来是可期的。至于很多火电股，为什么市盈率那么低，大部分破净，很大一部原因，除了煤炭涨价，对于未来利润预期较差外，最主要还是成长性，毕竟煤炭低迷的时候，煤电股也并没有给予不错的估值，一个没有成长性的行业，哪怕负债再低估值也高不了，举个例子浙能电力6倍的市盈率，0.7倍pb，这个不可谓不低估，但是为啥他宁可投资中国核电，也不愿意买自己，不就是因为煤电成长性太差 $中国核电(SH601985)$大家说的最多的就是中国核电高负债，有息负债太高，利息费用太高，这个确实也是这样，中国核电三季度营业收入369亿，利息费用高达52亿，但是别忘了，这是核电行业的特殊性决定的，其实只要偿债压力不是太大，这种高利息费用并不完全是件坏事，因为高利息费用其实是高扩张引起...
170335282,2021-01-29 12:42:00,1,6,3,1439/1474,https://xueqiu.com/1505944393/170335282,$中国核电(SH601985)$ 有没有战略意义不好说，董事会话语权，这个中国核电大股东是中国核工业，一家地方国企跟央企挣话语权，怕不是想多了，真正原因不就是对煤电未来不看好，才打算转型才战略投资核电，这其实也侧面说明核电进入门槛相当高，不是民营企业进不来，国有企业也很难进来，否则自己转型成核电不是更好，浙能核电确实是低估了，但问题是这不是一家企业低估，而是整个煤电行业低估，说明资本市场对未来煤电并不整么看好。至于布局，哪个资本布局要被淘汰的煤电行业，根据中国规划，煤电发电量要不断减少，虽然并不是说煤电未来没有投资机会，但是高溢价显然是不太可能了最后既然浙能都看好核电，那为啥因为核电买浙能，而不买核电股，你要是看好未来煤电买他我不说什么，如果是核电，那投资浙能真的有点太远，举个不恰当例子，当年雅虎的市值比手里持有阿里巴巴股市值还低
171084016,2021-02-05 10:23:00,5,4,0,1438/1474,https://xueqiu.com/1505944393/171084016,$中国重工(SH601989)$ 什么叫做当局者迷，旁观者清，我当然不是造船的，但是我举一个例子2016年，我买入中国神华，当初动力煤期货刚经历278元/吨历史性低点，当初连煤炭矿长都不看好自己，认为自己要被淘汰，毕竟未来绿色能源为主，而且煤炭产能过剩，当初除了神华都在亏损。谁知道没过多久煤炭价格直线上升，神华由我买入13元，涨到25元多，而且中间还有一次土豪分红。你造船是了解造船，但是了解市场吗？按道理煤炭矿长比我更懂煤炭吧，但是我劝他买煤炭龙头，他不敢，我这个外行买了，反而比他看的清，什么叫做当局者迷，旁观者清或许就是这个意思，毕竟你们太了解他的问题，确不能综合来看，所以必然无法客观分析
171188501,2021-02-06 08:32:00,43,55,16,1438/1474,https://xueqiu.com/1505944393/171188501,$中国重工(SH601989)$我这里强调下，我不是特别了解造船业，简单说我知道的完全是皮毛，至于十分深入的了解，我是不如造船专业人士。 至于买入中国重工或者中国船舶理由，主要有几点，一个是新船订单，和手持订单，这个数据网上都有，数据显示去年8到9月份手持订单到了低估，然后开始反弹，新船订单10月份之后开始回升，另外一个就是cnpi，这个是船舶综合价值指数，收录了干散货船，集装箱船和油轮三种船型的综合指数，这个数据显示去年10到11月份到谷底后开始反弹基本上所有数据都显示已经开始反弹这也是我断定到低的原因。另外目前船东确实有钱，未来造船可能性是相当高， 其实当初我为什么敢在煤炭大家普遍亏损的时候买入中国神华，无外乎这几点，首先国家开始关闭小煤矿，煤炭开采开始集中，而且国家去产能力道往往过头未来很容易发生短缺！其次中国神华最安全，再大家普遍亏损的时候还能盈利，也就是说哪怕低周期时间非常长，剩下的也只会是他。 同理我买入中国重工的理由是当初中国重工估值比船舶低一些，相对安全，存量资金非常高，他可以继续耗上十年都不至于出什么问题。其次他的价格已经低于增发价格，这个跟中国船舶完全不同，而且大股东这个价格没有减持动力，甚至还要增持。当然我并不是说中国船舶不好，最早我买中国船舶是9元，当时是st船舶，当初我断定中国船舶不可能退市0.7倍pb十分便宜，而且还有可能南北船合并。没想到南北船合并让我猜中了。我当初并没预想一定合并只是个添头，毕竟我再一年前料到合并这完全不可能。但是当时价格已经很低了，而且他必然无法退市，哪怕是摘帽也能赚不少，怕什么。同理中国重工，你现在持有价格比大股东回购价格和定增价格都低，现在市值916亿，流通市值735亿，他的货币资金就高达586亿，还有他的有息负债那是相当低，又没有什么投资，所以这个价格你怕什么。现在估值这么低，未来一定比现在好所以这个有什么好担心至于能不能走出04年到07年走势，我只是说目前来看可能性是相当高，不过这并不重要，现在属于无风险投资，未来肯定比这个好。 其实我说到这里就是很清楚了，判断一个公司只要把握大的方向就行了，并不需要完全深入了解他的行业，至于怎么造船造船怎么利润更高，我是不了解的，我不了解船舶设计，不了解造船工艺，我知道的完全就是皮毛。但是我又不是造船的，我是投资的我为啥要了解这些呢？ $中国重工(SH601989)$我这里强调下，我不是特别了解造船业，简单说我知道的完全是皮毛，至于十分深入的了解，我是不如造船专业人士。 至于买入中国重工或者中国船舶理由，主要有几点，一个是新船订单，和手持订单，这个数据网上都有，数据显示去年8到9月份手持订单到了低估，然后开始反弹，新...
171310044,2021-02-08 10:57:00,2,7,3,1438/1474,https://xueqiu.com/1505944393/171310044,$中国重工(SH601989)$ 我不认为能重现，可能要等两年，神华我是16年买入，17年暴涨，这次很难，我不认为重工能立马反弹，船舶制造业毕竟行业低谷时间太长，转暖可能要2～3年时间但是一样船舶制造业上限比较高，他要是上涨，不至于向神华一样算上分红才1倍涨幅，他是远远高于神华的涨幅，而且神华也不是神来之笔，我当初买的时候也是十分忐忑，跟现在一样，虽然各项证据都显示应该好转，但是我并不是100%确定，毕竟当初我买中国神华，连从事煤炭行业的矿长都不看好，他认为他从事行业是夕阳行业，当然我预估一般都保守些，我当初认为煤炭行业至少也要2年才能转暖，没想到不到一年就转暖了，周期性行业就是这样，很难预测，低点不难抓住，难的是时机点/@罗里ggg:希望重工能重现楼主当年买入神华之笔，预祝新年快乐！ $中国重工(SH601989)$ 我不认为能重现，可能要等两年，神华我是16年买入，17年暴涨，这次很难，我不认为重工能立马反弹，船舶制造业毕竟行业低谷时间太长，转暖可能要2～3年时间但是一样船舶制造业上限比较高，他要是上涨，不至于向神华一样算上分红才1倍涨幅，他是远远高于神华的涨幅，而且神华也...
171975262,2021-02-18 09:15:00,5,3,1,1437/1474,https://xueqiu.com/1505944393/171975262,$中国石化(SH600028)$ 不太同意你对原油产业判断，首先opec很多国家开采成本是很低，但是算到社会福利，其实成本并不低，所以开采成本最低的沙特这几年过的并不好，另外原油需求峰值大约是到2030年，现在中国原油需求还是上涨的，最后关于新能源，首先关于新能源的定义是错的，如果是燃料电池他确实是新能源，他用的是氢，但是动力电池不是新能源，他是储能式动力，这个关于新能源你搞混了，要知道动力电池用的电属于二次能源，他需要电，但是油价上涨必然带动天然气和煤炭上涨，对于中国和美国这种以火力发电为主的国家必然是无法实现的，要知道中国以煤炭为主，美国以天然气发电为主，这也是为什么说关于储能式动力电池在法国是减碳，在中国不是减碳的原因，最后你忽略了美元贬值因素，所谓原油上涨并不全是需求增加和供给减少，而是美元贬值的原因，美元购买力减少必然造成油价的上涨 $中国石化(SH600028)$ 不太同意你对原油产业判断，首先opec很多国家开采成本是很低，但是算到社会福利，其实成本并不低，所以开采成本最低的沙特这几年过的并不好，另外原油需求峰值大约是到2030年，现在中国原油需求还是上涨的，最后关于新能源，首先关于新能源的定义是错的，如果是燃料电池他确...
172014430,2021-02-18 13:45:00,2,0,0,1437/1474,https://xueqiu.com/1505944393/172014430,$中国核电(SH601985)$ 光伏发电不可能淘汰，中国未来结构应该是综合发展，以水电，核电火电作为主体，光伏和风电等间歇能源作为补充，重点发展生物质能，没有哪个能源被淘汰，火电哪怕是煤炭发电也可以做到绿色发电减少碳排放，只是现在不大力发展煤电而是用新能源逐渐代替煤电，连法国也来发展光伏，能源要讲究多样性过于依赖某个都不健康中国未来是减少煤炭发电占比，并不是淘汰煤炭发电，淘汰的也只是高污染落后煤电
