ID,发布时间,点赞数,评论数,转发数,页码,链接,正文
169397409,2021-01-21 09:38:00,3,0,0,1440/1474,https://xueqiu.com/1505944393/169397409,@初善君[¥6.66] 有一个企业叫中国核电你看怎么样，我认为它具有价值投资，有未来，有成长，低估值，高毛利，而且成长非常快，简直是完美投资标的，尤其是他的资本性支出非常高，未来具有不错的成长，护城河非常深，而且核能发电必然是未来趋势。自由现金流为非常好。
169478847,2021-01-21 18:23:00,4,6,1,1440/1474,https://xueqiu.com/1505944393/169478847,$中国核电(SH601985)$未来新能源方向且是唯一方向，其实是核电。现在很多研报说光伏发电成本比火电低，核电比火电高，所以未来光伏可以替代火电和核电，这个完全是无稽之谈，因为光伏发电最大的问题从来不是发电成本，而是无法做到稳定供电，且中国光照地域还不均匀，所以很多时候光伏发电很多都是垃圾电，这也是为什么西部不断弃电的原因。这就不难理解德国大力发展光伏等可再生能源同时，进口电力猛增40%。如果仅仅看成本那中国为什么不停建核电和火电全部改建太阳能发电。 $中国核电(SH601985)$未来新能源方向且是唯一方向，其实是核电。现在很多研报说光伏发电成本比火电低，核电比火电高，所以未来光伏可以替代火电和核电，这个完全是无稽之谈，因为光伏发电最大的问题从来不是发电成本，而是无法做到稳定供电，且中国光照地域还不均匀，所以很多时候光伏发电很多都是...
169528703,2021-01-22 09:32:00,18,4,1,1440/1474,https://xueqiu.com/1505944393/169528703,$中国核电(SH601985)$买中国核电的难道都没注意其在建工程吗？马上新的核电机组就要投入运行，核电跟火电逻辑差别很大，核电是前期投入成本高，中间运行成本很低，营业成本有相当大的折旧成本，在由于电价是计划电，利润主要就是看发电量，至于利润率基本上大家也能发现，毛利稳定在40%，由于其新增机组马上入网，其利润未来必然大增，而且未来其资本性支出长期增加，其利润必然是长期增长。我为什么说中国核电是完美标的，那就是他不同于钢铁和火电，那就是其资本性支出不会影响其毛利率，也不受市场影响，火电虽然也是计划电，但是煤炭价格不稳定，也就是说煤企高兴的时候，火电就难受了。核电缺不用担心这个永远稳定，应收账款也不存在减值风险，虽然其应收账款看似较高，但是其没有任何风险。水电的毛利看似更高水电确有更大的问题，那就是水电开发已经到极限，未来未开发的都在雅鲁藏布江。也就是说水电已经快到上限。核电这个跟水电差别很大，核电未来潜力还是相当高的。 $中国核电(SH601985)$买中国核电的难道都没注意其在建工程吗？马上新的核电机组就要投入运行，核电跟火电逻辑差别很大，核电是前期投入成本高，中间运行成本很低，营业成本有相当大的折旧成本，在由于电价是计划电，利润主要就是看发电量，至于利润率基本上大家也能发现，毛利稳定在40%，由于其新...
170308486,2021-01-29 10:06:00,14,27,4,1440/1474,https://xueqiu.com/1505944393/170308486,$中国核电(SH601985)$$中国广核(SZ003816)$ 不适用，中国广核短期内可能不如核电，这两家我仔细对比过，为什么我选择核电而不选择广核，那是因为中国核电在建工程和资本性支出远高于广核，电力产业，尤其是核电，主要看扩张，如果不扩张，那就没有成长性跟类债卷股有什么区别，也就是毛利很高，利润不错但是没有成长那现在估值也不算低，中国核电无论在建工程还是资本性支出远高于广核，也就是说中国核电成长性高于广核，记住这是核电产业特殊性决定的不具有普适性，那就是核电毛利高度稳定，你扩张越快，你的利润越高，所以简单看谁的资本性支出越高，谁未来成长性越好 $中国核电(SH601985)$$中国广核(SZ003816)$ 不适用，中国广核短期内可能不如核电，这两家我仔细对比过，为什么我选择核电而不选择广核，那是因为中国核电在建工程和资本性支出远高于广核，电力产业，尤其是核电，主要看扩张，如果不扩张，那就没有成长性跟类债卷股有什么区别，也就是毛利很高，利...
170316250,2021-01-29 10:39:00,21,20,5,1440/1474,https://xueqiu.com/1505944393/170316250,$中国核电(SH601985)$大家说的最多的就是中国核电高负债，有息负债太高，利息费用太高，这个确实也是这样，中国核电三季度营业收入369亿，利息费用高达52亿，但是别忘了，这是核电行业的特殊性决定的，其实只要偿债压力不是太大，这种高利息费用并不完全是件坏事，因为高利息费用其实是高扩张引起的，当然他的债务支付能力不用担心，要知道三季度经营现金流222亿，资本性支出123亿，自由现金流99亿，也就是说自由现金流偿还利息也是错错有余，所以只要未来扩张速度减慢，他的债务就一定下来。但问题是扩张速度减慢，成长性就下来了，那个时候反而就不值得投资，其实目前利息费用在可控范围内，他的财务费用增加主要是资本性支出增加引起的，而资本性支出增加其实就说明他未来成长性很高，所以他未来是可期的。至于很多火电股，为什么市盈率那么低，大部分破净，很大一部原因，除了煤炭涨价，对于未来利润预期较差外，最主要还是成长性，毕竟煤炭低迷的时候，煤电股也并没有给予不错的估值，一个没有成长性的行业，哪怕负债再低估值也高不了，举个例子浙能电力6倍的市盈率，0.7倍pb，这个不可谓不低估，但是为啥他宁可投资中国核电，也不愿意买自己，不就是因为煤电成长性太差 $中国核电(SH601985)$大家说的最多的就是中国核电高负债，有息负债太高，利息费用太高，这个确实也是这样，中国核电三季度营业收入369亿，利息费用高达52亿，但是别忘了，这是核电行业的特殊性决定的，其实只要偿债压力不是太大，这种高利息费用并不完全是件坏事，因为高利息费用其实是高扩张引起...
170321261,2021-01-29 11:01:00,1,5,1,1440/1474,https://xueqiu.com/1505944393/170321261,$中国核电(SH601985)$$中国广核(SZ003816)$ 我仅仅是财务方面分析，其实简单财务方面已经能反映未来广核不如核电，至于你说的那种行业层面，这个没有深入调研，是拿不到相关数据，而且中广核是央企吗？中国核电属于中核工业，国投电力属于国投电力这两家都是央企，中国广核属于谁？中国广核集团，但这个央企名录并没有这家公司不知道为何说这是央企
170335282,2021-01-29 12:42:00,1,6,3,1439/1474,https://xueqiu.com/1505944393/170335282,$中国核电(SH601985)$ 有没有战略意义不好说，董事会话语权，这个中国核电大股东是中国核工业，一家地方国企跟央企挣话语权，怕不是想多了，真正原因不就是对煤电未来不看好，才打算转型才战略投资核电，这其实也侧面说明核电进入门槛相当高，不是民营企业进不来，国有企业也很难进来，否则自己转型成核电不是更好，浙能核电确实是低估了，但问题是这不是一家企业低估，而是整个煤电行业低估，说明资本市场对未来煤电并不整么看好。至于布局，哪个资本布局要被淘汰的煤电行业，根据中国规划，煤电发电量要不断减少，虽然并不是说煤电未来没有投资机会，但是高溢价显然是不太可能了最后既然浙能都看好核电，那为啥因为核电买浙能，而不买核电股，你要是看好未来煤电买他我不说什么，如果是核电，那投资浙能真的有点太远，举个不恰当例子，当年雅虎的市值比手里持有阿里巴巴股市值还低
170475959,2021-01-30 22:41:00,0,1,0,1439/1474,https://xueqiu.com/1505944393/170475959,$中国核电(SH601985)$ 说核电不适合调峰的这个是事实，但是风电和光伏不能稳定供电也无法代替火电，但是你们一直都避谈法国，法国是80%电力供应是核电，法国做到了能源自主也减碳，但是他这个比例太高了，未来降到50%，但是主力还是核电，德国以光伏和风电为主，结果是全球最贵电费，并且年年从法国进口电，从德国和法国经验，都能看出来，未来替代火电唯一方式只可能是核电，而且不适合调峰不代表不能作为主力供电，而且未来供电必然是多样话的，不然国家为何对核电如此重视，其实核电装载容量达到20%～30%之间这就是很大的市场而这个比例也是未来目标
170476741,2021-01-30 22:56:00,5,1,0,1439/1474,https://xueqiu.com/1505944393/170476741,$中国核电(SH601985)$关于核电不适宜调峰这个没问题，但是并不是核电不能调峰简单说中国核电为了更经济不参与调峰，其实法国核电是经常调峰的，很多人误解成核电不能调峰，中国不让核电调峰主要原因是中国核电占比太低，有大量火电和水电可以参与调峰所以用不到核电调峰而光伏发电和风电反而是无法做到调峰，调峰只能储能不过储能调峰的投资比收益还高，当然光伏和风电最大的问题不是不能调峰而是不能稳定供电 $中国核电(SH601985)$关于核电不适宜调峰这个没问题，但是并不是核电不能调峰简单说中国核电为了更经济不参与调峰，其实法国核电是经常调峰的，很多人误解成核电不能调峰，中国不让核电调峰主要原因是中国核电占比太低，有大量火电和水电可以参与调峰所以用不到核电调峰而光伏发电和风电反而是无法...
170514982,2021-01-31 19:19:00,0,4,1,1439/1474,https://xueqiu.com/1505944393/170514982,$中国核电(SH601985)$中国核电仅仅盯着发电板块，真的是目光短了点，现在核电已经开始尝试集中供暖这一块未来也会提供非常好的利润，要知道以前这一块都属于浪费，看好未来核电产业不仅仅是他可以供电他的热质能其实有非常不错表现现在已经开始尝试开发这一点
