博主,ID,发布时间,页码,链接,正文
超级鹿鼎公,381272321,2026-03-26 15:27,1/1215,https://xueqiu.com/8790885129/381272321,回复@纯阳山人夹头辉: 遭最毒的打，犟最硬的嘴
超级鹿鼎公,381270837,2026-03-26 15:27,1/1215,https://xueqiu.com/8790885129/381270837,回复@拿个均值: 谁在乎，我赚你一分钱了吗，还是你让我长肉了，或者你逗我一乐了，撒盐我是专业的
超级鹿鼎公,381269945,2026-03-26 15:27,1/1215,https://xueqiu.com/8790885129/381269945,这个月一下跑赢上证10%，想不到啊
超级鹿鼎公,380764245,2026-03-23 21:24,1/1215,https://xueqiu.com/8790885129/380764245,回复@东岳: 云铝则藏了些利润，或者说还了25年1月高价氧化铝的债，增长一样不到50%，原本涨价，云铝利润增速应该明显快过神火的
超级鹿鼎公,380760238,2026-03-23 20:55,1/1215,https://xueqiu.com/8790885129/380760238,果然还是计提了
超级鹿鼎公,380718183,2026-03-23 16:37,1/1215,https://xueqiu.com/8790885129/380718183,"我尽量不去预测指数，预测指数得不偿失，我们可以测算股价到什么位置，我觉得便宜，可以买一些，所以图中3500毫无其他意义，仅仅是整数关口测算自己的防火墙厚度
我尽量不去预测指数，预测指数得不偿失，我们可以测算股价到什么位置，我觉得便宜，可以买一些，所以图中3500毫无其他意义，仅仅是整数关口测算自己的防火墙厚度"
黑色面包,381233395,2026-03-26 12:28,1/69,https://xueqiu.com/9507152383/381233395,"股市神话似乎是一个什么国家，什么民族，都有的现象... 看这些故事，感觉可以有一部很精彩的动漫耶 
-----------------------------------------------------------------------------------------------------------------------------
这位40岁、育有三个孩子的父亲，凭借着对股票研究的执着，从一名个人投资者奋斗到了拥有6.5亿日元（约4140万美元）资产的地位，并因此声名大噪，拥有一众热情的粉丝。
他的名望极高，只要他的名字出现在监管文件的大股东名单中，该公司的股价就会飙升，因为追随者们都想搭上“井村股”的顺风车，效仿他的价值投资策略。
但井村有着更宏大的梦想：成为一名专业投资者，带动更多日本人从股市中获利——这一目标也契合了日本政府的努力方向，即引导家庭手中约6.5万亿美元的现金进入金融投资领域。为此，他开始锲而不舍地追求他的“犯罪搭档”——个性十足的前高盛分析师武入敬三（Keizo Takeiri）。
井村在月内与武入及基金运营商 Fundnote 的一名官员共同接受路透社采访时表示，他在2020年与武入初次见面时，就被对方过目不忘的记忆力、分析天赋以及纯粹的“极客”气质所打动。
“他的知识储备是另外一个层级的，”井村说。
武入此前也引起了片山晃（Akira Katayama）的注意。片山是一位著名的从网游玩家转型的亿万富翁，他曾邀请武入在其对冲基金工作，这进一步证明了武入的分析能力。
武入现年38岁，被高盛的前同事称为“股票御宅族”。他表示，自己在精英云集的东京大学度过的岁月里，大多是在逃课、打麻将和研究股票中度过的。对他来说，形象管理完全不在考量范围内。
“他有时穿着带洞的衣服就出现了，指甲也长得离谱，”井村调侃道，“也许他根本不在乎，或者没注意到？他真是个‘高规格’的怪咖。”
这种评价是相互的。
武入说，井村通常一天会给他发200条 Slack 消息，但一旦钻进某家公司的资产负债表里，就会消失好几天。
“他为了挖掘自己想知道的信息而投入的那股劲头，简直超乎想象。”
两人的新基金将于1月10日开始发售，首期投资上限为100亿日元。
股市神话似乎是一个什么国家，什么民族，都有的现象... 看这些故事，感觉可以有一部很精彩的动漫耶 
-----------------------------------------------------------------------------------------------------------------------------
这位40岁、育有三个孩子的父亲，凭借着对股票..."
黑色面包,380800430,2026-03-24 08:31,1/69,https://xueqiu.com/9507152383/380800430,"回复@黑色面包: $伯克希尔-哈撒韦B(BRK.B)$ 又在日本下注了，18亿美金注入东京海上。这个论坛上基本没有什么人讨论。
有几点挺有意思：
第一，伯克希尔持股在未经东海允许的前提下不超过9.9%；
第二，做一致行动人；
第三，东海用注入资金回购，不稀释现有股东（伯克希尔的股东意识，简直是资本市场上的一种深深的仁慈）。
一如既往地友好。这笔投资应该是Ajit主导的，发言人也是Ajit。不知道他们和东海是如何慢慢培养了这种信任关系？很好奇背后发生的故事。
第四，东海会清掉100亿美金交叉持股的低效资金，然后用这个资金去做收购；
第五，新闻里没有说，但显然伯克希尔也会参与到这些收购中去。【这里我认为的重要信息是 -- 东海对于伯克希尔，只是一个开始，两家公司相当于是彼此账上都有很多现金，形成了一个JV，然后一起长线在日本市场做投资。】
这是一种很有效率的做法 -- 伯克希尔找到了一个自己可以信赖的”地头蛇“，然后用庞大的资产负债表去降低再保险的资金成本（对方的WACC被压下来了）；对方则作为熟悉当地标的，拥有庞大的本地企业关系和社会关系，去帮伯克希尔找到可以一起投资的标的，减少伯克希尔资产负债表上的冗余，妥妥的双赢。
恰好这几天我们也在利用油价暴涨的恐慌，在日本开启了”买买买“的模式。如果继续恐慌，Nikkei继续跌，那我们会减少美国的敞口到日本。有一点我觉得很有意思 -- 东海已经五年3倍多了，涨了那么多，还是只有10x的市盈率。可见之前是多么离谱地便宜。我和朋友开玩笑说当下的日本就像是80年代的美国，长牛在招手，其实不是玩笑，是认真的。短暂的浮亏确实来得凶猛，但想到在不断积累优质的股权，内心还是喜不自胜。"
柯中,381251601,2026-03-26 13:29,1/101,https://xueqiu.com/5243796549/381251601,"实际上津巴布韦的这个事情会彻底改变锂矿的未来一段时间的预期。
这几年增量较大的非洲主要是津巴布韦和尼日利亚的产能，主要原因也和这个地方的投资金额较低，投资速度较快有较大关系。
而津巴布韦这次事件后，估计新增的产能都会配套硫酸锂产线，会大幅度提高单万吨投资锂矿的成本，而且随着津巴布韦的针对锂矿的税收也明显提高来看，未来低成本的开采基本是没有多少了。
尼日尼亚什么时候也参考津巴布韦这样搞一下，非洲就基本残疾了。
国内这次江西以后也基本是卡死了增量。国内唯一的大增量就是一些盐湖和川西的几个锂矿了，这一轮扩产完毕后，未来的增量真看不见。
而美洲那边寄希望于南美，但是那边的单万吨的开发成本非常高不说，而且最近看看美国的动向就知道，那边的安全性比非洲还可能要麻烦，所以大规模过去投资的概率极低。
这个导致未来一段时间全球锂矿资源开支会继续断档。实际上除了中资能快速扩张以外，真找不到大资金扩张快，且高效了。如果未来几年需求还能维持的话，这一轮锂周期，可能真的比大家想的都要大。
天齐，赣锋要更早的意识到这个点，拿回定价权。
$赣锋锂业(SZ002460)$$紫金矿业(SH601899)$
实际上津巴布韦的这个事情会彻底改变锂矿的未来一段时间的预期。
这几年增量较大的非洲主要是津巴布韦和尼日利亚的产能，主要原因也和这个地方的投资金额较低，投资速度较快有较大关系。
而津巴布韦这次事件后，估计新增的产能都会配套硫酸锂产线，会大幅度提高单万吨投资锂矿的成本，而且..."
柯中,381184202,2026-03-26 09:29,1/101,https://xueqiu.com/5243796549/381184202,早就应该这样做的，目前的报价体系跟垄断没什么区别了。 $赣锋锂业(SZ002460)$$天齐锂业(SZ002466)$
