ID,发布时间,点赞数,评论数,转发数,链接,摘要,正文
379119064,2026-03-12 13:06:17,68,16,0,https://xueqiu.com/1505944393/379119064,$海螺水泥(SH600585)$ 今年前几个月最让我无法接受的就是锂矿普遍涨不过海螺,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379119064
）
$海螺水泥(SH600585)$ 今年前几个月最让我无法接受的就是锂矿普遍涨不过海螺"
379116939,2026-03-12 12:50:34,28,20,0,https://xueqiu.com/1505944393/379116939,回复@国家地理007: 请问你怎么做到70多的成本的，又不是新人//@国家地理007:回复@雪月霜:中矿跌麻了，浮盈都吐完了,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379116939
）
回复@国家地理007: 请问你怎么做到70多的成本的
，又不是新人//@国家地理007:回复@雪月霜:中矿跌麻了
，浮盈都吐完了
查看对话
@雪月霜：
其实无论是中远海控
，东阿阿胶
，招商轮船
，中国船舶
，牧原股份
，我都没拿到最后一刻
，差不多就换了
，其实只要有更合适得
，不会去真的拿到最高点的
，这事投资风格决定的
38分钟前· 讨论 26· 赞 73"
379116663,2026-03-12 12:48:19,32,5,0,https://xueqiu.com/1505944393/379116663,现在出来了吗,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379116663
）
现在出来了吗
@因歪斯汀_小明：
关于碳酸锂库存数据
，跟我念
：无所吊谓
。
有些东西已经解释很清楚了
。
40分钟前· 讨论 43· 赞 120"
379116278,2026-03-12 12:44:34,73,26,0,https://xueqiu.com/1505944393/379116278,其实无论是中远海控，东阿阿胶，招商轮船，中国船舶，牧原股份，我都没拿到最后一刻，差不多就换了，其实只要有更合适得，不会去真的拿到最高点的，这事投资风格决定的,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379116278
）
其实无论是中远海控
，东阿阿胶
，招商轮船
，中国船舶
，牧原股份
，我都没拿到最后一刻
，差不多就换了
，其实只要有更合适得
，不会去真的拿到最高点的
，这事投资风格决定的"
379116101,2026-03-12 12:42:39,13,0,0,https://xueqiu.com/1505944393/379116101,回复@逆向投资下行周期: 不懂很难确定//@逆向投资下行周期:回复@雪月霜:雪大说说医药医疗，也跌很久很大幅度了,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379116101
）
回复@逆向投资下行周期: 不懂很难确定//@逆向投资下行周期:回复@雪月霜:雪大说说医药医疗
，也跌很久很大幅度了
查看对话
@雪月霜：
$五粮液(SZ000858)$$泸州老窖(SZ000568)$ 其实白酒过去积累问题太多了
，底部是持续性的
，消化库存也不是一年内就能搞定的
，某些人不要想当然认为白酒利润只下跌一年
，实际上是有2～3年持续性低迷或者下行
，所以目前计算利润能算的准吗
，底部算不准好吧
3小时前· 讨论 18· 赞 67"
379115719,2026-03-12 12:39:31,11,0,0,https://xueqiu.com/1505944393/379115719,回复@闲云野鹤hxy: 反过来其实也一样的//@闲云野鹤hxy:回复@雪月霜:从心里学的角度看，看空白酒的都是想抄底的人，他们不是真正看空，真正看空的人不会关心白酒。。。转发讨论赞收藏{...,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379115719
）
回复@闲云野鹤hxy: 反过来其实也一样的//@闲云野鹤hxy:回复@雪月霜:从心里学的角度看
，看空白酒的都是想抄底的人
，他们不是真正看空
，真正看空的人不会关心白酒
。
。
。
转发讨论赞收藏设置修改删除
查看对话
收起
@雪月霜：
$五粮液(SZ000858)$$泸州老窖(SZ000568)$ 白酒只有一种情况才可以买
，那就是去年业绩到底
，今年业绩v型反转
，但是这是明显做不到的
，实际上各项数据其实是
，去年业绩开始下滑
，今年业绩更低
，事实上白酒属于周期很长的产品
，调整不是短期可以完成
，到底也要震荡1～2年
，这就是很多白酒大v想当然地方
，那就是利润刚开始下滑就要抄底
，上一次利润下滑是2013年开始的
，反转至少都是3年以后的事情
$五粮液(SZ000858)$$泸州老窖(SZ000568)$ 白酒只有一种情况才可以买
，那就是去年业绩到底
，今年业绩v型反转
，但是这是明显做不到的
，实际上各项数据其实是
，去年业绩开始下滑
，今年业绩更低
，事实上白酒属于周期很长的产品
，调整不是短期可以完成
，到底也要震荡1～2年
，这就是很多白酒大v想当然地...
展开
6小时前· 转发 3· 讨论 50· 赞 103"
379115657,2026-03-12 12:39:00,12,1,0,https://xueqiu.com/1505944393/379115657,回复@花无百日Hong: 我天天说都不看吗//@花无百日Hong:回复@雪月霜:雪大，碳酸锂计划什么时候撤退？有标准吗,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379115657
）
回复@花无百日Hong: 我天天说都不看吗//@花无百日Hong:回复@雪月霜:雪大
，碳酸锂计划什么时候撤退
？有标准吗
查看对话
@雪月霜：
海螺水泥当初21～22年吹得人有多少
？这个当初可不比白酒少
，当水泥真正到底部
，行业性亏损
，业绩大幅下降时候
，当初全部跑了
，某些人不要高估白酒大v
，大部分会跑的
，不信到时候看吧
，现在洋河大v不是撒丫子跑了
，实际上洋河有问题吗
，确认有
，但是真的要破产吗
2小时前· 转发 1· 讨论 28· 赞 84"
379115272,2026-03-12 12:35:24,25,6,0,https://xueqiu.com/1505944393/379115272,回复@R的小披萨店: 我后面都不一定做碳酸锂了，我会在乎这个吗，而且实际上对于未来利润又没什么影响，我现在研究方向早就换了//@R的小披萨店:回复@雪月霜:雪大，中矿产能被大减后锂矿涨价不是更利好赣锋天齐吗，为啥80%的仓位还是在中矿上呢，相当于中矿被动减产造福了大家,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379115272
）
回复@R的小披萨店: 我后面都不一定做碳酸锂了
，我会在乎这个吗
，而且实际上对于未来利润又没什么影响
，我现在研究方向早就换了//@R的小披萨店:回复@雪月霜:雪大
，中矿产能被大减后锂矿涨价不是更利好赣锋天齐吗
，为啥80%的仓位还是在中矿上呢
，相当于中矿被动减产造福了大家
查看对话
@雪月霜：
海螺水泥当初21～22年吹得人有多少
？这个当初可不比白酒少
，当水泥真正到底部
，行业性亏损
，业绩大幅下降时候
，当初全部跑了
，某些人不要高估白酒大v
，大部分会跑的
，不信到时候看吧
，现在洋河大v不是撒丫子跑了
，实际上洋河有问题吗
，确认有
，但是真的要破产吗
2小时前· 转发 1· 讨论 28· 赞 84"
379114673,2026-03-12 12:30:06,29,8,0,https://xueqiu.com/1505944393/379114673,回复@橘xzz: 水泥你不会真觉得今年就开始反转一年涨到头吧，怎么可能啊，这个周期很长的，就算是持有也得3～5年才能真正达到高点//@橘xzz:回复@雪月霜:别吹了雪大，锂矿做完要切不过来了,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379114673
）
回复@橘xzz: 水泥你不会真觉得今年就开始反转一年涨到头吧
，怎么可能啊
，这个周期很长的
，就算是持有也得3～5年才能真正达到高点//@橘xzz:回复@雪月霜:别吹了雪大
，锂矿做完要切不过来了
查看对话
@雪月霜：
海螺水泥当初21～22年吹得人有多少
？这个当初可不比白酒少
，当水泥真正到底部
，行业性亏损
，业绩大幅下降时候
，当初全部跑了
，某些人不要高估白酒大v
，大部分会跑的
，不信到时候看吧
，现在洋河大v不是撒丫子跑了
，实际上洋河有问题吗
，确认有
，但是真的要破产吗
2小时前· 转发 1· 讨论 28· 赞 85"
379105129,2026-03-12 11:31:05,55,14,0,https://xueqiu.com/1505944393/379105129,回复@R的小披萨店: 真严格执行，碳酸锂价格至少25万，那样就算3万多产能，利润会更高的//@R的小披萨店:回复@雪月霜:这是在津巴布韦不影响的情况下。如果津巴布韦禁令严格长期执行，那中矿的锂矿净利润可能要大幅减少的。,"来源
：雪球App
，作者
： 雪月霜
，
（https://xueqiu.com/1505944393/379105129
）
回复@R的小披萨店: 真严格执行
，碳酸锂价格至少25万
，那样就算3万多产能
，利润会更高的//@R的小披萨店:回复@雪月霜:这是在津巴布韦不影响的情况下
。如果津巴布韦禁令严格长期执行
，那中矿的锂矿净利润可能要大幅减少的
。
查看对话
收起
@牡蛎奋斗：
瑞银3月10日发布
：
本轮锂价上行周期或长于市场预期
（持续至2027年后
）
，锂价有望涨至25万元/吨
；供应端存在下行风险
，需求端具备可持续性
，供需错配将支撑锂价
。
基于与锂电行业专家电话会议
，专家认为本轮锂价上行周期可能超出市场预期
，锂价有望升至25万元/吨
，并持续到2027年之后
。
• 供应端
：
1.预测2026年全球有效锂化工品供应为197.5万吨LCE
（同比+26%
）
，2027年为241.7万吨LCE
（同比+22%
）
。
2.强调当前供应预测偏乐观
，未计入江西复产延迟
、津巴布韦锂精矿出口禁令等潜在供应中断因素
。
3.2028-2030年全球锂供应增速将大幅放缓至13%/11%/6%
。
• 需求端
：
1.预测2026/2027年全球锂需求为203.8/248.7万吨LCE
（同比+27%/22%
）
，2028-2030年需求增速为18%/16%/14%
，虽放缓但仍超过供应增速
。
2.储能
（BESS
）需求
：只要全球能源结构转型和可再生能源发展持续
，BESS需求就具备可持续性
，并非部分市场看空者认为的
“一次性需求
”
。
3.电动车需求
：对中国2026年初电动车销量疲软不太担忧
，认为中国电动车渗透率天花板或为80%
（当前仅50%
）
，且重卡电动化将提供额外需求支撑
。#宁德时代##赣锋锂业##比亚迪#

瑞银3月10日发布
：
本轮锂价上行周期或长于市场预期
（持续至2027年后
）
，锂价有望涨至25万元/吨
；供应端存在下行风险
，需求端具备可持续性
，供需错配将支撑锂价
。
基于与锂电行业专家电话会议
，专家认为本轮锂价上行周期可能超出市场预期
，锂价有望升至25万元/吨
，并持续到2027年之后
。
展开
昨天 16:55· 转发 11· 讨论 156· 赞 91"
